# z, Alpha
8.100000000000000000e+02 2.189149206794200053e-01
8.125000000000000000e+02 -2.256249304321029658e-01
8.150000000000000000e+02 2.323876718674768027e-01
8.175000000000000000e+02 -2.389109951559739986e-01
8.200000000000000000e+02 2.455223063088680657e-01
8.225000000000000000e+02 -2.518619274053177093e-01
8.250000000000000000e+02 2.583254875479611412e-01
8.275000000000000000e+02 -2.644843890719145163e-01
8.300000000000000000e+02 2.708038065863969113e-01
8.325000000000000000e+02 -2.767848892298331309e-01
8.350000000000000000e+02 2.829636797739987775e-01
8.375000000000000000e+02 -2.887697290966043107e-01
8.400000000000000000e+02 2.948112844699813939e-01
8.425000000000000000e+02 -3.004449849369393299e-01
8.450000000000000000e+02 3.063526680823618897e-01
8.475000000000000000e+02 -3.118165599103254193e-01
8.500000000000000000e+02 3.175936122068752643e-01
8.525000000000000000e+02 -3.228901032108121294e-01
8.550000000000000000e+02 3.285397793262747612e-01
8.575000000000000000e+02 -3.336710990733877114e-01
8.600000000000000000e+02 3.391965943535830141e-01
8.625000000000000000e+02 -3.441647496861250932e-01
8.650000000000000000e+02 3.495693100820727595e-01
8.675000000000000000e+02 -3.543760341086819587e-01
8.700000000000000000e+02 3.596628947063211235e-01
8.725000000000000000e+02 -3.643097062198712432e-01
8.750000000000000000e+02 3.694822912670009396e-01
8.775000000000000000e+02 -3.739705173646813430e-01
8.800000000000000000e+02 3.790322327597711594e-01
8.825000000000000000e+02 -3.833628756641206947e-01
8.850000000000000000e+02 3.883172262254422358e-01
8.875000000000000000e+02 -3.924911035006944937e-01
8.900000000000000000e+02 3.973415697085462273e-01
8.925000000000000000e+02 -4.013592804098209399e-01
8.950000000000000000e+02 4.061093280249961635e-01
8.975000000000000000e+02 -4.099712817103666196e-01
9.000000000000000000e+02 4.146242126894605917e-01
9.025000000000000000e+02 -4.183307374514841359e-01
9.050000000000000000e+02 4.228896210437374514e-01
9.075000000000000000e+02 -4.264409237935674057e-01
9.100000000000000000e+02 4.309084427891669011e-01
9.125000000000000000e+02 -4.343047842378008894e-01
9.150000000000000000e+02 4.386831421218359006e-01
9.175000000000000000e+02 -4.419248328247006863e-01
9.200000000000000000e+02 4.462155745992762435e-01
9.225000000000000000e+02 -4.493031595055457794e-01
9.250000000000000000e+02 4.535071304314884921e-01
9.275000000000000000e+02 -4.564413798982447923e-01
9.300000000000000000e+02 4.605584751649222097e-01
9.325000000000000000e+02 -4.633404871178777307e-01
9.350000000000000000e+02 4.673697064502164711e-01
9.375000000000000000e+02 -4.700009788719821668e-01
9.400000000000000000e+02 4.739402517389873504e-01
9.425000000000000000e+02 -4.764226459750404152e-01
9.450000000000000000e+02 4.802688615368488345e-01
9.475000000000000000e+02 -4.826046618952498091e-01
9.500000000000000000e+02 4.863537338940403520e-01
9.525000000000000000e+02 -4.885455409178294239e-01
9.550000000000000000e+02 4.921924008665928829e-01
9.575000000000000000e+02 -4.942431196676343452e-01
9.600000000000000000e+02 4.977819212339357757e-01
9.625000000000000000e+02 -4.996946134702069942e-01
9.650000000000000000e+02 5.031188392556712463e-01
9.675000000000000000e+02 -5.048965897471116016e-01
9.700000000000000000e+02 5.081993242006594969e-01
9.725000000000000000e+02 -5.098451039282817510e-01
9.750000000000000000e+02 5.130191434333137845e-01
9.775000000000000000e+02 -5.145356060897078310e-01
9.800000000000000000e+02 5.175738562227986117e-01
9.825000000000000000e+02 -5.189631717583622628e-01
9.850000000000000000e+02 5.218587002293137989e-01
9.875000000000000000e+02 -5.231223713984485268e-01
9.900000000000000000e+02 5.258688784761711421e-01
9.925000000000000000e+02 -5.270068950826528598e-01
9.950000000000000000e+02 5.295794340021484636e-01
9.975000000000000000e+02 -5.307990152916567395e-01
1.000000000000000000e+03 -5.328381857166689661e-01
