# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
7.071067811865475505e+00 9.064357062854309088e-01 7.071067811865475505e+00 2.782360142574243911e-01
1.414213562373095101e+01 6.843831687468696634e-01 1.414213562373095101e+01 -2.388781662973623321e-01
2.121320343559642652e+01 4.459199766959296429e-01 2.121320343559642652e+01 -6.311388498532384539e-02
2.828427124746190202e+01 2.593002491646511642e-01 2.828427124746190202e+01 2.091505858029234222e-02
3.535533905932737753e+01 1.366881203538508338e-01 3.535533905932737753e+01 -6.210067972944023629e-03
4.242640687119285303e+01 6.597052280803358815e-02 4.242640687119285303e+01 -1.299842871906206577e-03
4.949747468305832854e+01 2.869094638288993346e-02 4.949747468305832854e+01 1.084101411022657564e-02
5.656854249492380404e+01 1.021315166764635504e-02 5.656854249492380404e+01 -2.528758956296390473e-03
6.363961030678927955e+01 1.873033392772818686e-03 6.363961030678927955e+01 -3.657298171313941998e-04
7.071067811865475505e+01 -1.347388354548159639e-03 7.071067811865475505e+01 6.685876875906058940e-03
7.778174593052023056e+01 -1.202777240617368404e-03 7.778174593052023056e+01 5.174210756858397403e-03
8.485281374238570606e+01 1.070207531085827979e-03 8.485281374238570606e+01 5.091220752527104466e-03
9.192388155425118157e+01 4.069998514963467720e-03 9.192388155425118157e+01 -4.733308216280132999e-03
9.899494936611665707e+01 6.728324739788387604e-03 9.899494936611665707e+01 -6.834945247105129150e-03
1.060660171779821326e+02 8.485729526140000506e-03 1.060660171779821326e+02 -4.946713873652307334e-04
1.131370849898476081e+02 1.075097140018241131e-02 1.131370849898476081e+02 6.599391569409113201e-03
1.202081528017130836e+02 1.386350232161146986e-02 1.202081528017130836e+02 2.734885394441303238e-03
1.272792206135785591e+02 1.708356370227614648e-02 1.272792206135785591e+02 -1.856974334164943280e-03
1.343502884254440346e+02 1.917726141420877939e-02 1.343502884254440346e+02 -9.149598779069794893e-03
1.414213562373095101e+02 1.899941205142130843e-02 1.414213562373095101e+02 -1.189688487059519656e-02
1.484924240491749856e+02 1.701290468370290562e-02 1.484924240491749856e+02 -9.571309185609324852e-03
1.555634918610404611e+02 1.431539944029782373e-02 1.555634918610404611e+02 -5.509554430702661744e-03
1.626345596729059366e+02 1.209452912640041761e-02 1.626345596729059366e+02 -3.020738924363718624e-03
1.697056274847714121e+02 1.150832447975600262e-02 1.697056274847714121e+02 -8.959128012424806206e-03
1.767766952966368876e+02 1.246516224526101300e-02 1.767766952966368876e+02 -3.980065035139441348e-03
1.838477631085023631e+02 1.361987755622422192e-02 1.838477631085023631e+02 -4.470104644486965449e-03
1.909188309203678386e+02 1.366146187082013623e-02 1.909188309203678386e+02 6.439748658509136022e-04
1.979898987322333141e+02 1.166088460657526034e-02 1.979898987322333141e+02 1.132798259553847347e-03
2.050609665440987897e+02 8.983307018496701837e-03 2.050609665440987897e+02 -9.746260279507505328e-03
2.121320343559642652e+02 7.268371958371775202e-03 2.121320343559642652e+02 -1.491123563272947310e-02
2.192031021678297407e+02 6.615940783768653986e-03 2.192031021678297407e+02 -1.218131142478962384e-02
2.262741699796952162e+02 6.380227747015402261e-03 2.262741699796952162e+02 -8.157436362968485677e-03
2.333452377915606917e+02 5.530677016111803200e-03 2.333452377915606917e+02 -2.918620275908630820e-03
2.404163056034261672e+02 4.151685269792930628e-03 2.404163056034261672e+02 1.733681359090050601e-03
2.474873734152916427e+02 3.493669117657062506e-03 2.474873734152916427e+02 -9.688791513413085900e-04
2.545584412271571182e+02 3.185625135326340066e-03 2.545584412271571182e+02 -9.585670231087058471e-03
2.616295090390225937e+02 2.660768268404457501e-03 2.616295090390225937e+02 -7.962923505070978319e-03
2.687005768508880692e+02 2.357449436618307657e-03 2.687005768508880692e+02 6.755563208238211416e-03
2.757716446627535447e+02 2.552149936803598321e-03 2.757716446627535447e+02 9.105533315722176557e-03
2.828427124746190202e+02 3.139160039562420394e-03 2.828427124746190202e+02 -2.587048587138851639e-03
2.899137802864844957e+02 3.264637209959504131e-03 2.899137802864844957e+02 -7.794414232008156987e-03
2.969848480983499712e+02 2.640665275235619825e-03 2.969848480983499712e+02 3.717829853398781949e-03
3.040559159102154467e+02 2.262766297801486418e-03 3.040559159102154467e+02 6.983030080691843278e-03
3.111269837220809222e+02 2.104466790707255897e-03 3.111269837220809222e+02 1.193378577783975325e-03
3.181980515339463977e+02 1.928887126509450057e-03 3.181980515339463977e+02 -4.652483727360988940e-03
3.252691193458118732e+02 2.219263420014393456e-03 3.252691193458118732e+02 -4.119447278962984696e-03
3.323401871576773488e+02 3.084681264861631467e-03 3.323401871576773488e+02 1.998384858952391169e-03
3.394112549695428243e+02 5.050621264157717331e-03 3.394112549695428243e+02 8.134711373503888607e-03
3.464823227814082998e+02 7.871928839434575928e-03 3.464823227814082998e+02 5.309573691563805944e-03
3.535533905932737753e+02 9.899916815854472446e-03 3.535533905932737753e+02 8.627761759097268834e-03
3.606244584051392508e+02 1.078891933448347315e-02 3.606244584051392508e+02 5.294740092429614346e-03
3.676955262170047263e+02 1.163824569355238064e-02 3.676955262170047263e+02 1.969037134185457755e-03
3.747665940288702018e+02 1.328090277308643236e-02 3.747665940288702018e+02 1.315909711503316856e-02
3.818376618407356773e+02 1.449285918211059079e-02 3.818376618407356773e+02 1.320527583931922766e-02
3.889087296526011528e+02 1.411296305942087020e-02 3.889087296526011528e+02 2.032954073433511887e-03
3.959797974644666283e+02 1.205130988382369789e-02 3.959797974644666283e+02 -4.011814108574018531e-03
4.030508652763321038e+02 8.841354924671113169e-03 4.030508652763321038e+02 -2.761889232705972558e-03
