# z, veer
4.100000000000000000e+02 2.417062882643523380e+02
4.125000000000000000e+02 2.417059504629723676e+02
4.150000000000000000e+02 2.417206123842096019e+02
4.175000000000000000e+02 2.417172562234220550e+02
4.200000000000000000e+02 2.417334285596079155e+02
4.225000000000000000e+02 2.417267837237781691e+02
4.250000000000000000e+02 2.417449616792531515e+02
4.275000000000000000e+02 2.417343718897031692e+02
4.300000000000000000e+02 2.417551150726706055e+02
4.325000000000000000e+02 2.417398471544214544e+02
4.350000000000000000e+02 2.417644365527343098e+02
4.375000000000000000e+02 2.417436568414242686e+02
4.400000000000000000e+02 2.417731052575665558e+02
4.425000000000000000e+02 2.417457726777618916e+02
4.450000000000000000e+02 2.417811733956561966e+02
4.475000000000000000e+02 2.417465837934745139e+02
4.500000000000000000e+02 2.417891779642374956e+02
4.525000000000000000e+02 2.417459741864439309e+02
4.550000000000000000e+02 2.417972211231399342e+02
4.575000000000000000e+02 2.417438545769016116e+02
4.600000000000000000e+02 2.418052471728160242e+02
4.625000000000000000e+02 2.417406599217778194e+02
4.650000000000000000e+02 2.418131225939790454e+02
4.675000000000000000e+02 2.417369541000558115e+02
4.700000000000000000e+02 2.418206820228770084e+02
4.725000000000000000e+02 2.417329846833994225e+02
4.750000000000000000e+02 2.418278027960980694e+02
4.775000000000000000e+02 2.417288526052037980e+02
4.800000000000000000e+02 2.418343606083246868e+02
4.825000000000000000e+02 2.417248760696251964e+02
4.850000000000000000e+02 2.418399815934241133e+02
4.875000000000000000e+02 2.417213088157193965e+02
4.900000000000000000e+02 2.418444661567878029e+02
4.925000000000000000e+02 2.417181538003883645e+02
4.950000000000000000e+02 2.418480560828278385e+02
4.975000000000000000e+02 2.417152813776362450e+02
5.000000000000000000e+02 2.418511264909402030e+02
5.025000000000000000e+02 2.417125902408917284e+02
5.050000000000000000e+02 2.418539514532573378e+02
5.075000000000000000e+02 2.417099793200280828e+02
5.100000000000000000e+02 2.418566928780155649e+02
5.125000000000000000e+02 2.417073822072632083e+02
5.150000000000000000e+02 2.418594189035098054e+02
5.175000000000000000e+02 2.417047636195771361e+02
5.200000000000000000e+02 2.418621626246877270e+02
5.225000000000000000e+02 2.417020998868747199e+02
5.250000000000000000e+02 2.418649440705244444e+02
5.275000000000000000e+02 2.416993783979164903e+02
5.300000000000000000e+02 2.418677710787141848e+02
5.325000000000000000e+02 2.416965973680649142e+02
5.350000000000000000e+02 2.418706443793281835e+02
5.375000000000000000e+02 2.416937586006155811e+02
5.400000000000000000e+02 2.418735635883315354e+02
5.425000000000000000e+02 2.416908636242368971e+02
5.450000000000000000e+02 2.418765287786748672e+02
