z Tu Tv Tw
1.125000000000000000e+02 1.779489479971482465e-03 3.109250929422501235e-04 -7.401376638418522350e-04
1.150000000000000000e+02 1.720764975145539248e-03 2.896703312572412653e-04 -7.102152173791023921e-04
1.175000000000000000e+02 1.668237651817139474e-03 2.695342406451800370e-04 -6.823597030981400427e-04
1.200000000000000000e+02 1.617852835755422903e-03 2.432754724672349768e-04 -6.552793013145270795e-04
1.225000000000000000e+02 1.568471360480270952e-03 2.088916385222432744e-04 -6.299967684686581370e-04
1.250000000000000000e+02 1.521074388716601739e-03 1.759222298074632749e-04 -6.057017133604493181e-04
1.275000000000000000e+02 1.478406089247323541e-03 1.541880104416577465e-04 -5.818118655546113864e-04
1.300000000000000000e+02 1.433802590018717557e-03 1.336443137509149884e-04 -5.582246983573348111e-04
1.325000000000000000e+02 1.380034971858287891e-03 1.161562892258757564e-04 -5.346287939782846943e-04
1.350000000000000000e+02 1.323969636407082342e-03 1.015790328820798962e-04 -5.117365495854850257e-04
1.375000000000000000e+02 1.266345626157999466e-03 9.252082688035443195e-05 -4.893049555812606886e-04
1.400000000000000000e+02 1.207165355093843496e-03 9.341545793848808664e-05 -4.681727724387437623e-04
1.425000000000000000e+02 1.154649143833683025e-03 9.029090961934115782e-05 -4.478206139725701370e-04
1.450000000000000000e+02 1.110245985072049260e-03 8.193147333828391813e-05 -4.287360824357913029e-04
1.475000000000000000e+02 1.065744039244827853e-03 6.628654772063101159e-05 -4.102972053420661101e-04
1.500000000000000000e+02 1.023412758658730475e-03 5.216403885467570648e-05 -3.928351555248400925e-04
1.525000000000000000e+02 9.864124427925958713e-04 4.381129815399162624e-05 -3.757928184185643740e-04
1.550000000000000000e+02 9.524013298593558309e-04 3.687050691987678650e-05 -3.594548286247978915e-04
1.575000000000000000e+02 9.204677833355276364e-04 3.047724953163424342e-05 -3.436516103078758990e-04
1.600000000000000000e+02 8.863929880344016427e-04 2.272611550298506765e-05 -3.284625470310231408e-04
1.625000000000000000e+02 8.554590097964592538e-04 1.454392563048259089e-05 -3.142374534041697661e-04
