# f, Suu, Svv, Sww
3.757575757575757486e-02 6.009039640578663910e-01 1.263683540136285310e-01 6.663530326160169159e-02
3.787878787878787984e-02 5.707710006105888301e-01 1.584801973237519590e-01 6.406841131451959659e-02
3.818181818181818482e-02 5.913690734787313552e-01 1.495419233969900452e-01 6.075559062761436147e-02
3.848484848484848286e-02 5.986706402889926393e-01 1.615851938681050481e-01 5.728004869079084821e-02
3.878787878787878785e-02 5.496086904044850119e-01 1.382948126165562952e-01 5.757287542564643035e-02
3.909090909090909283e-02 6.190566345439595386e-01 1.790292806836925876e-01 7.200155729176248298e-02
3.939393939393939087e-02 5.656995041084649234e-01 1.435048557335164010e-01 6.041151051328302879e-02
3.969696969696969585e-02 5.874485976527669129e-01 1.735631920790723370e-01 5.393317681063738989e-02
4.000000000000000083e-02 6.893491937958339255e-01 1.929990780162212372e-01 6.451711080744444715e-02
4.030303030303030581e-02 5.375656011837238735e-01 1.614061919112884103e-01 6.166493787458146580e-02
4.060606060606060386e-02 5.465405940234883131e-01 1.594806737190400669e-01 5.538022384854272145e-02
4.090909090909090884e-02 5.862316296683224293e-01 1.492020910169470360e-01 5.808583008888727750e-02
4.121212121212121382e-02 5.183689058274669748e-01 1.400522491466359432e-01 6.506660284075918566e-02
4.151515151515151186e-02 6.115268932397068813e-01 1.774191975339111660e-01 6.164225123775585180e-02
4.181818181818181684e-02 4.974588602053565123e-01 1.774524767607172371e-01 5.724581325704874990e-02
4.212121212121212183e-02 5.585184475091000689e-01 1.723311580190463876e-01 6.295122942377741337e-02
4.242424242424242681e-02 6.065055461525074021e-01 1.416566528626547750e-01 5.654129583121853680e-02
4.272727272727272485e-02 5.157226563337835579e-01 1.490460849782315744e-01 5.606595360777413828e-02
4.303030303030302983e-02 5.425815538859835030e-01 1.770698426763784583e-01 6.885814084517589972e-02
4.333333333333333481e-02 5.013331519806116798e-01 1.685255938051148927e-01 6.325702498441050647e-02
4.363636363636363980e-02 4.997592268857154463e-01 1.504224170783685921e-01 6.840565912666472792e-02
4.393939393939393784e-02 5.488276864023300394e-01 1.696959399972921556e-01 5.680121458227649356e-02
4.424242424242424282e-02 5.625501320303175623e-01 1.263860771781736836e-01 5.026705646964459845e-02
4.454545454545454780e-02 5.236262082563067910e-01 1.342438944033236548e-01 5.792766351420644555e-02
4.484848484848484584e-02 5.851470434730433601e-01 1.513275925623221996e-01 6.399510500228376697e-02
4.515151515151515083e-02 4.968211443437931529e-01 1.715192562425617850e-01 6.618298119155427428e-02
4.545454545454545581e-02 5.229048731158668639e-01 1.497349991928329793e-01 6.159728503379171410e-02
4.575757575757576079e-02 5.125412888186366978e-01 1.863517695038115207e-01 6.428684170936053988e-02
4.606060606060605883e-02 4.739224737638252916e-01 1.542344425893277804e-01 6.139453609734490946e-02
4.636363636363636381e-02 4.618928795345969562e-01 1.780383743750253989e-01 6.056974472050683650e-02
4.666666666666666879e-02 4.692216110375184712e-01 1.628669753149045440e-01 5.942938226965878423e-02
4.696969696969696684e-02 5.404382994210754632e-01 1.601275867997438984e-01 6.923071037285127849e-02
4.727272727272727182e-02 4.205212551492178430e-01 1.527703943232127382e-01 5.984243229545762460e-02
4.757575757575757680e-02 3.805411062092423635e-01 1.562310699765504518e-01 6.173516923310071181e-02
4.787878787878788178e-02 3.821684092370110086e-01 1.569624566034298896e-01 5.783271970167810222e-02
4.818181818181817982e-02 4.876302141268321066e-01 1.774002682578617873e-01 6.187263702560148737e-02
4.848484848484848481e-02 5.002501049689614954e-01 1.664255035503847402e-01 6.226140918481066350e-02
4.878787878787878979e-02 4.192329670914905493e-01 1.706575148556950250e-01 6.241202598529847073e-02
4.909090909090908783e-02 4.929194963630398885e-01 1.744745633733925660e-01 6.668161742549609527e-02
4.939393939393939281e-02 3.761278327430260249e-01 1.749844113271587787e-01 5.349250527258810062e-02
4.969696969696969779e-02 4.208428191332344026e-01 1.853210836897712099e-01 6.116471905891498334e-02
5.000000000000000278e-02 3.953362766461245847e-01 1.647289234899664834e-01 5.722359051092275328e-02
5.030303030303030082e-02 3.946759214353953160e-01 1.405537083490815964e-01 5.216903278037370723e-02
5.060606060606060580e-02 4.846816903256400133e-01 1.693648723043771065e-01 6.282069820274260863e-02
5.090909090909091078e-02 5.078719112987538642e-01 1.474383162550017279e-01 5.756613301197659183e-02
5.121212121212120882e-02 3.839968382879503372e-01 1.615390831747503531e-01 5.530548303336501464e-02
5.151515151515151381e-02 3.609066597590628866e-01 1.536086403282145296e-01 5.441192444989466359e-02
5.181818181818181879e-02 3.607342758877460365e-01 1.403102314683653817e-01 5.328359580837385007e-02
5.212121212121212377e-02 4.104830271327996605e-01 1.588882620480792096e-01 5.476969015272690339e-02
5.242424242424242181e-02 3.883480306321485109e-01 1.493040663056838524e-01 5.297028450295814678e-02
5.272727272727272679e-02 3.973553243669689650e-01 1.498124221507629306e-01 4.660015928559657628e-02
5.303030303030303177e-02 3.742328022215652417e-01 1.221133160968158188e-01 5.901780977133890688e-02
5.333333333333333676e-02 3.928605221884761689e-01 1.588351095909761868e-01 6.324991876478945618e-02
5.363636363636363480e-02 4.089300939912781097e-01 1.686860806428336357e-01 6.658620188012756569e-02
5.393939393939393978e-02 3.756943862773877152e-01 1.574421657222631055e-01 5.376130258171470805e-02
5.424242424242424476e-02 3.874214251155028155e-01 1.366043147125982904e-01 4.959307050093048758e-02
5.454545454545454281e-02 4.400807794455192656e-01 1.643006228807291635e-01 5.914536191975743734e-02
5.484848484848484779e-02 3.418897925298823304e-01 1.576152015431755149e-01 5.030961828857172247e-02
5.515151515151515277e-02 3.802776358982333793e-01 1.580971001860712599e-01 5.924824614605362499e-02
5.545454545454545775e-02 3.386029848702244438e-01 1.420318294472653342e-01 5.229182955368452679e-02
5.575757575757575579e-02 3.180719577541465948e-01 1.639232434839206498e-01 5.081250926692076897e-02
5.606060606060606077e-02 3.085175807453265917e-01 1.354062491424976589e-01 4.892035859404902931e-02
5.636363636363636576e-02 3.012144992297177137e-01 1.447099069589026232e-01 5.454024173753740240e-02
5.666666666666666380e-02 3.029958441916548728e-01 1.169762100517606623e-01 6.171849816205965400e-02
5.696969696969696878e-02 3.230314819338169774e-01 1.628373474929451503e-01 6.025312402013819485e-02
5.727272727272727376e-02 3.195473735892158662e-01 1.388020440090784735e-01 5.385332127961562493e-02
5.757575757575757874e-02 3.015631611924359246e-01 1.455196691357099892e-01 4.921859733914417390e-02
5.787878787878787679e-02 2.924616670416216313e-01 1.478129582399043129e-01 4.946199273265464852e-02
5.818181818181818177e-02 3.232269981309929263e-01 1.345508320261489255e-01 5.233035258323058547e-02
5.848484848484848675e-02 2.990559235019504269e-01 1.477608141710582967e-01 5.050918125876952686e-02
5.878787878787878479e-02 3.335182201916898070e-01 1.513051295168711674e-01 5.103331461512691097e-02
5.909090909090908977e-02 2.713538455756102641e-01 1.310825284032681448e-01 5.780537873330723886e-02
5.939393939393939476e-02 3.009908845580569481e-01 1.531446841985020513e-01 5.916506071359246138e-02
5.969696969696969974e-02 3.284205144616489380e-01 1.387250084167703235e-01 5.029111522039576149e-02
5.999999999999999778e-02 3.015865105512934297e-01 1.331210397967506620e-01 5.447779434267632087e-02
6.030303030303030276e-02 2.868930642345849935e-01 1.438435866526398821e-01 5.589604944428543803e-02
6.060606060606060774e-02 3.447448188028818250e-01 1.694406221547048452e-01 4.524626639533615297e-02
6.090909090909090579e-02 3.149832719639370504e-01 1.195431240572053661e-01 5.276710280681957271e-02
6.121212121212121077e-02 2.826872895631681870e-01 1.480520542564913722e-01 5.353476292674640147e-02
6.151515151515151575e-02 2.536476130280993502e-01 1.143782729616456689e-01 5.411683212431092627e-02
6.181818181818182073e-02 3.097807198768746106e-01 1.280315211452416613e-01 5.268471923380330796e-02
6.212121212121211877e-02 2.954953073103572248e-01 1.302452637279005454e-01 3.956633589387687638e-02
6.242424242424242375e-02 2.974990513763520195e-01 1.302854592790841093e-01 4.871268641740569838e-02
6.272727272727272874e-02 2.399684307432510544e-01 1.493091022895288722e-01 4.214323269551885354e-02
6.303030303030303372e-02 2.357972721018347095e-01 1.224724939152803255e-01 4.638717990212940651e-02
6.333333333333333870e-02 2.463773109781755843e-01 1.335992442528559920e-01 4.328566571734587809e-02
6.363636363636362980e-02 2.353688047612679524e-01 1.446061255058541939e-01 5.234142814700833840e-02
6.393939393939393478e-02 2.463525067180357131e-01 1.270772202220897262e-01 4.930388959491943668e-02
6.424242424242423977e-02 2.328978850027214331e-01 1.163189663825819758e-01 5.199913707198999813e-02
6.454545454545454475e-02 2.172332041227656718e-01 1.235846939162240088e-01 4.095379328797837948e-02
6.484848484848484973e-02 2.082805159499344638e-01 1.241100461896908064e-01 4.527205466698683983e-02
6.515151515151515471e-02 2.406154384511122735e-01 1.185516369312397678e-01 4.483256270863163889e-02
6.545454545454545969e-02 2.241559624475695234e-01 1.181300640772232624e-01 5.115405439271312332e-02
6.575757575757575080e-02 2.583722188161728939e-01 1.356279952714812276e-01 4.482582363189695912e-02
6.606060606060605578e-02 2.411042272357565019e-01 1.463312916908440786e-01 5.218568985203547034e-02
6.636363636363636076e-02 2.532384474456251255e-01 1.071202423616693239e-01 4.486297795618972989e-02
6.666666666666666574e-02 2.241780795206425592e-01 1.187918598753957000e-01 5.607090220883622494e-02
6.696969696969697072e-02 2.460263202142456418e-01 1.357598635703729795e-01 4.907306780347260589e-02
6.727272727272727570e-02 2.334895201839759238e-01 1.287637098911065259e-01 4.525394831794227885e-02
6.757575757575758069e-02 2.139089234644140636e-01 1.340991696216739804e-01 5.252751113361717183e-02
6.787878787878788567e-02 2.255205519022807636e-01 1.224840826419476697e-01 5.254610253706600009e-02
6.818181818181817677e-02 2.009642735190989848e-01 1.302241929921465480e-01 4.897565495426747101e-02
6.848484848484848175e-02 1.900411286393445531e-01 1.131158778835077705e-01 4.783476530306892543e-02
6.878787878787878673e-02 2.032383641690362619e-01 1.050222156727014522e-01 5.111756902919888795e-02
6.909090909090909172e-02 1.875611229845147720e-01 1.071338612265945733e-01 4.078272156691377381e-02
6.939393939393939670e-02 1.760995263782793308e-01 1.080230868040294168e-01 4.812832012530498388e-02
6.969696969696970168e-02 1.946518433807754300e-01 1.092405217745416879e-01 4.894718854001814390e-02
7.000000000000000666e-02 1.976985155973261243e-01 1.321306946228663903e-01 5.224784804533654653e-02
7.030303030303029777e-02 2.011851927866520062e-01 1.253163628359952597e-01 3.942669686817954627e-02
7.060606060606060275e-02 1.957792622357078238e-01 1.035893252738962073e-01 4.115497404841843287e-02
7.090909090909090773e-02 1.535658252683272385e-01 1.079932019901842094e-01 3.894999092219193770e-02
7.121212121212121271e-02 1.425630450968781993e-01 9.697909214714264814e-02 3.936036497154193903e-02
7.151515151515151769e-02 1.711434996238038464e-01 9.343193985525241607e-02 4.820267445635680048e-02
7.181818181818182267e-02 1.456416997604695063e-01 1.001998415239396534e-01 3.726352086508019634e-02
7.212121212121212765e-02 1.745869624096630934e-01 1.206557428697360851e-01 4.203789491208331786e-02
7.242424242424241876e-02 1.810978468675338571e-01 1.098571530807759683e-01 3.857945171420737451e-02
7.272727272727272374e-02 1.885723323677016006e-01 1.212876551074617698e-01 4.909260817735701388e-02
7.303030303030302872e-02 1.792213878603363952e-01 1.266167898690750138e-01 4.390218172337397029e-02
7.333333333333333370e-02 1.421365788538966057e-01 9.772227453723947299e-02 4.411125701685542772e-02
7.363636363636363869e-02 1.525732867840788876e-01 1.001424780848621521e-01 4.350259819415049078e-02
7.393939393939394367e-02 1.730905237274803499e-01 8.808931174432063638e-02 4.503369848462207559e-02
7.424242424242424865e-02 1.573650440983110910e-01 8.755465801019286787e-02 3.395309917132760535e-02
7.454545454545453975e-02 1.681257445003835338e-01 9.064739634827517767e-02 3.599651205546926247e-02
7.484848484848484473e-02 1.624933122927700313e-01 1.271606745415653217e-01 4.887679631955726273e-02
7.515151515151514972e-02 1.442812302612843378e-01 9.520404015901826056e-02 4.605273402693751961e-02
7.545454545454545470e-02 1.420370848814702103e-01 1.073222339716367602e-01 4.262604268654460876e-02
7.575757575757575968e-02 1.648376750770452481e-01 1.009585026352657067e-01 4.145028504027448157e-02
7.606060606060606466e-02 1.458838235347418855e-01 8.441862084821014078e-02 4.541289331190597606e-02
7.636363636363636964e-02 1.493321977834206338e-01 9.151535589270549942e-02 4.324575412066713337e-02
7.666666666666666075e-02 1.348996308576743408e-01 7.724381060273372013e-02 3.718568825316823784e-02
7.696969696969696573e-02 1.434930967289650416e-01 9.564909879906507983e-02 3.878903431463683743e-02
7.727272727272727071e-02 1.246443764271330523e-01 9.804094869356778930e-02 3.717557369145071261e-02
7.757575757575757569e-02 1.326035362287232566e-01 1.061280738608023494e-01 4.044720516754823914e-02
7.787878787878788067e-02 1.391520047965621454e-01 9.688573423807489426e-02 4.116952665317979293e-02
7.818181818181818565e-02 1.419872182889864998e-01 9.645483619844258394e-02 3.594183588031876764e-02
7.848484848484849064e-02 1.215199749834984383e-01 8.545090701808920330e-02 3.995332590163284264e-02
7.878787878787878174e-02 1.179470320010850698e-01 9.712555181362533818e-02 4.032930422409050641e-02
7.909090909090908672e-02 1.148043894146467681e-01 8.375707303461508990e-02 3.949317163160605965e-02
7.939393939393939170e-02 1.378524850597712126e-01 9.442657168241985755e-02 4.153385340374338847e-02
7.969696969696969668e-02 1.359929738656882048e-01 6.997254220483829779e-02 3.537821275360096551e-02
8.000000000000000167e-02 1.140631871056077135e-01 8.146996780374132774e-02 3.502034450384068631e-02
8.030303030303030665e-02 1.244789115761871373e-01 8.252633527926182821e-02 3.537721596442230942e-02
8.060606060606061163e-02 1.148007137378290188e-01 8.866122287926045398e-02 3.437949023633160572e-02
8.090909090909090273e-02 1.004331743179480707e-01 8.585923567228805064e-02 3.203147976820786003e-02
8.121212121212120771e-02 1.167750149082545930e-01 8.722472650159517060e-02 3.542722916639795550e-02
8.151515151515151270e-02 1.187600869882780852e-01 8.937845695682462843e-02 3.942576992066475911e-02
8.181818181818181768e-02 1.310300082771444219e-01 9.024957253371961030e-02 3.875658454337319730e-02
8.212121212121212266e-02 1.049196458926067443e-01 8.065074054158996586e-02 3.830359325084593813e-02
8.242424242424242764e-02 1.197897800206386004e-01 8.114361071079648213e-02 3.760243526077754889e-02
8.272727272727273262e-02 1.022175783356411016e-01 5.774446576809153658e-02 3.085726331593290073e-02
8.303030303030302373e-02 1.078463773819773874e-01 7.269253428278781015e-02 3.679330748354002478e-02
8.333333333333332871e-02 1.065778627853298799e-01 7.587444318577341029e-02 3.485048494162731186e-02
8.363636363636363369e-02 9.521644595225246810e-02 6.667525484679508174e-02 3.315805835103925042e-02
8.393939393939393867e-02 1.110533289686245761e-01 7.732381128994744723e-02 3.222719912812866544e-02
8.424242424242424365e-02 9.889271793992705784e-02 8.198630717436838911e-02 3.094125956569398692e-02
8.454545454545454863e-02 1.037625882075494527e-01 8.207971739366369535e-02 3.435376861304229035e-02
8.484848484848485362e-02 9.374828685973969622e-02 6.176793945293338611e-02 2.909103729198660865e-02
8.515151515151514472e-02 8.589740222610825482e-02 6.048467686953717948e-02 3.259910406860406368e-02
8.545454545454544970e-02 8.908672564593853038e-02 7.288448297121613573e-02 3.370648591312162129e-02
8.575757575757575468e-02 8.381367640303488686e-02 7.107090670666836585e-02 2.881745371416703783e-02
8.606060606060605966e-02 9.019487946437536319e-02 8.197728799379998266e-02 3.623013022693898078e-02
8.636363636363636465e-02 1.039672797925696862e-01 6.872783593900651244e-02 3.535252335520382844e-02
8.666666666666666963e-02 8.825620213674079118e-02 7.789135609838934715e-02 2.992394328261630682e-02
8.696969696969697461e-02 8.118164125008464627e-02 7.812038312812845386e-02 3.328813081217029540e-02
8.727272727272727959e-02 8.689474575547442847e-02 7.006741407595766524e-02 3.174723790896741282e-02
8.757575757575757069e-02 8.681305902469754754e-02 7.112308093824173949e-02 2.923852899648678866e-02
8.787878787878787568e-02 8.403124441121698207e-02 5.718791444761107262e-02 2.593736858526814182e-02
