# z, Alpha
3.375000000000000000e+02 4.693317584879300175e-02
3.400000000000000000e+02 4.542981146299076428e-02
3.425000000000000000e+02 4.291660935306500918e-02
3.450000000000000000e+02 3.981990277529793426e-02
3.475000000000000000e+02 3.634796898666803333e-02
3.500000000000000000e+02 3.553621942951343260e-02
3.525000000000000000e+02 3.410512879050511120e-02
3.550000000000000000e+02 3.282014990616476113e-02
3.575000000000000000e+02 3.097249875015278472e-02
3.600000000000000000e+02 2.976884316823310422e-02
3.625000000000000000e+02 2.942406605425704549e-02
3.650000000000000000e+02 2.831997639035264275e-02
3.675000000000000000e+02 2.512476772840613673e-02
3.700000000000000000e+02 2.514204117697412325e-02
3.725000000000000000e+02 2.357627346955883108e-02
3.750000000000000000e+02 2.212682584308067052e-02
3.775000000000000000e+02 2.072613927382099125e-02
3.800000000000000000e+02 2.039161716078660355e-02
3.825000000000000000e+02 2.217847528162503884e-02
3.850000000000000000e+02 1.971976987272793316e-02
3.875000000000000000e+02 2.497343782485310013e-02
3.900000000000000000e+02 1.759237983961949373e-02
3.925000000000000000e+02 2.387902828389731197e-02
3.950000000000000000e+02 1.407123249943579603e-02
3.975000000000000000e+02 2.444958324467998503e-02
4.000000000000000000e+02 1.169987268106206270e-02
4.025000000000000000e+02 2.451087309490779936e-02
4.050000000000000000e+02 1.019559178319235683e-02
4.075000000000000000e+02 2.537172273657688215e-02
4.100000000000000000e+02 8.675240858789365003e-03
4.125000000000000000e+02 2.673453510779574480e-02
4.150000000000000000e+02 8.494104082581895032e-03
4.175000000000000000e+02 3.017643589460310138e-02
4.200000000000000000e+02 9.770292353524830803e-03
4.225000000000000000e+02 3.252717733717359894e-02
4.250000000000000000e+02 9.019085699875584172e-03
4.275000000000000000e+02 3.235038535152975209e-02
4.300000000000000000e+02 8.070052290633396991e-03
4.325000000000000000e+02 3.103000718196287713e-02
4.350000000000000000e+02 7.499699362387920315e-03
4.375000000000000000e+02 2.886768668324806927e-02
4.400000000000000000e+02 5.926715932835836288e-03
4.425000000000000000e+02 2.662770744665956743e-02
4.450000000000000000e+02 3.926215212212470947e-03
4.475000000000000000e+02 2.516639452322170373e-02
4.500000000000000000e+02 -6.878173975766345557e-05
4.525000000000000000e+02 2.530248559144546855e-02
4.550000000000000000e+02 -5.490424241933147820e-03
4.575000000000000000e+02 2.741393776222328382e-02
4.600000000000000000e+02 -1.170648471211936138e-02
4.625000000000000000e+02 2.994818993078730493e-02
4.650000000000000000e+02 -1.821042305551873186e-02
4.675000000000000000e+02 3.212278493549877018e-02
4.700000000000000000e+02 -2.434741006543530289e-02
4.725000000000000000e+02 3.395445543394386145e-02
4.750000000000000000e+02 -2.941506820322643476e-02
4.775000000000000000e+02 3.569160426980722695e-02
4.800000000000000000e+02 -3.266809238808866117e-02
4.825000000000000000e+02 3.663376840879069285e-02
4.850000000000000000e+02 -3.442163509497723345e-02
4.875000000000000000e+02 3.645658079502332033e-02
4.900000000000000000e+02 -3.501564026526810675e-02
4.925000000000000000e+02 3.559826514309986922e-02
4.950000000000000000e+02 -3.484247692291669862e-02
4.975000000000000000e+02 3.462237383272454699e-02
5.000000000000000000e+02 -3.429085987662366247e-02
5.025000000000000000e+02 3.376238641425351183e-02
5.050000000000000000e+02 -3.359052996801042967e-02
5.075000000000000000e+02 3.299387918132514613e-02
5.100000000000000000e+02 -3.283292188432439945e-02
5.125000000000000000e+02 3.224941710288455055e-02
5.150000000000000000e+02 -3.203292197373153183e-02
5.175000000000000000e+02 3.146181465397936139e-02
5.200000000000000000e+02 -3.115823421949757976e-02
5.225000000000000000e+02 3.056861848009711363e-02
5.250000000000000000e+02 -3.016040841846735765e-02
5.275000000000000000e+02 2.952178413724290684e-02
5.300000000000000000e+02 -2.899897178046712681e-02
5.325000000000000000e+02 2.828840965340876507e-02
