 z veer
0.000000000000000000e+00 2.223038181592896478e+02
6.000000000000000000e+00 2.229378825832300208e+02
1.200000000000000000e+01 2.237791136692378586e+02
1.800000000000000000e+01 2.246940623272661526e+02
2.400000000000000000e+01 2.255769251318570241e+02
3.000000000000000000e+01 2.263585869354508873e+02
3.600000000000000000e+01 2.270119402532529307e+02
4.200000000000000000e+01 2.275746337123144940e+02
4.800000000000000000e+01 2.280711402438553819e+02
5.400000000000000000e+01 2.285262181446400689e+02
6.000000000000000000e+01 2.289596981287888013e+02
6.600000000000000000e+01 2.293883680329435037e+02
7.200000000000000000e+01 2.298131440686708515e+02
7.800000000000000000e+01 2.302325402842430719e+02
8.400000000000000000e+01 2.306385374469937801e+02
9.000000000000000000e+01 2.310410650182006975e+02
9.600000000000000000e+01 2.314224455802831244e+02
1.020000000000000000e+02 2.317936882493823418e+02
1.080000000000000000e+02 2.321536710283286880e+02
1.140000000000000000e+02 2.324974563772511829e+02
1.200000000000000000e+02 2.328338084233313907e+02
1.260000000000000000e+02 2.331594969156923298e+02
1.320000000000000000e+02 2.334726892420360400e+02
1.380000000000000000e+02 2.337773437607247047e+02
1.440000000000000000e+02 2.340660697570103821e+02
1.500000000000000000e+02 2.343359949364915451e+02
1.560000000000000000e+02 2.345949711007135363e+02
1.620000000000000000e+02 2.348432429335118172e+02
1.680000000000000000e+02 2.350763906032081536e+02
1.740000000000000000e+02 2.353020852601360104e+02
1.800000000000000000e+02 2.355167078778962377e+02
1.860000000000000000e+02 2.357215483313467246e+02
1.920000000000000000e+02 2.359175460414951999e+02
1.980000000000000000e+02 2.361050032023741210e+02
2.040000000000000000e+02 2.362850012767638646e+02
2.100000000000000000e+02 2.364588482299561747e+02
2.160000000000000000e+02 2.366257869583246816e+02
2.220000000000000000e+02 2.367870124390412343e+02
2.280000000000000000e+02 2.369413617570277495e+02
2.340000000000000000e+02 2.370923582992122647e+02
2.400000000000000000e+02 2.372351661735606001e+02
2.460000000000000000e+02 2.373731327567197127e+02
2.520000000000000000e+02 2.375039959364463584e+02
2.580000000000000000e+02 2.376333379646745811e+02
2.640000000000000000e+02 2.377584742309072396e+02
2.700000000000000000e+02 2.378777992348473731e+02
2.760000000000000000e+02 2.379895449284098561e+02
2.820000000000000000e+02 2.380969026040689300e+02
2.880000000000000000e+02 2.381996634668807644e+02
2.940000000000000000e+02 2.383005267440900354e+02
3.000000000000000000e+02 2.383956952599748149e+02
3.060000000000000000e+02 2.384874371300402345e+02
3.120000000000000000e+02 2.385737896805812852e+02
3.180000000000000000e+02 2.386585494165786656e+02
3.240000000000000000e+02 2.387400280814637767e+02
3.300000000000000000e+02 2.388178604564066063e+02
3.360000000000000000e+02 2.388905540102118437e+02
3.420000000000000000e+02 2.389584580554869717e+02
3.480000000000000000e+02 2.390216505081658909e+02
3.540000000000000000e+02 2.390816120868594794e+02
3.600000000000000000e+02 2.391392513772436246e+02
3.660000000000000000e+02 2.391924940719191852e+02
3.720000000000000000e+02 2.392438036993340233e+02
3.780000000000000000e+02 2.392902972762537672e+02
3.840000000000000000e+02 2.393381979076509367e+02
3.900000000000000000e+02 2.393791499302639920e+02
