 z Alpha
0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.741614191160384961e-01
1.200000000000000000e+01 2.358562973742892310e-01
1.800000000000000000e+01 2.354506683736963812e-01
2.400000000000000000e+01 2.232471146040588272e-01
3.000000000000000000e+01 2.100609665407107418e-01
3.600000000000000000e+01 2.003028213426819304e-01
4.200000000000000000e+01 1.893172992104362462e-01
4.800000000000000000e+01 1.832029867762400843e-01
5.400000000000000000e+01 1.777433938608504738e-01
6.000000000000000000e+01 1.796314741712117524e-01
6.600000000000000000e+01 1.787653865953403032e-01
7.200000000000000000e+01 1.800145578172807903e-01
7.800000000000000000e+01 1.815583416740601530e-01
8.400000000000000000e+01 1.826704212907061808e-01
9.000000000000000000e+01 1.773037054847344807e-01
9.600000000000000000e+01 1.735281153364065521e-01
1.020000000000000000e+02 1.644236734513567222e-01
1.080000000000000000e+02 1.595712644152315340e-01
1.140000000000000000e+02 1.538868552959078428e-01
1.200000000000000000e+02 1.461222012401365289e-01
1.260000000000000000e+02 1.421596040662109206e-01
1.320000000000000000e+02 1.370438022548024493e-01
1.380000000000000000e+02 1.291854798261260207e-01
1.440000000000000000e+02 1.230800313926068840e-01
1.500000000000000000e+02 1.166834048978590832e-01
1.560000000000000000e+02 1.125923050490532373e-01
1.620000000000000000e+02 1.092349764950722446e-01
1.680000000000000000e+02 1.046725495664929395e-01
1.740000000000000000e+02 9.685989149772267215e-02
1.800000000000000000e+02 9.541844508780635004e-02
1.860000000000000000e+02 9.178261142584089038e-02
1.920000000000000000e+02 9.024243517071808829e-02
1.980000000000000000e+02 8.764603127700655583e-02
2.040000000000000000e+02 8.599197167948036125e-02
2.100000000000000000e+02 8.297033673653300689e-02
2.160000000000000000e+02 7.810322697502232459e-02
2.220000000000000000e+02 7.893375005119054877e-02
2.280000000000000000e+02 7.515011044906391713e-02
2.340000000000000000e+02 6.999077962553142129e-02
2.400000000000000000e+02 7.133954968336100877e-02
2.460000000000000000e+02 6.983243428021154720e-02
2.520000000000000000e+02 6.947558211554204222e-02
2.580000000000000000e+02 6.303758443401963341e-02
2.640000000000000000e+02 6.259407867931870983e-02
2.700000000000000000e+02 5.893780294955478644e-02
2.760000000000000000e+02 5.960084757698572849e-02
2.820000000000000000e+02 5.742287682708733382e-02
2.880000000000000000e+02 5.344110232045778952e-02
2.940000000000000000e+02 5.390968067119632917e-02
3.000000000000000000e+02 5.519561599696631154e-02
3.060000000000000000e+02 5.250989074517278810e-02
3.120000000000000000e+02 5.127948076027163266e-02
3.180000000000000000e+02 4.963194008999000789e-02
3.240000000000000000e+02 4.754913385154267702e-02
3.300000000000000000e+02 4.775538810258501271e-02
3.360000000000000000e+02 4.594276729654110658e-02
3.420000000000000000e+02 4.310798469276248129e-02
3.480000000000000000e+02 3.807022905709809418e-02
3.540000000000000000e+02 3.855362441345793617e-02
3.600000000000000000e+02 3.454439013816232307e-02
3.660000000000000000e+02 3.590976373572520031e-02
3.720000000000000000e+02 3.188195984767234342e-02
3.780000000000000000e+02 3.418839646986243652e-02
3.840000000000000000e+02 2.572419267967991641e-02
3.900000000000000000e+02 2.942687740291854634e-02
3.960000000000000000e+02 2.124247472642455323e-02
4.020000000000000000e+02 2.542375188903671021e-02
4.080000000000000000e+02 1.581523021280455826e-02
4.140000000000000000e+02 2.404093716044972129e-02
4.200000000000000000e+02 1.314287196305024413e-02
4.260000000000000000e+02 2.104847725786200552e-02
4.320000000000000000e+02 1.202380111210270969e-02
4.380000000000000000e+02 1.965958460627545423e-02
4.440000000000000000e+02 7.930187971532491609e-03
4.500000000000000000e+02 1.520587392484117582e-02
4.560000000000000000e+02 4.029247622807388685e-03
4.620000000000000000e+02 1.219654465616054791e-02
4.680000000000000000e+02 2.164623781821372467e-03
4.740000000000000000e+02 1.183929332680767714e-02
4.800000000000000000e+02 2.687195108207992775e-03
4.860000000000000000e+02 1.125908598330853730e-02
4.920000000000000000e+02 2.088591147990917583e-03
4.980000000000000000e+02 9.674206058459988017e-03
5.040000000000000000e+02 3.333668081348326213e-03
5.100000000000000000e+02 8.813821243016243742e-03
5.160000000000000000e+02 -1.226432250661048081e-03
5.220000000000000000e+02 5.380854106814601454e-03
5.280000000000000000e+02 -7.617891124159202783e-03
5.340000000000000000e+02 -4.532243520698722890e-03
5.400000000000000000e+02 2.963111155281376234e-04
5.460000000000000000e+02 -6.017749866089555297e-03
5.520000000000000000e+02 -1.764711813309395713e-03
5.580000000000000000e+02 1.326489543916411617e-03
5.640000000000000000e+02 -2.200801845293085587e-03
5.700000000000000000e+02 6.603557301155719636e-03
5.760000000000000000e+02 -1.232484735397439829e-02
5.820000000000000000e+02 7.712690955282425339e-04
5.880000000000000000e+02 -8.775639377047429746e-03
5.940000000000000000e+02 1.414380471663483074e-02
6.000000000000000000e+02 1.140875186971834461e-03
6.060000000000000000e+02 5.466496049863708850e-02
6.120000000000000000e+02 -3.070335499508540858e-02
6.180000000000000000e+02 8.594610867598591331e-02
6.240000000000000000e+02 -4.134232884623167958e-02
6.300000000000000000e+02 1.098593316000974762e-01
6.360000000000000000e+02 -1.109348319729000776e-01
6.420000000000000000e+02 6.218108508152426356e-03
6.480000000000000000e+02 -2.807996696598455411e-01
6.540000000000000000e+02 4.395730561972461814e-01
6.600000000000000000e+02 -4.008147643038960650e-01
6.660000000000000000e+02 5.462311179900358749e-01
6.720000000000000000e+02 -5.146814211294334918e-01
6.780000000000000000e+02 4.645282229567427867e-01
6.840000000000000000e+02 -3.949367873410785656e-01
6.900000000000000000e+02 3.381048938791720304e-01
6.960000000000000000e+02 -2.829621578320561937e-01
7.020000000000000000e+02 2.455307689246317149e-01
7.080000000000000000e+02 -2.297273605370871996e-01
7.140000000000000000e+02 2.104674157646553856e-01
7.200000000000000000e+02 -1.868506599570645688e-01
7.260000000000000000e+02 1.569577065231467783e-01
7.320000000000000000e+02 -9.603917842895504098e-02
7.380000000000000000e+02 5.186618733884589688e-02
