 z TI
0.000000000000000000e+00 3.958003364289492537e-02
6.000000000000000000e+00 4.381214340435185539e-02
1.200000000000000000e+01 4.648038673832772388e-02
1.800000000000000000e+01 4.667810147474407700e-02
2.400000000000000000e+01 4.519467632666953477e-02
3.000000000000000000e+01 4.307890029265901144e-02
3.600000000000000000e+01 4.080927480979978927e-02
4.200000000000000000e+01 3.853048656782486620e-02
4.800000000000000000e+01 3.626676900328752035e-02
5.400000000000000000e+01 3.404403766562381917e-02
6.000000000000000000e+01 3.205793093447292103e-02
6.600000000000000000e+01 3.025459666534101658e-02
7.200000000000000000e+01 2.849927200237994257e-02
7.800000000000000000e+01 2.689530181821970373e-02
8.400000000000000000e+01 2.533454889750041267e-02
9.000000000000000000e+01 2.385125907836184792e-02
9.600000000000000000e+01 2.254478592608186518e-02
1.020000000000000000e+02 2.136340800724388297e-02
1.080000000000000000e+02 2.031203581231386113e-02
1.140000000000000000e+02 1.940947030258713055e-02
1.200000000000000000e+02 1.860346630540488100e-02
1.260000000000000000e+02 1.790894276721750542e-02
1.320000000000000000e+02 1.725853687202499528e-02
1.380000000000000000e+02 1.668568862792250973e-02
1.440000000000000000e+02 1.619635682001637281e-02
1.500000000000000000e+02 1.573819864873763144e-02
1.560000000000000000e+02 1.529118539324235068e-02
1.620000000000000000e+02 1.485221866688607624e-02
1.680000000000000000e+02 1.445596767954470709e-02
1.740000000000000000e+02 1.409487770355848796e-02
1.800000000000000000e+02 1.377791318053319704e-02
1.860000000000000000e+02 1.345910178264873684e-02
1.920000000000000000e+02 1.316287777652915339e-02
1.980000000000000000e+02 1.287183981329612786e-02
2.040000000000000000e+02 1.261232472874966072e-02
2.100000000000000000e+02 1.236396374720592772e-02
2.160000000000000000e+02 1.210476321307658691e-02
2.220000000000000000e+02 1.183675543522154892e-02
2.280000000000000000e+02 1.158155550947047308e-02
2.340000000000000000e+02 1.132330940119042305e-02
2.400000000000000000e+02 1.108226040726025853e-02
2.460000000000000000e+02 1.086440717778567634e-02
2.520000000000000000e+02 1.061492143546523791e-02
2.580000000000000000e+02 1.034715692345209055e-02
2.640000000000000000e+02 1.010020507138617227e-02
2.700000000000000000e+02 9.834141314667419961e-03
2.760000000000000000e+02 9.530350852609783055e-03
2.820000000000000000e+02 9.258945998713286746e-03
2.880000000000000000e+02 9.030428257401907147e-03
2.940000000000000000e+02 8.824129640832607466e-03
3.000000000000000000e+02 8.613776660438075827e-03
3.060000000000000000e+02 8.376581932174538211e-03
3.120000000000000000e+02 8.125255488853535407e-03
3.180000000000000000e+02 7.890736224319249564e-03
3.240000000000000000e+02 7.657087654566166815e-03
3.300000000000000000e+02 7.398569941801626942e-03
3.360000000000000000e+02 7.140809715102239275e-03
3.420000000000000000e+02 6.864442061329508425e-03
3.480000000000000000e+02 6.572712292304013111e-03
3.540000000000000000e+02 6.301629509112880757e-03
3.600000000000000000e+02 6.047090758913704206e-03
3.660000000000000000e+02 5.802287248257955582e-03
3.720000000000000000e+02 5.556842105444843166e-03
3.780000000000000000e+02 5.320471305428712931e-03
3.840000000000000000e+02 5.092870735912763229e-03
3.900000000000000000e+02 4.900353377669804805e-03
3.960000000000000000e+02 4.715021693975330989e-03
4.020000000000000000e+02 4.525982425593509662e-03
4.080000000000000000e+02 4.339451572562234849e-03
4.140000000000000000e+02 4.175919941773052931e-03
4.200000000000000000e+02 4.037973964248317733e-03
4.260000000000000000e+02 3.910125019312608342e-03
4.320000000000000000e+02 3.801066498492285291e-03
4.380000000000000000e+02 3.714669284887670616e-03
4.440000000000000000e+02 3.626344704060530891e-03
4.500000000000000000e+02 3.567034504871810768e-03
4.560000000000000000e+02 3.485623890177788880e-03
4.620000000000000000e+02 3.432147194129585212e-03
4.680000000000000000e+02 3.376561641017884318e-03
4.740000000000000000e+02 3.324792508590829199e-03
4.800000000000000000e+02 3.275975816496726114e-03
4.860000000000000000e+02 3.235822612820817273e-03
4.920000000000000000e+02 3.210492577367802559e-03
4.980000000000000000e+02 3.200276307287164626e-03
5.040000000000000000e+02 3.174239080334973189e-03
5.100000000000000000e+02 3.211330371413304279e-03
5.160000000000000000e+02 3.206114044722352049e-03
5.220000000000000000e+02 3.243239356383230410e-03
5.280000000000000000e+02 3.279489581283632788e-03
5.340000000000000000e+02 3.365276139485037614e-03
5.400000000000000000e+02 3.466109547677816063e-03
5.460000000000000000e+02 3.498162780375810819e-03
5.520000000000000000e+02 3.690665869377085604e-03
5.580000000000000000e+02 3.755453523032995997e-03
5.640000000000000000e+02 4.118624341450265181e-03
5.700000000000000000e+02 4.186951476984671766e-03
5.760000000000000000e+02 4.747068304862283976e-03
5.820000000000000000e+02 4.807898296302131821e-03
5.880000000000000000e+02 5.583999252784184290e-03
5.940000000000000000e+02 5.685486607862488655e-03
6.000000000000000000e+02 6.338338784191481501e-03
6.060000000000000000e+02 6.621482225949319733e-03
6.120000000000000000e+02 7.194545270383878588e-03
6.180000000000000000e+02 7.670204313211840055e-03
6.240000000000000000e+02 8.295294934382371754e-03
6.300000000000000000e+02 9.047683851618699979e-03
6.360000000000000000e+02 9.867314348195274989e-03
6.420000000000000000e+02 1.010759754043126166e-02
6.480000000000000000e+02 1.017333623178833663e-02
6.540000000000000000e+02 9.650008325969541140e-03
