# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 1.085766874383525815e-01
1.500000000000000000e+01 6.899383264027410256e-02
2.250000000000000000e+01 6.095341221371646662e-02
3.000000000000000000e+01 4.322904703116083741e-02
3.750000000000000000e+01 4.560662594115386798e-02
4.500000000000000000e+01 3.751723438509324549e-02
5.250000000000000000e+01 4.081338094909803260e-02
6.000000000000000000e+01 3.538458423565565142e-02
6.750000000000000000e+01 3.825861904978834771e-02
7.500000000000000000e+01 3.344297402961114024e-02
8.250000000000000000e+01 3.531285251384972540e-02
9.000000000000000000e+01 3.171084285422147431e-02
9.750000000000000000e+01 3.315529896071023330e-02
1.050000000000000000e+02 2.998831485773163080e-02
1.125000000000000000e+02 3.114251555566249080e-02
1.200000000000000000e+02 2.804300783253073012e-02
1.275000000000000000e+02 2.863121007023802442e-02
1.350000000000000000e+02 2.612718775735404717e-02
1.425000000000000000e+02 2.630938271081951010e-02
1.500000000000000000e+02 2.388167371425002281e-02
1.575000000000000000e+02 2.443430923746150660e-02
1.650000000000000000e+02 2.274232455074760156e-02
1.725000000000000000e+02 2.367960430119032955e-02
1.800000000000000000e+02 2.185761922349949496e-02
1.875000000000000000e+02 2.191020766490598196e-02
1.950000000000000000e+02 2.051275568787461548e-02
2.025000000000000000e+02 2.050921697590262632e-02
2.100000000000000000e+02 1.870637685779327763e-02
2.175000000000000000e+02 1.874557476765496139e-02
2.250000000000000000e+02 1.736807818451140129e-02
2.325000000000000000e+02 1.719908149999018962e-02
2.400000000000000000e+02 1.545657572273781595e-02
2.475000000000000000e+02 1.548270553044419143e-02
2.550000000000000000e+02 1.417569098014975250e-02
2.625000000000000000e+02 1.435714168763350777e-02
2.700000000000000000e+02 1.321484259845561414e-02
2.775000000000000000e+02 1.331834914167598707e-02
2.850000000000000000e+02 1.189783769749313408e-02
2.925000000000000000e+02 1.140047747389044165e-02
3.000000000000000000e+02 9.173991151215761530e-03
3.075000000000000000e+02 9.103388483069652440e-03
3.150000000000000000e+02 8.412227195729116494e-03
3.225000000000000000e+02 8.084446611701181368e-03
3.300000000000000000e+02 7.560141218900730264e-03
3.375000000000000000e+02 7.153267395328679126e-03
3.450000000000000000e+02 6.169802410221914869e-03
3.525000000000000000e+02 5.117711270573746182e-03
3.600000000000000000e+02 3.808444047957355773e-03
3.675000000000000000e+02 3.061751652533568555e-03
3.750000000000000000e+02 2.226215589355880209e-03
3.825000000000000000e+02 1.434087577983963763e-03
3.900000000000000000e+02 4.734857270493975177e-04
3.975000000000000000e+02 3.517917378554808231e-04
4.050000000000000000e+02 1.930007571430581857e-04
4.125000000000000000e+02 -3.420360194793878187e-04
4.200000000000000000e+02 -7.224225232855083657e-04
4.275000000000000000e+02 -1.640278188240970559e-03
4.350000000000000000e+02 -2.136743639014681423e-03
4.425000000000000000e+02 -2.682468761179835660e-03
4.500000000000000000e+02 -3.139519025300305591e-03
4.575000000000000000e+02 -3.462765396474584527e-03
4.650000000000000000e+02 -4.610579080588167282e-03
4.725000000000000000e+02 -4.855175982408490264e-03
4.800000000000000000e+02 -5.724809489250103946e-03
4.875000000000000000e+02 -4.988110690211134367e-03
4.950000000000000000e+02 -4.625780375765550963e-03
5.025000000000000000e+02 -4.097506010954288583e-03
5.100000000000000000e+02 -4.883882848494465641e-03
5.175000000000000000e+02 -5.374610986915578925e-03
5.250000000000000000e+02 -6.310291378340714651e-03
5.325000000000000000e+02 -6.113829284333153688e-03
5.400000000000000000e+02 -5.636244448825569915e-03
5.475000000000000000e+02 -6.062350031830805556e-03
5.550000000000000000e+02 -6.349779163226929209e-03
5.625000000000000000e+02 -6.157830615640277894e-03
5.700000000000000000e+02 -6.253440245269074882e-03
5.775000000000000000e+02 -6.606214642605764617e-03
5.850000000000000000e+02 -6.353544761106382811e-03
5.925000000000000000e+02 -6.251016722705013753e-03
6.000000000000000000e+02 -6.031447610640771131e-03
6.075000000000000000e+02 -5.847241988454151412e-03
