# z, u, v, w, u_mag
7.000000000000000000e+01 4.357577622349022128e+00 4.033597585072767444e+00 5.970835288864902135e-07 5.937877753297231109e+00
7.250000000000000000e+01 4.381713789851926499e+00 4.043845657159410578e+00 1.075774344094331980e-06 5.962558463873265602e+00
7.500000000000000000e+01 4.405305058553343756e+00 4.053583808621953111e+00 1.007706437385900436e-06 5.986506022083228906e+00
7.750000000000000000e+01 4.428262017036970200e+00 4.062734644660881855e+00 1.067243523506358984e-06 6.009602090360163906e+00
8.000000000000000000e+01 4.450592074676492871e+00 4.071390607041839083e+00 3.939319765213412639e-07 6.031914396796582700e+00
8.250000000000000000e+01 4.472357582522630715e+00 4.079648847263069200e+00 7.305722151461821615e-07 6.053554085239769122e+00
8.500000000000000000e+01 4.493688922873515956e+00 4.087540082173876321e+00 9.190368324869359467e-07 6.074637771829280553e+00
8.750000000000000000e+01 4.514760951670402811e+00 4.095102309595647583e+00 5.206537330088332126e-07 6.095320285004202532e+00
9.000000000000000000e+01 4.535699185051639937e+00 4.102381329121964626e+00 2.708976526335553690e-07 6.115725604276787131e+00
9.250000000000000000e+01 4.556500092177802053e+00 4.109400349903272520e+00 5.507076887147313939e-07 6.135867039449417248e+00
9.500000000000000000e+01 4.577147998694035103e+00 4.116115214124140387e+00 4.215777940450102045e-07 6.155703717520297324e+00
9.750000000000000000e+01 4.597528263001089854e+00 4.122418970904352165e+00 9.477583897471233899e-07 6.175079295099521914e+00
1.000000000000000000e+02 4.617527759089241179e+00 4.128334378297364715e+00 5.510738565505212643e-07 6.193925035467567675e+00
1.025000000000000000e+02 4.637149245181633184e+00 4.134015784023931772e+00 5.549836584875294983e-07 6.212345742523342373e+00
1.050000000000000000e+02 4.656392120285327785e+00 4.139545222852553330e+00 1.704401384680456646e-07 6.230395030003853307e+00
1.075000000000000000e+02 4.675229627019449552e+00 4.144877288154797945e+00 3.690301686686257761e-07 6.248022070961499530e+00
1.100000000000000000e+02 4.693634054819079360e+00 4.149975932966547099e+00 4.366802851860450610e-07 6.265181632224172681e+00
1.125000000000000000e+02 4.711663486176419724e+00 4.154808333319866875e+00 1.723486773365846054e-07 6.281895024082492007e+00
1.150000000000000000e+02 4.729459286245357497e+00 4.159353013832463475e+00 3.188422332546169016e-07 6.298253935332374986e+00
1.175000000000000000e+02 4.747106850748284756e+00 4.163647869400209700e+00 4.308159694614253054e-07 6.314347712375553812e+00
1.200000000000000000e+02 4.764557084366084716e+00 4.167717472793416533e+00 1.217071159407968602e-07 6.330155854575036045e+00
1.225000000000000000e+02 4.781804275929735226e+00 4.171579491864791933e+00 4.027034657420245743e-09 6.345685746256807036e+00
1.250000000000000000e+02 4.798894241399347393e+00 4.175282474558092538e+00 2.144235856179750335e-07 6.361003826636783209e+00
1.275000000000000000e+02 4.815838299992720728e+00 4.178828645065099323e+00 2.769272471275698833e-07 6.376120087991871799e+00
1.300000000000000000e+02 4.832558478905289334e+00 4.182144072362265597e+00 4.403153835816617026e-07 6.390927201434423388e+00
1.325000000000000000e+02 4.848885259234393175e+00 4.185197786992775448e+00 1.622766145456579039e-07 6.405276635202404201e+00
1.350000000000000000e+02 4.864849634789640831e+00 4.188074143058455157e+00 4.743905027636703959e-08 6.419246606640666819e+00
1.375000000000000000e+02 4.880670178448972329e+00 4.190897581562523122e+00 -7.111120693710117673e-08 6.433083547564709015e+00
1.400000000000000000e+02 4.896391440901757264e+00 4.193716163379481721e+00 2.934056685453642678e-07 6.446852286312010349e+00
1.425000000000000000e+02 4.911853151767475723e+00 4.196355582197108802e+00 4.263145826477931777e-07 6.460317450154064112e+00
1.450000000000000000e+02 4.926937237032985806e+00 4.198577710892381631e+00 4.047474112037449344e-07 6.473234533991852224e+00
1.475000000000000000e+02 4.941677710342720964e+00 4.200404046178671358e+00 1.341633300431232292e-07 6.485643587497870399e+00
1.500000000000000000e+02 4.956059539469178432e+00 4.202058646826737132e+00 -2.105620304851183205e-08 6.497678279980841687e+00
1.525000000000000000e+02 4.970053858763850307e+00 4.203764635775312009e+00 1.153936216432965450e-07 6.509460228929015990e+00
1.550000000000000000e+02 4.983794855050125427e+00 4.205591277482159995e+00 4.970641314323426185e-08 6.521135572157515270e+00
1.575000000000000000e+02 4.997419863641209936e+00 4.207469373901414400e+00 -1.745894152953494095e-08 6.532763873417903433e+00
1.600000000000000000e+02 5.010925340675020934e+00 4.209364503867888629e+00 7.546178079897932591e-08 6.544319849781338405e+00
1.625000000000000000e+02 5.024147630291308175e+00 4.211218395226967282e+00 2.066149681364415666e-07 6.555640303071836428e+00
1.650000000000000000e+02 5.036955594447174889e+00 4.212949760515280140e+00 -9.795230328345535705e-08 6.566571962984831146e+00
1.675000000000000000e+02 5.049457470198208675e+00 4.214532216233204842e+00 3.093284843138114506e-07 6.577180440356502622e+00
1.700000000000000000e+02 5.061788118455526231e+00 4.215996534177573807e+00 1.968754423100166623e-07 6.587588764664570995e+00
1.725000000000000000e+02 5.073897899543836409e+00 4.217375401744140717e+00 1.545806594021551300e-07 6.597779563931484681e+00
1.750000000000000000e+02 5.085734303755758745e+00 4.218677411672125288e+00 -1.840585632868615747e-07 6.607717647732137323e+00
1.775000000000000000e+02 5.097377669116175625e+00 4.219935309021769498e+00 -9.150659416800677126e-08 6.617485407156778798e+00
1.800000000000000000e+02 5.108867780789606350e+00 4.221145444778975353e+00 1.112089866703091998e-07 6.627110898994253319e+00
1.825000000000000000e+02 5.120158189145707972e+00 4.222222039302951480e+00 1.953467869594838768e-07 6.636503509458234973e+00
1.850000000000000000e+02 5.131287700614289626e+00 4.223131965822061851e+00 2.383861740994937445e-08 6.645672055347269236e+00
1.875000000000000000e+02 5.142387085727301965e+00 4.223959944854621895e+00 7.342372940939119259e-09 6.654771412692640276e+00
1.900000000000000000e+02 5.153507163302553096e+00 4.224785755109639496e+00 2.107484467730729209e-07 6.663891562652269229e+00
1.925000000000000000e+02 5.164615362170123625e+00 4.225638079186441409e+00 1.528663948695756045e-07 6.673025476905818820e+00
1.950000000000000000e+02 5.175645616539821248e+00 4.226533177371880612e+00 9.282988773229548398e-08 6.682132163271923275e+00
1.975000000000000000e+02 5.186520291312865183e+00 4.227392697853217030e+00 -2.612986649847652308e-07 6.691101684630331725e+00
2.000000000000000000e+02 5.197157868638782041e+00 4.228117483297682000e+00 9.426329120469191594e-08 6.699808009497103534e+00
2.025000000000000000e+02 5.207428462665327551e+00 4.228683617198861988e+00 8.700987810831738587e-08 6.708135085710710044e+00
2.050000000000000000e+02 5.217378169694873336e+00 4.229125820860192064e+00 1.333216156310116869e-07 6.716140273570456287e+00
2.075000000000000000e+02 5.227224931062485425e+00 4.229502002163126662e+00 2.092004577258328133e-07 6.724029124432994386e+00
2.100000000000000000e+02 5.236989184080728776e+00 4.229785086255018811e+00 -5.443958887844738836e-09 6.731800471648273110e+00
2.125000000000000000e+02 5.246525315317059679e+00 4.229922112477598084e+00 -2.923841686196114368e-07 6.739307750940730202e+00
2.150000000000000000e+02 5.255811948275166401e+00 4.229920460719995390e+00 1.212521293767740962e-07 6.746538841483807225e+00
2.175000000000000000e+02 5.264857901357298253e+00 4.229830114561989873e+00 7.818208400772055165e-08 6.753531781189741068e+00
2.200000000000000000e+02 5.273614043692118614e+00 4.229776708141750774e+00 1.040639670242470170e-07 6.760326625434989190e+00
2.225000000000000000e+02 5.282040552787505838e+00 4.229824818774730488e+00 -6.646957698665256049e-08 6.766932126068240017e+00
2.250000000000000000e+02 5.290206269597335087e+00 4.229919166428417476e+00 1.879325202286218607e-08 6.773366853301645563e+00
2.275000000000000000e+02 5.298200023130280378e+00 4.230028149584969199e+00 1.008593511728576724e-07 6.779680053762046299e+00
2.300000000000000000e+02 5.306092300739329026e+00 4.230128036495523602e+00 -4.109791513704651413e-08 6.785911781707058665e+00
2.325000000000000000e+02 5.313971265230305718e+00 4.230195343052363555e+00 9.992844966087198726e-08 6.792116256961101328e+00
2.350000000000000000e+02 5.321884324715794534e+00 4.230288156967724866e+00 7.856247961213235698e-08 6.798366763910070887e+00
2.375000000000000000e+02 5.329790553746842185e+00 4.230456626584104818e+00 2.358287620690070567e-07 6.804662417505991989e+00
2.400000000000000000e+02 5.337674099918150894e+00 4.230773497346412171e+00 -7.748051460189387125e-08 6.811035837725848197e+00
2.425000000000000000e+02 5.345548663614535734e+00 4.231245440577915851e+00 1.985182005528981512e-07 6.817501631351663427e+00
2.450000000000000000e+02 5.353369590679950107e+00 4.231766503730328033e+00 -2.392876024419064098e-07 6.823958800909548650e+00
2.475000000000000000e+02 5.361093461631795343e+00 4.232258852899381196e+00 1.260393576550220718e-07 6.830324889951896239e+00
2.500000000000000000e+02 5.368732185536051915e+00 4.232714794923277069e+00 -7.270096198849748260e-08 6.836604406807016865e+00
2.525000000000000000e+02 5.376298485918342251e+00 4.233150146390654456e+00 2.208516760680998745e-07 6.842817078628883110e+00
2.550000000000000000e+02 5.383774969793275744e+00 4.233564468004175296e+00 -9.834837774843917843e-08 6.848948899657528955e+00
2.575000000000000000e+02 5.391090415047702145e+00 4.233894687650528788e+00 1.416895640290095022e-07 6.854904819859616083e+00
2.600000000000000000e+02 5.398166396844810144e+00 4.234099546580655904e+00 -3.048269453263821162e-07 6.860597599216783138e+00
2.625000000000000000e+02 5.405004755349310130e+00 4.234256198834043694e+00 3.306504501397537699e-07 6.866076169306111865e+00
2.650000000000000000e+02 5.411668312058186103e+00 4.234431952026275425e+00 -3.489681187687462808e-07 6.871431282933408546e+00
2.675000000000000000e+02 5.418232797135905443e+00 4.234594755735174409e+00 2.449792963792101401e-07 6.876702653834835921e+00
2.700000000000000000e+02 5.424779502176684254e+00 4.234713714847168298e+00 -4.599766701453865457e-07 6.881935257901750091e+00
2.725000000000000000e+02 5.431403372881969283e+00 4.234786203990807074e+00 5.131232598658875779e-07 6.887202392297235853e+00
2.750000000000000000e+02 5.438163075835412918e+00 4.234834635113312373e+00 -5.736892576605187295e-07 6.892564256220997443e+00
2.775000000000000000e+02 5.445049910009295502e+00 4.234917963482780934e+00 7.057292490769732548e-07 6.898050353536270940e+00
2.800000000000000000e+02 5.451989043064505047e+00 4.235007345528659428e+00 -7.320162175872523906e-07 6.903583978078173367e+00
2.825000000000000000e+02 5.458897856481468303e+00 4.235047907791233968e+00 9.287507318444158336e-07 6.909066260268875048e+00
2.850000000000000000e+02 5.465727694457942931e+00 4.235036309735477289e+00 -8.968667430698511022e-07 6.914456723036396468e+00
2.875000000000000000e+02 5.472440608337418411e+00 4.234943770758577308e+00 1.205324803135038229e-06 6.919707721664893008e+00
2.900000000000000000e+02 5.479040696721916959e+00 4.234728128894380106e+00 -1.214971592440247582e-06 6.924796696076048974e+00
2.925000000000000000e+02 5.485574516575727699e+00 4.234443936037458833e+00 1.463145572033023009e-06 6.929793880365531678e+00
2.950000000000000000e+02 5.492069553279325334e+00 4.234148342865205805e+00 -1.693014388674467587e-06 6.934755955868150856e+00
2.975000000000000000e+02 5.498461881209159685e+00 4.233857820891679502e+00 1.761458419799423376e-06 6.939642289530413066e+00
3.000000000000000000e+02 5.504682042665617558e+00 4.233595597736509397e+00 -2.196051256139855546e-06 6.944411859619509464e+00
3.025000000000000000e+02 5.510768791287055102e+00 4.233369740284063987e+00 2.383618464578658597e-06 6.949100087707893003e+00
3.050000000000000000e+02 5.516779781449311137e+00 4.233155163337116278e+00 -2.706493575991560838e-06 6.953737253729315171e+00
3.075000000000000000e+02 5.522715904995330050e+00 4.232874588539725202e+00 3.116223808407148287e-06 6.958276959822987884e+00
3.100000000000000000e+02 5.528578018041920394e+00 4.232476526475466017e+00 -3.416735798461140286e-06 6.962688593406560322e+00
3.125000000000000000e+02 5.534325594657772740e+00 4.231965079951129027e+00 3.988762418365246193e-06 6.966942530667651567e+00
3.150000000000000000e+02 5.539947247250364804e+00 4.231418920011739360e+00 -4.439518776518678023e-06 6.971077504874688913e+00
3.175000000000000000e+02 5.545495919949058106e+00 4.230920861808632694e+00 4.990554717048601985e-06 6.975185756457247699e+00
3.200000000000000000e+02 5.551019111540349549e+00 4.230441843115725575e+00 -5.592107811775452587e-06 6.979287310657289467e+00
3.225000000000000000e+02 5.556525102248675907e+00 4.229910873216079281e+00 6.318471959842385461e-06 6.983345702978708935e+00
3.250000000000000000e+02 5.561965236790700651e+00 4.229311302337858791e+00 -6.998617026790014854e-06 6.987312171886981282e+00
3.275000000000000000e+02 5.567226441587968644e+00 4.228662645137696074e+00 7.926757182240313376e-06 6.991108497109882691e+00
3.300000000000000000e+02 5.572251624180866614e+00 4.227980091630111126e+00 -8.830630199576393807e-06 6.994698265006493720e+00
3.325000000000000000e+02 5.577116722009505700e+00 4.227340626992933004e+00 9.882613903506597038e-06 6.998188316103012951e+00
3.350000000000000000e+02 5.581905124679555463e+00 4.226836124416712082e+00 -1.104684818036794658e-05 7.001700396597958509e+00
3.375000000000000000e+02 5.586613583100288771e+00 4.226463355652821718e+00 1.219253956099567461e-05 7.005229748102871135e+00
3.400000000000000000e+02 5.591198379903612015e+00 4.226124629529695476e+00 -1.367533139515070815e-05 7.008682380300972348e+00
3.425000000000000000e+02 5.595688166543691722e+00 4.225714258672595314e+00 1.517640554257162279e-05 7.012017331223327155e+00
3.450000000000000000e+02 5.600148851353003998e+00 4.225207392000652540e+00 -1.678173714503317589e-05 7.015272244397144696e+00
3.475000000000000000e+02 5.604588925683602341e+00 4.224661402336651328e+00 1.868600518930027698e-05 7.018488511826284082e+00
3.500000000000000000e+02 5.608946721654879397e+00 4.224144122150151226e+00 -2.057672896643230963e-05 7.021657702528804279e+00
3.525000000000000000e+02 5.613150238542609749e+00 4.223678499364146965e+00 2.280943193723556983e-05 7.024735985570005781e+00
3.550000000000000000e+02 5.617215658813618617e+00 4.223259944441066338e+00 -2.510203393824566459e-05 7.027733369769472382e+00
3.575000000000000000e+02 5.621200153864154281e+00 4.222887076229477898e+00 2.770292303804332092e-05 7.030694590803656219e+00
3.600000000000000000e+02 5.625164381395927116e+00 4.222543725020538652e+00 -3.046144145987274548e-05 7.033658353116367223e+00
3.625000000000000000e+02 5.629125734966239136e+00 4.222219417199316815e+00 3.344071711315454158e-05 7.036632244771103828e+00
3.650000000000000000e+02 5.633054189154808711e+00 4.221906548383715929e+00 -3.664951737669667515e-05 7.039587658562327377e+00
3.675000000000000000e+02 5.636915368130662962e+00 4.221596731499526634e+00 4.010568932103330121e-05 7.042492018631160811e+00
3.700000000000000000e+02 5.640718694274622358e+00 4.221232393738458377e+00 -4.386241045030745089e-05 7.045318325796928072e+00
3.725000000000000000e+02 5.644498282521213994e+00 4.220783790131560131e+00 4.780925339014542320e-05 7.048076096830112824e+00
3.750000000000000000e+02 5.648299867272917218e+00 4.220315593867434600e+00 -5.206647640394050002e-05 7.050840737471441244e+00
3.775000000000000000e+02 5.652106868530059280e+00 4.219959569595797433e+00 5.667365195779030303e-05 7.053677822634070615e+00
3.800000000000000000e+02 5.655883113907662185e+00 4.219758023101929822e+00 -6.146955437560407457e-05 7.056583562567473322e+00
3.825000000000000000e+02 5.659553223468942740e+00 4.219669815432502524e+00 6.667311849355039735e-05 7.059472788034186763e+00
3.850000000000000000e+02 5.663114686880296844e+00 4.219615983428261607e+00 -7.213471595589106028e-05 7.062296157027542876e+00
3.875000000000000000e+02 5.666515186098617818e+00 4.219624966838232183e+00 7.791766485272863660e-05 7.065028607240170011e+00
3.900000000000000000e+02 5.669777944052277086e+00 4.219708420001655469e+00 -8.407654017864425950e-05 7.067695599823424324e+00
3.925000000000000000e+02 5.672855716174242779e+00 4.219891782960822901e+00 9.052021158087045292e-05 7.070274297693474708e+00
3.950000000000000000e+02 5.675862084836261978e+00 4.220128446448859982e+00 -9.736415076842599449e-05 7.072827901206736101e+00
3.975000000000000000e+02 5.678769945160127897e+00 4.220402720217847126e+00 1.045347122144199261e-04 7.075325237881553875e+00
4.000000000000000000e+02 5.681650322291893929e+00 4.220654903724274654e+00 -1.120471308936917660e-04 7.077787663789152361e+00
4.025000000000000000e+02 5.684418981771377943e+00 4.220915516594715200e+00 1.199301122062776338e-04 7.080165744736206968e+00
4.050000000000000000e+02 5.687183852341518353e+00 4.221190570788101226e+00 -1.281985393676880671e-04 7.082549683671788721e+00
4.075000000000000000e+02 5.689814316865711596e+00 4.221504487044538401e+00 1.368029045174959195e-04 7.084849124241265450e+00
4.100000000000000000e+02 5.692415757241462870e+00 4.221799429349156085e+00 -1.457563762435199872e-04 7.087114193816033136e+00
4.125000000000000000e+02 5.694840763831635400e+00 4.222054151375766118e+00 1.551198262439686191e-04 7.089213821476255895e+00
4.150000000000000000e+02 5.697305022349465453e+00 4.222248521264426735e+00 -1.647803798305615391e-04 7.091309266994400673e+00
4.175000000000000000e+02 5.699665594317136375e+00 4.222452485045056214e+00 1.748559858181260979e-04 7.093327350833338762e+00
4.200000000000000000e+02 5.702094259364892892e+00 4.222648257295650076e+00 -1.852584222439568882e-04 7.095395498620549191e+00
4.225000000000000000e+02 5.704359364244795394e+00 4.222844696705672973e+00 1.960474622266930394e-04 7.097332817853275522e+00
4.250000000000000000e+02 5.706732660700968296e+00 4.223070088212436346e+00 -2.071449883111244072e-04 7.099374526926635731e+00
