z Tu Tv Tw
1.550000000000000000e+02 3.093509261827648250e-04 4.729527209010484185e-05 -2.016338823364933639e-04
1.575000000000000000e+02 2.999090897688802136e-04 4.646070729839948163e-05 -1.951262909724705934e-04
1.600000000000000000e+02 2.900762844328369353e-04 4.500254310294167504e-05 -1.887568541940035549e-04
1.625000000000000000e+02 2.801761084706185911e-04 4.281289259965888197e-05 -1.825404182870468152e-04
1.650000000000000000e+02 2.705347598510684137e-04 4.012642656587104016e-05 -1.764950328584664191e-04
1.675000000000000000e+02 2.613629532853565325e-04 3.726542664229555153e-05 -1.706301297036796655e-04
1.700000000000000000e+02 2.526071388022159935e-04 3.442165015029558748e-05 -1.649430164125078506e-04
1.725000000000000000e+02 2.439537243179188352e-04 3.170970811617052895e-05 -1.594460755595708524e-04
1.750000000000000000e+02 2.354612478754575060e-04 2.895241639735104440e-05 -1.541614894221833803e-04
1.775000000000000000e+02 2.274308769726872143e-04 2.620215330487098921e-05 -1.490849088408019983e-04
1.800000000000000000e+02 2.200846585471822562e-04 2.363487849182774905e-05 -1.441458076376267081e-04
1.825000000000000000e+02 2.135301626608679805e-04 2.121924507277981334e-05 -1.393575718957060857e-04
1.850000000000000000e+02 2.075959822891604734e-04 1.898104708316168318e-05 -1.347559956533469529e-04
1.875000000000000000e+02 2.020471410585742030e-04 1.720669876365264037e-05 -1.303469700226711167e-04
1.900000000000000000e+02 1.968390281620259106e-04 1.613041183221639691e-05 -1.261255455471757287e-04
1.925000000000000000e+02 1.919161391375496367e-04 1.538492188934696922e-05 -1.220780612192342370e-04
1.950000000000000000e+02 1.871228850350007593e-04 1.466591063541500314e-05 -1.181965816403609474e-04
1.975000000000000000e+02 1.823138980787348336e-04 1.398880101074837549e-05 -1.144471536514230842e-04
2.000000000000000000e+02 1.773180108075507759e-04 1.331795924580774298e-05 -1.108297998496746985e-04
2.025000000000000000e+02 1.721286963318107235e-04 1.260508747452604463e-05 -1.073427185739225223e-04
2.050000000000000000e+02 1.669785113822285817e-04 1.174909069037539631e-05 -1.039887520659951541e-04
2.075000000000000000e+02 1.617068383681271313e-04 1.061737088841709897e-05 -1.007473303669329505e-04
2.100000000000000000e+02 1.561293000374007630e-04 9.258666837877171918e-06 -9.759356690244872987e-05
2.125000000000000000e+02 1.504555834883376385e-04 7.795321265462006592e-06 -9.451582257556854464e-05
2.150000000000000000e+02 1.449315875760248619e-04 6.513672498851974506e-06 -9.150435307977143086e-05
2.175000000000000000e+02 1.397201843333391444e-04 5.606092523055394765e-06 -8.855639206905617316e-05
2.200000000000000000e+02 1.349914354068118918e-04 4.890077269612902463e-06 -8.569019950661318965e-05
2.225000000000000000e+02 1.306173438963355619e-04 4.177059649987313303e-06 -8.291402804502711536e-05
2.250000000000000000e+02 1.262678627127002172e-04 3.494827755298502004e-06 -8.021927532474977345e-05
2.275000000000000000e+02 1.218964500202901024e-04 2.915290306589213111e-06 -7.759882093785862441e-05
2.300000000000000000e+02 1.175046822302533612e-04 2.527968879326181014e-06 -7.506363686698092812e-05
2.325000000000000000e+02 1.130910076403665755e-04 2.394758773846206012e-06 -7.261606071675236966e-05
2.350000000000000000e+02 1.086275196940846433e-04 2.341907066079329700e-06 -7.026290771090380922e-05
2.375000000000000000e+02 1.042600218610345971e-04 2.347820440843406611e-06 -6.800503807395636520e-05
2.400000000000000000e+02 1.001743639131632283e-04 2.446128655537904507e-06 -6.584483093208700060e-05
2.425000000000000000e+02 9.633973228344529423e-05 2.383498820893237413e-06 -6.376269433541796811e-05
2.450000000000000000e+02 9.257353529329747689e-05 2.051495881516984820e-06 -6.173882825919623819e-05
2.475000000000000000e+02 8.870877756842219857e-05 1.695742943184086462e-06 -5.975330658085762665e-05
2.500000000000000000e+02 8.466975914651584409e-05 1.557124280066091093e-06 -5.779961791035900185e-05
2.525000000000000000e+02 8.060337882509430055e-05 1.693241871532791239e-06 -5.589536337650779065e-05
2.550000000000000000e+02 7.677412162177006249e-05 1.959383758003241582e-06 -5.406306784386424158e-05
2.575000000000000000e+02 7.347363212950312641e-05 2.297443427357848022e-06 -5.231177022728887804e-05
2.600000000000000000e+02 7.079693614123243545e-05 2.719988525768712882e-06 -5.062558919759117218e-05
2.625000000000000000e+02 6.842603726422566630e-05 3.091482800380163036e-06 -4.898313014675629559e-05
2.650000000000000000e+02 6.595959606551104624e-05 3.208948696442348484e-06 -4.737179167813270874e-05
2.675000000000000000e+02 6.336835080691116955e-05 3.009238276331416316e-06 -4.577915049111921697e-05
2.700000000000000000e+02 6.084626553150655884e-05 2.640980475246124274e-06 -4.420865106176893075e-05
2.725000000000000000e+02 5.858339189300068085e-05 2.368069375393133625e-06 -4.266484204146352323e-05
2.750000000000000000e+02 5.661377028710603356e-05 2.300984412499928869e-06 -4.116062464111280633e-05
2.775000000000000000e+02 5.475913337728570592e-05 2.292441980682724743e-06 -3.970402664480702522e-05
2.800000000000000000e+02 5.293368165667970644e-05 2.147096973453699309e-06 -3.829280292791778273e-05
2.825000000000000000e+02 5.128486170311816758e-05 1.792559015700589930e-06 -3.692677482783505641e-05
2.850000000000000000e+02 4.983685491195046511e-05 1.263391928046075831e-06 -3.560595567270909557e-05
2.875000000000000000e+02 4.844276292177482872e-05 6.539592477793121161e-07 -3.432002216913291335e-05
2.900000000000000000e+02 4.699510175104251443e-05 1.368528712646366209e-07 -3.306349180283476284e-05
2.925000000000000000e+02 4.550808011797471248e-05 -1.813880625036290311e-07 -3.183688535102738624e-05
2.950000000000000000e+02 4.398583399597555122e-05 -3.825390441420495520e-07 -3.064364213458474723e-05
2.975000000000000000e+02 4.241383604736483781e-05 -5.228063414733696789e-07 -2.948487026279181686e-05
3.000000000000000000e+02 4.081689902043308699e-05 -5.629931028352075371e-07 -2.836133919976310409e-05
3.025000000000000000e+02 3.925102827392947668e-05 -5.323863813259776842e-07 -2.726212288888743500e-05
3.050000000000000000e+02 3.776787761470359216e-05 -5.253913069964255190e-07 -2.618874841231391755e-05
3.075000000000000000e+02 3.632022544317123624e-05 -5.882686513132284855e-07 -2.513909856306439523e-05
3.100000000000000000e+02 3.483411541462828599e-05 -6.548647395447915416e-07 -2.411457207498195643e-05
3.125000000000000000e+02 3.328518163004901090e-05 -6.477888563836131602e-07 -2.310666729999655571e-05
3.150000000000000000e+02 3.167988555510419430e-05 -5.742727032043148599e-07 -2.211893216086639006e-05
3.175000000000000000e+02 3.004596839226678795e-05 -4.889658381557638074e-07 -2.115099571944793627e-05
3.200000000000000000e+02 2.842967271083125547e-05 -4.574754556188054465e-07 -2.021091285239427895e-05
3.225000000000000000e+02 2.686432494997461495e-05 -4.567076519037982568e-07 -1.929603277834697486e-05
3.250000000000000000e+02 2.537963887128853599e-05 -4.250344486763424445e-07 -1.841199961339996243e-05
3.275000000000000000e+02 2.395177790198204168e-05 -4.208169065918809796e-07 -1.755510456248188985e-05
3.300000000000000000e+02 2.258357442344731571e-05 -5.057087067598331399e-07 -1.673204463575371986e-05
3.325000000000000000e+02 2.129354177698132775e-05 -6.659145424464441439e-07 -1.593305495576315735e-05
3.350000000000000000e+02 2.010129203345058970e-05 -8.732264521654542133e-07 -1.516139782219766715e-05
3.375000000000000000e+02 1.903327556636895743e-05 -1.056561069810868551e-06 -1.440762542914058009e-05
3.400000000000000000e+02 1.807234487853293038e-05 -1.148292972061426619e-06 -1.367882688453394831e-05
3.425000000000000000e+02 1.718818314956251775e-05 -1.125029321678994086e-06 -1.296743743421239243e-05
3.450000000000000000e+02 1.634996546908951121e-05 -9.986392190853622069e-07 -1.228309656885781697e-05
3.475000000000000000e+02 1.550505415990528451e-05 -8.190917368665395951e-07 -1.161685243388899267e-05
3.500000000000000000e+02 1.462885540938714250e-05 -6.367841321434753330e-07 -1.097951470669034229e-05
3.525000000000000000e+02 1.373329562134131232e-05 -4.592003235870833958e-07 -1.035985672203618867e-05
3.550000000000000000e+02 1.284160978399313557e-05 -2.935197064743988440e-07 -9.769024975214727561e-06
3.575000000000000000e+02 1.196371239581139962e-05 -1.572350628634922050e-07 -9.194111366176221529e-06
3.600000000000000000e+02 1.112409179515907525e-05 -5.327451980292607669e-08 -8.646912760358425250e-06
3.625000000000000000e+02 1.033947984126371005e-05 3.026487845545489068e-08 -8.115114718067799747e-06
3.650000000000000000e+02 9.626589629510817455e-06 1.032303594342920402e-07 -7.613202312636098167e-06
3.675000000000000000e+02 8.974624605832559496e-06 1.616334898699278798e-07 -7.126748432745102932e-06
3.700000000000000000e+02 8.367344387761477213e-06 2.034141381386689237e-07 -6.670574978463039667e-06
3.725000000000000000e+02 7.788237293902965813e-06 2.501701698861325179e-07 -6.227032059857087427e-06
3.750000000000000000e+02 7.257391201380869126e-06 3.132997922421054879e-07 -5.810764061319088629e-06
3.775000000000000000e+02 6.791739419918485759e-06 3.941380860851495748e-07 -5.405680308867176140e-06
3.800000000000000000e+02 6.372874463261268808e-06 4.715020325534169362e-07 -5.029096001960101735e-06
3.825000000000000000e+02 5.954170989264184706e-06 5.310671681627354645e-07 -4.663605690638649936e-06
3.850000000000000000e+02 5.533583668659502706e-06 5.765668161984649263e-07 -4.326000153995938571e-06
3.875000000000000000e+02 5.140777673625507344e-06 6.128743917997780924e-07 -3.998904626376371043e-06
3.900000000000000000e+02 4.784411057823945444e-06 6.201059772706685082e-07 -3.699959821993737345e-06
3.925000000000000000e+02 4.440309508618156859e-06 5.848695457757457671e-07 -3.408876440825500701e-06
3.950000000000000000e+02 4.118759606376443111e-06 5.240450822952880052e-07 -3.142410858033993525e-06
3.975000000000000000e+02 3.817996650127497980e-06 4.589938121739578233e-07 -2.882544440109037904e-06
4.000000000000000000e+02 3.522165587457948071e-06 3.930387790205714083e-07 -2.647545290903307938e-06
4.025000000000000000e+02 3.217396402101257888e-06 3.286721433028106084e-07 -2.418555011598687950e-06
4.050000000000000000e+02 2.909643835960196061e-06 2.776060447672534602e-07 -2.213411898919137072e-06
4.075000000000000000e+02 2.597713919442412416e-06 2.400256997248106737e-07 -2.013171327806717054e-06
4.100000000000000000e+02 2.295080058843268448e-06 2.027798233712019319e-07 -1.835114287937784970e-06
4.125000000000000000e+02 2.014550659782799056e-06 1.619811684236083241e-07 -1.661245761433443863e-06
4.150000000000000000e+02 1.773245484059771148e-06 1.284381292407488326e-07 -1.509129886089854391e-06
4.175000000000000000e+02 1.566245889387118888e-06 1.099158281931522593e-07 -1.361278098809575834e-06
4.200000000000000000e+02 1.387503436171755227e-06 1.040970389567519319e-07 -1.233990551268347966e-06
4.225000000000000000e+02 1.231984214848580408e-06 9.933083605346837763e-08 -1.109764188499555314e-06
4.250000000000000000e+02 1.104827796632434847e-06 9.210842571292232640e-08 -1.003918958064566977e-06
4.275000000000000000e+02 9.933292260711823325e-07 8.346675859911556000e-08 -9.000054476729026915e-07
4.300000000000000000e+02 8.939737672221781817e-07 7.582751171639756587e-08 -8.122962865439857495e-07
4.325000000000000000e+02 7.969985070644724822e-07 6.906469596970054530e-08 -7.252972211566899189e-07
4.350000000000000000e+02 7.088045150567268163e-07 6.344357054786086804e-08 -6.523201675986472895e-07
4.375000000000000000e+02 6.285222033739046588e-07 5.724802005033780214e-08 -5.791439913828383597e-07
4.400000000000000000e+02 5.606140166378281955e-07 5.102621363448633603e-08 -5.181334913596048790e-07
4.425000000000000000e+02 4.951274803715932262e-07 4.225243339988082902e-08 -4.568217837122204469e-07
4.450000000000000000e+02 4.354612313250072582e-07 3.401174517421168348e-08 -4.064671343130520936e-07
4.475000000000000000e+02 3.762437918794603068e-07 2.698164686307791120e-08 -3.559033459565538456e-07
4.500000000000000000e+02 3.251069438988452172e-07 2.142212329090398395e-08 -3.149617453847861433e-07
4.525000000000000000e+02 2.767039389141246014e-07 1.654634855867698152e-08 -2.737481488194915963e-07
4.550000000000000000e+02 2.383960781571659090e-07 1.254935202723572746e-08 -2.407903061333241762e-07
4.575000000000000000e+02 2.024313571155289604e-07 9.581751908172009793e-09 -2.073908226114561408e-07
4.600000000000000000e+02 1.741683643672331445e-07 7.905425945864407562e-09 -1.809382698336202319e-07
4.625000000000000000e+02 1.466108111458197570e-07 6.598294476134469680e-09 -1.540854312504688814e-07
4.650000000000000000e+02 1.252279642585563206e-07 5.026414407893753538e-09 -1.332116757556234289e-07
4.675000000000000000e+02 1.040048665913673159e-07 1.969051970718282932e-09 -1.120118567411789664e-07
4.700000000000000000e+02 8.620982645197727679e-08 -1.408941625413717689e-09 -9.587463917251912183e-08
4.725000000000000000e+02 6.902433000277596769e-08 -5.436638616629351924e-09 -7.936773306197355996e-08
4.750000000000000000e+02 5.480068475662847296e-08 -8.538399515600758753e-09 -6.709732851534157560e-08
4.775000000000000000e+02 4.168482555542141339e-08 -1.120345182243909182e-08 -5.441307979568033833e-08
4.800000000000000000e+02 3.116645383443028625e-08 -1.221146532088823652e-08 -4.540913864754918150e-08
4.825000000000000000e+02 2.240167705167550543e-08 -1.307134754142680317e-08 -3.603286158478738555e-08
4.850000000000000000e+02 1.570400887658252089e-08 -1.242765948745727624e-08 -2.991263995779992750e-08
4.875000000000000000e+02 1.079224407476431267e-08 -1.228349970006092881e-08 -2.335512140671294986e-08
4.900000000000000000e+02 7.078719909259234891e-09 -1.081058976524218492e-08 -1.958008623994746178e-08
4.925000000000000000e+02 4.641674627237079759e-09 -1.035355289786821265e-08 -1.519823666814528042e-08
4.950000000000000000e+02 2.447157021379098282e-09 -8.557943476716900414e-09 -1.303655999595802486e-08
4.975000000000000000e+02 1.011105484849394899e-09 -8.095256794149463854e-09 -1.008030596018902618e-08
5.000000000000000000e+02 -3.307580982436775122e-10 -6.267256378578167652e-09 -8.778067019659532900e-09
5.025000000000000000e+02 -1.058065993220225262e-09 -5.843849191933259384e-09 -6.651286593901091304e-09
5.050000000000000000e+02 -1.651722493534180129e-09 -4.165965128777316064e-09 -5.772361889655372623e-09
5.075000000000000000e+02 -1.900805193599808189e-09 -3.792877555497397974e-09 -4.223777756122852699e-09
5.100000000000000000e+02 -1.964996067727042720e-09 -2.449163298479106916e-09 -3.627712535472892021e-09
5.125000000000000000e+02 -1.972277993900206713e-09 -2.142615710454265163e-09 -2.549033197450729464e-09
5.150000000000000000e+02 -1.746120710777176948e-09 -1.229811107350542460e-09 -2.171482568922141997e-09
5.175000000000000000e+02 -1.643033067466603748e-09 -1.008254014323028878e-09 -1.456192129027015870e-09
5.200000000000000000e+02 -1.288734256377210832e-09 -5.038689096181769883e-10 -1.224410882015449039e-09
5.225000000000000000e+02 -1.143497843258955878e-09 -3.645835590759815950e-10 -7.648677571445224975e-10
5.250000000000000000e+02 -8.013636261239298264e-10 -1.719713168313319336e-10 -6.294587146444702036e-10
5.275000000000000000e+02 -6.876350994389213275e-10 -9.008841743707307836e-11 -3.602307375230551091e-10
5.300000000000000000e+02 -4.342178158367460384e-10 -5.402235956353251789e-11 -2.909312686733658403e-10
5.325000000000000000e+02 -3.663691700239723885e-10 -2.544322796893538768e-12 -1.550216642718383058e-10
5.350000000000000000e+02 -2.082999117192230228e-10 -2.158725465051247715e-11 -1.210684905207164730e-10
5.375000000000000000e+02 -1.736712420097319473e-10 1.093643504646024714e-11 -6.356302208420145241e-11
5.400000000000000000e+02 -8.653159966343082332e-11 -1.224608467964571828e-11 -4.497234950667964827e-11
5.425000000000000000e+02 -7.099068852767231789e-11 5.491381216415902773e-12 -2.459799592910977909e-11
5.450000000000000000e+02 -3.151790224364958632e-11 -6.939694685570430139e-12 -1.432506522788721510e-11
5.475000000000000000e+02 -2.385089601375511915e-11 1.093064838642021543e-12 -8.335547690262601732e-12
5.500000000000000000e+02 -1.003736542770638982e-11 -2.872002369258552735e-12 -3.753215738308731010e-12
5.525000000000000000e+02 -7.072401331242872228e-12 -3.910372470272704948e-13 -2.294305917974615931e-12
