 z veer
0.000000000000000000e+00 2.245894440630306121e+02
2.500000000000000000e+00 2.246255060197556190e+02
5.000000000000000000e+00 2.246751590321304093e+02
7.500000000000000000e+00 2.247293923069976813e+02
1.000000000000000000e+01 2.247838151656135892e+02
1.250000000000000000e+01 2.248375501679040553e+02
1.500000000000000000e+01 2.248914478732554869e+02
1.750000000000000000e+01 2.249463250453910916e+02
2.000000000000000000e+01 2.250018236089974550e+02
2.250000000000000000e+01 2.250565196639460055e+02
2.500000000000000000e+01 2.251085030787760104e+02
2.750000000000000000e+01 2.251565692320413632e+02
3.000000000000000000e+01 2.252011367646850317e+02
3.250000000000000000e+01 2.252435978308706126e+02
3.500000000000000000e+01 2.252852655889138020e+02
3.750000000000000000e+01 2.253268802646971380e+02
4.000000000000000000e+01 2.253688105705068665e+02
4.250000000000000000e+01 2.254113851573339957e+02
4.500000000000000000e+01 2.254546927337014495e+02
4.750000000000000000e+01 2.254988328277951268e+02
5.000000000000000000e+01 2.255440401485755615e+02
5.250000000000000000e+01 2.255905058573167992e+02
5.500000000000000000e+01 2.256382317824548238e+02
5.750000000000000000e+01 2.256869896635839723e+02
6.000000000000000000e+01 2.257367152498872258e+02
6.250000000000000000e+01 2.257873005084359761e+02
6.500000000000000000e+01 2.258385641689617103e+02
6.750000000000000000e+01 2.258904847694512341e+02
7.000000000000000000e+01 2.259435726417401042e+02
7.250000000000000000e+01 2.259980608351402225e+02
7.500000000000000000e+01 2.260536398277886860e+02
7.750000000000000000e+01 2.261101113101357214e+02
8.000000000000000000e+01 2.261671381026025642e+02
8.250000000000000000e+01 2.262245557380358889e+02
8.500000000000000000e+01 2.262823991683764575e+02
8.750000000000000000e+01 2.263412326218229680e+02
9.000000000000000000e+01 2.264016703680165961e+02
9.250000000000000000e+01 2.264634698262402424e+02
9.500000000000000000e+01 2.265259187110500818e+02
9.750000000000000000e+01 2.265883238773939752e+02
1.000000000000000000e+02 2.266503772513134152e+02
1.025000000000000000e+02 2.267124248593196967e+02
1.050000000000000000e+02 2.267751508291517837e+02
1.075000000000000000e+02 2.268390841384500618e+02
1.100000000000000000e+02 2.269043642172391628e+02
1.125000000000000000e+02 2.269708439451384265e+02
1.150000000000000000e+02 2.270382883740459192e+02
1.175000000000000000e+02 2.271062143195644012e+02
1.200000000000000000e+02 2.271746215840620096e+02
1.225000000000000000e+02 2.272440388081238325e+02
1.250000000000000000e+02 2.273145409797640468e+02
1.275000000000000000e+02 2.273859259866121363e+02
1.300000000000000000e+02 2.274579879338798207e+02
1.325000000000000000e+02 2.275305041787271136e+02
1.350000000000000000e+02 2.276033705089224668e+02
1.375000000000000000e+02 2.276767561608872938e+02
1.400000000000000000e+02 2.277508376606793945e+02
1.425000000000000000e+02 2.278254050732608675e+02
1.450000000000000000e+02 2.279001406685194127e+02
1.475000000000000000e+02 2.279751554199754082e+02
1.500000000000000000e+02 2.280507080691382953e+02
1.525000000000000000e+02 2.281267112089694535e+02
1.550000000000000000e+02 2.282029008285211376e+02
1.575000000000000000e+02 2.282790723683089311e+02
1.600000000000000000e+02 2.283552992364849956e+02
1.625000000000000000e+02 2.284318105145906088e+02
1.650000000000000000e+02 2.285087332513403453e+02
1.675000000000000000e+02 2.285858788226436502e+02
1.700000000000000000e+02 2.286628418585105749e+02
1.725000000000000000e+02 2.287393837939650325e+02
1.750000000000000000e+02 2.288155328887665405e+02
1.775000000000000000e+02 2.288914999093801441e+02
1.800000000000000000e+02 2.289673426271454844e+02
1.825000000000000000e+02 2.290430935022611720e+02
1.850000000000000000e+02 2.291189029889389417e+02
1.875000000000000000e+02 2.291948335853934111e+02
1.900000000000000000e+02 2.292707271147021970e+02
1.925000000000000000e+02 2.293464952714600145e+02
1.950000000000000000e+02 2.294220516089853277e+02
1.975000000000000000e+02 2.294973148757239585e+02
2.000000000000000000e+02 2.295724992346647753e+02
2.025000000000000000e+02 2.296478162299591759e+02
2.050000000000000000e+02 2.297234220061181986e+02
2.075000000000000000e+02 2.297993626443884239e+02
2.100000000000000000e+02 2.298756138086977501e+02
2.125000000000000000e+02 2.299521033861406636e+02
2.150000000000000000e+02 2.300288689892580862e+02
2.175000000000000000e+02 2.301060234694035671e+02
2.200000000000000000e+02 2.301835888634727212e+02
2.225000000000000000e+02 2.302615356712300354e+02
2.250000000000000000e+02 2.303396554225647037e+02
2.275000000000000000e+02 2.304176538199024549e+02
2.300000000000000000e+02 2.304953922819251488e+02
2.325000000000000000e+02 2.305728059498862024e+02
2.350000000000000000e+02 2.306494192696361267e+02
2.375000000000000000e+02 2.307246497990795149e+02
2.400000000000000000e+02 2.307984288689218317e+02
2.425000000000000000e+02 2.308709961872350505e+02
2.450000000000000000e+02 2.309425413023833755e+02
2.475000000000000000e+02 2.310132758051211113e+02
2.500000000000000000e+02 2.310836734856441694e+02
2.525000000000000000e+02 2.311541061370804186e+02
