 z TI
0.000000000000000000e+00 6.154275503471243192e-02
2.500000000000000000e+00 6.900737560328992770e-02
5.000000000000000000e+00 7.164204381046367087e-02
7.500000000000000000e+00 7.209366719949385216e-02
1.000000000000000000e+01 7.066559186922639901e-02
1.250000000000000000e+01 6.794989155677917669e-02
1.500000000000000000e+01 6.471566114736579389e-02
1.750000000000000000e+01 6.154293446003714085e-02
2.000000000000000000e+01 5.870505276807391759e-02
2.250000000000000000e+01 5.625858735858944165e-02
2.500000000000000000e+01 5.416705592377127343e-02
2.750000000000000000e+01 5.236916376216166347e-02
3.000000000000000000e+01 5.080990392990684251e-02
3.250000000000000000e+01 4.943430841043283674e-02
3.500000000000000000e+01 4.820835367626910561e-02
3.750000000000000000e+01 4.711417593539540122e-02
4.000000000000000000e+01 4.613565352227179395e-02
4.250000000000000000e+01 4.525215185110287308e-02
4.500000000000000000e+01 4.445260397582694034e-02
4.750000000000000000e+01 4.371776965480705240e-02
5.000000000000000000e+01 4.303948768887669307e-02
5.250000000000000000e+01 4.241704996025606050e-02
5.500000000000000000e+01 4.184298462739368535e-02
5.750000000000000000e+01 4.130613830765562239e-02
6.000000000000000000e+01 4.080644520968961658e-02
6.250000000000000000e+01 4.034797954567419243e-02
6.500000000000000000e+01 3.992467800837808806e-02
6.750000000000000000e+01 3.952650686470466496e-02
7.000000000000000000e+01 3.914730881835973286e-02
7.250000000000000000e+01 3.877017668477621831e-02
7.500000000000000000e+01 3.838868323489407625e-02
7.750000000000000000e+01 3.801040631843995848e-02
8.000000000000000000e+01 3.764483065407494417e-02
8.250000000000000000e+01 3.729558007611851606e-02
8.500000000000000000e+01 3.696867591324051738e-02
8.750000000000000000e+01 3.665487185759104538e-02
9.000000000000000000e+01 3.634064336280976026e-02
9.250000000000000000e+01 3.603415217044450558e-02
9.500000000000000000e+01 3.573706347332085420e-02
9.750000000000000000e+01 3.543703090522093424e-02
1.000000000000000000e+02 3.513091463170831680e-02
1.025000000000000000e+02 3.482568015558004659e-02
1.050000000000000000e+02 3.453006711657552463e-02
1.075000000000000000e+02 3.424386207260059212e-02
1.100000000000000000e+02 3.395889946858970943e-02
1.125000000000000000e+02 3.367130488277353395e-02
1.150000000000000000e+02 3.338533481301100836e-02
1.175000000000000000e+02 3.310016856592856022e-02
1.200000000000000000e+02 3.281319718054199336e-02
1.225000000000000000e+02 3.252715040233296329e-02
1.250000000000000000e+02 3.224526662159993978e-02
1.275000000000000000e+02 3.197209909974266934e-02
1.300000000000000000e+02 3.170815419244324418e-02
1.325000000000000000e+02 3.145265457721291985e-02
1.350000000000000000e+02 3.120035847535272688e-02
1.375000000000000000e+02 3.094834429198217371e-02
1.400000000000000000e+02 3.070154607433916993e-02
1.425000000000000000e+02 3.046431170280473888e-02
1.450000000000000000e+02 3.023586213451741334e-02
1.475000000000000000e+02 3.001399515106267443e-02
1.500000000000000000e+02 2.979968164733476713e-02
1.525000000000000000e+02 2.958663450846945805e-02
1.550000000000000000e+02 2.936557901257466976e-02
1.575000000000000000e+02 2.913818379428018829e-02
1.600000000000000000e+02 2.890960422250063444e-02
1.625000000000000000e+02 2.867799639794918129e-02
1.650000000000000000e+02 2.844813727551735727e-02
1.675000000000000000e+02 2.822754706833779936e-02
1.700000000000000000e+02 2.802011044945445020e-02
1.725000000000000000e+02 2.781943768215192764e-02
1.750000000000000000e+02 2.762242826045042954e-02
1.775000000000000000e+02 2.743236599184370808e-02
1.800000000000000000e+02 2.724855508580959970e-02
1.825000000000000000e+02 2.706812506277633812e-02
1.850000000000000000e+02 2.688940241490576921e-02
1.875000000000000000e+02 2.670471969602744924e-02
1.900000000000000000e+02 2.651234922269209843e-02
1.925000000000000000e+02 2.631524465634800178e-02
1.950000000000000000e+02 2.611734080297867244e-02
1.975000000000000000e+02 2.591993158035612796e-02
2.000000000000000000e+02 2.572253197918340437e-02
2.025000000000000000e+02 2.553175818967977351e-02
2.050000000000000000e+02 2.534947549873812003e-02
2.075000000000000000e+02 2.517485492387425139e-02
2.100000000000000000e+02 2.500480206857477045e-02
2.125000000000000000e+02 2.483296387955919240e-02
2.150000000000000000e+02 2.466063262996722599e-02
2.175000000000000000e+02 2.449026437265843306e-02
2.200000000000000000e+02 2.432366386118754720e-02
2.225000000000000000e+02 2.416025273576696483e-02
