 z u v w u_mag
0.000000000000000000e+00 6.316775809613715431e+00 6.407957116651569862e+00 -8.730348071271102272e-04 8.997975983517420673e+00
2.500000000000000000e+00 7.465751655673388498e+00 7.563989743729079507e+00 6.380123360754725486e-04 1.062785909929598205e+01
5.000000000000000000e+00 8.317895267881777244e+00 8.412751429097305333e+00 -4.654492071437854096e-04 1.183054388064520879e+01
7.500000000000000000e+00 9.005610195976871069e+00 9.091081419576903855e+00 2.350161973566995872e-04 1.279643608331990201e+01
1.000000000000000000e+01 9.531740403188521782e+00 9.603942301182870622e+00 -1.741628744860239896e-04 1.353106732185450767e+01
1.250000000000000000e+01 9.919781106484187205e+00 9.976192000600573095e+00 1.014529579074644535e-04 1.406863405038670400e+01
1.500000000000000000e+01 1.020683288947597944e+01 1.024558191775791016e+01 -8.934841982101851077e-05 1.446206715774614260e+01
1.750000000000000000e+01 1.042769929792289219e+01 1.044725505865864434e+01 4.810951758023717658e-05 1.476082825965008993e+01
2.000000000000000000e+01 1.060680180217342361e+01 1.060612663748404039e+01 -3.545168470269272000e-05 1.499980555614621025e+01
2.250000000000000000e+01 1.075869474556311545e+01 1.073748973661712114e+01 3.178241475078281210e-05 1.520010521256927127e+01
2.500000000000000000e+01 1.089226329097177270e+01 1.085108707697971475e+01 -8.592100273227499399e-06 1.537489805989364022e+01
2.750000000000000000e+01 1.101276292331270312e+01 1.095273877629594850e+01 2.391667976819933009e-05 1.553201319557255111e+01
3.000000000000000000e+01 1.112342882123436461e+01 1.104560413814877684e+01 2.133388400273651398e-06 1.567597013003537398e+01
3.250000000000000000e+01 1.122645112024157932e+01 1.113139428523404639e+01 1.614331337455723132e-05 1.580952698497887354e+01
3.500000000000000000e+01 1.132377692685182424e+01 1.121157644672607567e+01 3.760161893770374937e-06 1.593509869156444125e+01
3.750000000000000000e+01 1.141688634305734951e+01 1.128735413801816456e+01 1.047090285791458009e-05 1.605458368215865050e+01
4.000000000000000000e+01 1.150658143553178547e+01 1.135939207387300698e+01 3.210578578039671870e-06 1.616901990290394409e+01
4.250000000000000000e+01 1.159336358457695404e+01 1.142806629075099778e+01 6.951648400027840161e-06 1.627902879013495152e+01
4.500000000000000000e+01 1.167774753947059097e+01 1.149385648757671419e+01 4.365163080326036589e-06 1.638531429520470795e+01
4.750000000000000000e+01 1.176043565947065339e+01 1.155741886988613132e+01 4.629342448364226404e-06 1.648883797708529997e+01
5.000000000000000000e+01 1.184194171526937822e+01 1.161916496481832084e+01 2.906684342242411307e-06 1.659025551543757970e+01
5.250000000000000000e+01 1.192223284327448063e+01 1.167898368623585093e+01 4.075048379020832988e-06 1.668946661558219091e+01
5.500000000000000000e+01 1.200113814566728720e+01 1.173670552832825820e+01 1.935022370346749606e-06 1.678623166318412530e+01
5.750000000000000000e+01 1.207861444619193314e+01 1.179238195492143504e+01 1.269572861545882037e-06 1.688055683650615535e+01
6.000000000000000000e+01 1.215497163687144955e+01 1.184634316003166710e+01 1.908289613229210844e-06 1.697289550307731432e+01
6.250000000000000000e+01 1.223054067821963997e+01 1.189895672089468981e+01 2.790208661646993790e-06 1.706374215485331547e+01
6.500000000000000000e+01 1.230539264799584309e+01 1.195036713571571596e+01 3.146219992850671949e-06 1.715324933940372176e+01
6.750000000000000000e+01 1.237977836558287770e+01 1.200082713589361383e+01 2.011495826970465161e-06 1.724177381612920001e+01
7.000000000000000000e+01 1.245400632113648065e+01 1.205041993281917634e+01 1.515748615423701771e-06 1.732959589846790038e+01
7.250000000000000000e+01 1.252811885210006615e+01 1.209908319778995534e+01 1.369902706349574812e-06 1.741670394188837889e+01
7.500000000000000000e+01 1.260198570184939193e+01 1.214681668347022914e+01 1.181761130195945917e-06 1.750300543253782593e+01
7.750000000000000000e+01 1.267546028613524278e+01 1.219356028728570607e+01 8.949042078703663895e-07 1.758835427051273825e+01
8.000000000000000000e+01 1.274838409495116487e+01 1.223930440064111380e+01 -3.902739883205438171e-07 1.767263051285679154e+01
8.250000000000000000e+01 1.282072341135838300e+01 1.228408836947017768e+01 7.353194820493954903e-07 1.775583779660948736e+01
8.500000000000000000e+01 1.289249432854437849e+01 1.232791464029856066e+01 1.198446779970728348e-06 1.783799006026290002e+01
8.750000000000000000e+01 1.296391732903516036e+01 1.237075160562789833e+01 2.304811679603392872e-06 1.791922564739360269e+01
9.000000000000000000e+01 1.303525604720407927e+01 1.241258194752778188e+01 1.240399562318288845e-06 1.799972474290272828e+01
9.250000000000000000e+01 1.310642313539741544e+01 1.245342217197919510e+01 7.736331272818041431e-07 1.807943724781344486e+01
9.500000000000000000e+01 1.317725748022377097e+01 1.249342630064908377e+01 1.205812357908339070e-06 1.815835387445307703e+01
9.750000000000000000e+01 1.324757621853700762e+01 1.253272495710816337e+01 1.118899553173059591e-06 1.823643250519328873e+01
1.000000000000000000e+02 1.331738825582411678e+01 1.257146600610657750e+01 6.445045902410278390e-07 1.831378135446243149e+01
1.025000000000000000e+02 1.338683823458190680e+01 1.260963836089436541e+01 1.948611396691755408e-06 1.839049802238663034e+01
1.050000000000000000e+02 1.345590029513114771e+01 1.264691799807445527e+01 1.591648081953455823e-06 1.846634202007892611e+01
1.075000000000000000e+02 1.352470516459793792e+01 1.268319310209314743e+01 1.803025238357893870e-06 1.854133320595605383e+01
1.100000000000000000e+02 1.359359892260018654e+01 1.271872289012589086e+01 4.367010503014728266e-07 1.861590297633529900e+01
1.125000000000000000e+02 1.366252101057479962e+01 1.275351129395600935e+01 1.186500615799962901e-06 1.869001152191894022e+01
1.150000000000000000e+02 1.373110317600628250e+01 1.278731638130783033e+01 1.920537990324985821e-06 1.876322612627682318e+01
1.175000000000000000e+02 1.379922770795437437e+01 1.282024490775072501e+01 1.223423388119055709e-07 1.883553463086949620e+01
1.200000000000000000e+02 1.386701071658644047e+01 1.285240652583157406e+01 1.130782973579219416e-08 1.890709760167226960e+01
1.225000000000000000e+02 1.393448580011128257e+01 1.288359504791418253e+01 -1.692809225350117122e-07 1.897780060681800762e+01
1.250000000000000000e+02 1.400161211699589536e+01 1.291373810014652435e+01 1.069805019437413749e-06 1.904756608057794409e+01
1.275000000000000000e+02 1.406853878577961936e+01 1.294306386341482806e+01 8.980460358424280937e-07 1.911665990018709138e+01
1.300000000000000000e+02 1.413535178491202871e+01 1.297174392975723833e+01 1.315751283459196421e-06 1.918526285101174267e+01
1.325000000000000000e+02 1.420190617381353881e+01 1.299974631678729864e+01 1.220478937593958921e-06 1.925324760321306172e+01
1.350000000000000000e+02 1.426829243999497621e+01 1.302720226520638747e+01 -1.357667518439867230e-07 1.932077037832126010e+01
1.375000000000000000e+02 1.433461703557333955e+01 1.305413202515089388e+01 8.069354754726028750e-07 1.938792429546340657e+01
1.400000000000000000e+02 1.440077508539388873e+01 1.308035886375695789e+01 9.938043141093054698e-07 1.945451389947247023e+01
1.425000000000000000e+02 1.446661826684053231e+01 1.310584465412590482e+01 6.315935864583459833e-07 1.952040491835569469e+01
1.450000000000000000e+02 1.453202104289154839e+01 1.313062381737200823e+01 8.529033647899988782e-07 1.958552826513445311e+01
1.475000000000000000e+02 1.459699063324313251e+01 1.315465495526597728e+01 6.219062429925722805e-07 1.964986215063840902e+01
1.500000000000000000e+02 1.466161910203896035e+01 1.317790407979503264e+01 1.111202881841345564e-06 1.971345303668420357e+01
1.525000000000000000e+02 1.472585560091784807e+01 1.320036772650590606e+01 2.170724968457122367e-07 1.977626181294287022e+01
1.550000000000000000e+02 1.478969710108695423e+01 1.322216805140043761e+01 4.059846504572319514e-07 1.983836859021866417e+01
1.575000000000000000e+02 1.485324110584725510e+01 1.324349017772626524e+01 7.111329064109019253e-07 1.989996993555425320e+01
1.600000000000000000e+02 1.491673262242522036e+01 1.326452058907888798e+01 1.006186265698373202e-06 1.996137316386384342e+01
1.625000000000000000e+02 1.498033772155699239e+01 1.328530044461386517e+01 1.427977843313293469e-06 2.002273023729688006e+01
1.650000000000000000e+02 1.504393905220934613e+01 1.330566558703095126e+01 -1.097371875217425189e-07 2.008384522247891724e+01
1.675000000000000000e+02 1.510734309670020536e+01 1.332553336051689996e+01 6.289180331803108494e-08 2.014451922443581466e+01
1.700000000000000000e+02 1.517032539330740448e+01 1.334489819283169965e+01 2.774628077520593408e-07 2.020458067656614887e+01
1.725000000000000000e+02 1.523284014512772799e+01 1.336383626031229710e+01 6.433269790330855080e-07 2.026404546183839273e+01
1.750000000000000000e+02 1.529508784782751185e+01 1.338251465301567578e+01 -1.347934934425092251e-07 2.032317422822872288e+01
1.775000000000000000e+02 1.535720521835939678e+01 1.340095661984774011e+01 3.162973676383582523e-07 2.038208503676319694e+01
1.800000000000000000e+02 1.541916349749081050e+01 1.341911176591358412e+01 -1.683299229484155457e-07 2.044072316598494155e+01
1.825000000000000000e+02 1.548077015114015431e+01 1.343679960150238983e+01 7.640240837304810246e-07 2.049882503958134805e+01
1.850000000000000000e+02 1.554193569733653923e+01 1.345387451652854516e+01 6.519167826604144931e-07 2.055622788175496751e+01
