 z T
0.000000000000000000e+00 2.949977262064435308e+02
2.500000000000000000e+00 2.951290852448529449e+02
5.000000000000000000e+00 2.952465419175850911e+02
7.500000000000000000e+00 2.953697540154389003e+02
1.000000000000000000e+01 2.954981249924572353e+02
1.250000000000000000e+01 2.956294063565341617e+02
1.500000000000000000e+01 2.957597771098191970e+02
1.750000000000000000e+01 2.958853296147444212e+02
2.000000000000000000e+01 2.960036288405812570e+02
2.250000000000000000e+01 2.961138664735789234e+02
2.500000000000000000e+01 2.962162904678224322e+02
2.750000000000000000e+01 2.963116654903839162e+02
3.000000000000000000e+01 2.964009208136781695e+02
3.250000000000000000e+01 2.964849409662755875e+02
3.500000000000000000e+01 2.965644873077671946e+02
3.750000000000000000e+01 2.966402012618390245e+02
4.000000000000000000e+01 2.967126115338725754e+02
4.250000000000000000e+01 2.967821506913091980e+02
4.500000000000000000e+01 2.968491664920640574e+02
4.750000000000000000e+01 2.969139443362505517e+02
5.000000000000000000e+01 2.969767271543136644e+02
5.250000000000000000e+01 2.970377205329203889e+02
5.500000000000000000e+01 2.970970931687659231e+02
5.750000000000000000e+01 2.971549687256931520e+02
6.000000000000000000e+01 2.972114328299967383e+02
6.250000000000000000e+01 2.972665618466743922e+02
6.500000000000000000e+01 2.973204317721324514e+02
6.750000000000000000e+01 2.973730954640581672e+02
7.000000000000000000e+01 2.974245736144878265e+02
7.250000000000000000e+01 2.974748869157691615e+02
7.500000000000000000e+01 2.975240756444314911e+02
7.750000000000000000e+01 2.975721794193804044e+02
8.000000000000000000e+01 2.976192160852979214e+02
8.250000000000000000e+01 2.976652134970925090e+02
8.500000000000000000e+01 2.977102244875860038e+02
8.750000000000000000e+01 2.977542964024251546e+02
9.000000000000000000e+01 2.977974523077077151e+02
9.250000000000000000e+01 2.978396875284498151e+02
9.500000000000000000e+01 2.978809957163069271e+02
9.750000000000000000e+01 2.979213828588790420e+02
1.000000000000000000e+02 2.979608657316317135e+02
1.025000000000000000e+02 2.979994708049927681e+02
1.050000000000000000e+02 2.980372218521129639e+02
1.075000000000000000e+02 2.980741173344270578e+02
1.100000000000000000e+02 2.981101248968250843e+02
1.125000000000000000e+02 2.981452095926391621e+02
1.150000000000000000e+02 2.981793619270749218e+02
1.175000000000000000e+02 2.982125906242454221e+02
1.200000000000000000e+02 2.982449158279051744e+02
1.225000000000000000e+02 2.982763667813225084e+02
1.250000000000000000e+02 2.983069712960852939e+02
1.275000000000000000e+02 2.983367555108818010e+02
1.300000000000000000e+02 2.983657569742163673e+02
1.325000000000000000e+02 2.983940187372776336e+02
1.350000000000000000e+02 2.984215792016426008e+02
1.375000000000000000e+02 2.984484684607774625e+02
1.400000000000000000e+02 2.984747162872282615e+02
1.425000000000000000e+02 2.985003549101315343e+02
1.450000000000000000e+02 2.985254090763971817e+02
1.475000000000000000e+02 2.985498934327080178e+02
1.500000000000000000e+02 2.985738253931944541e+02
1.525000000000000000e+02 2.985972332601619996e+02
1.550000000000000000e+02 2.986201433215052248e+02
1.575000000000000000e+02 2.986425668570699941e+02
1.600000000000000000e+02 2.986645003408247590e+02
1.625000000000000000e+02 2.986859460418712047e+02
1.650000000000000000e+02 2.987069261899607682e+02
1.675000000000000000e+02 2.987274596696017284e+02
1.700000000000000000e+02 2.987475593451927125e+02
1.725000000000000000e+02 2.987672317312480459e+02
1.750000000000000000e+02 2.987864770367676783e+02
1.775000000000000000e+02 2.988052991001716805e+02
1.800000000000000000e+02 2.988237121700865941e+02
1.825000000000000000e+02 2.988417396830708981e+02
1.850000000000000000e+02 2.988594122891339566e+02
1.875000000000000000e+02 2.988767638145099568e+02
1.900000000000000000e+02 2.988938104348122806e+02
1.925000000000000000e+02 2.989105450392468697e+02
1.950000000000000000e+02 2.989269591963426365e+02
1.975000000000000000e+02 2.989430647610579399e+02
2.000000000000000000e+02 2.989588884340265054e+02
2.025000000000000000e+02 2.989744533868031908e+02
2.050000000000000000e+02 2.989897701197071456e+02
2.075000000000000000e+02 2.990048434909925277e+02
2.100000000000000000e+02 2.990196813976481280e+02
2.125000000000000000e+02 2.990342962237039615e+02
2.150000000000000000e+02 2.990486905450008521e+02
2.175000000000000000e+02 2.990628535290854870e+02
2.200000000000000000e+02 2.990767765859123415e+02
2.225000000000000000e+02 2.990904524780782481e+02
2.250000000000000000e+02 2.991038762937052979e+02
2.275000000000000000e+02 2.991170551553710197e+02
2.300000000000000000e+02 2.991299978071043597e+02
2.325000000000000000e+02 2.991427042910470959e+02
2.350000000000000000e+02 2.991551726915837435e+02
2.375000000000000000e+02 2.991674120806024462e+02
2.400000000000000000e+02 2.991794431613270717e+02
2.425000000000000000e+02 2.991912875476883755e+02
2.450000000000000000e+02 2.992029582987012191e+02
2.475000000000000000e+02 2.992144574861089836e+02
2.500000000000000000e+02 2.992257869168529965e+02
2.525000000000000000e+02 2.992369547507895504e+02
2.550000000000000000e+02 2.992479685597999719e+02
2.575000000000000000e+02 2.992588261911420204e+02
2.600000000000000000e+02 2.992695137001539933e+02
2.625000000000000000e+02 2.992800133316877123e+02
2.650000000000000000e+02 2.992903147866915674e+02
2.675000000000000000e+02 2.993004190601767505e+02
2.700000000000000000e+02 2.993103402888770574e+02
2.725000000000000000e+02 2.993200970731768962e+02
2.750000000000000000e+02 2.993296946696628993e+02
2.775000000000000000e+02 2.993391346492368257e+02
2.800000000000000000e+02 2.993484270776348239e+02
2.825000000000000000e+02 2.993575822468596925e+02
2.850000000000000000e+02 2.993666046550359852e+02
2.875000000000000000e+02 2.993754939104987329e+02
2.900000000000000000e+02 2.993842453357881368e+02
2.925000000000000000e+02 2.993928568630192899e+02
2.950000000000000000e+02 2.994013356078266952e+02
2.975000000000000000e+02 2.994096921696565801e+02
3.000000000000000000e+02 2.994179288520990667e+02
3.025000000000000000e+02 2.994260393340387623e+02
3.050000000000000000e+02 2.994340187378926430e+02
3.075000000000000000e+02 2.994418683078980052e+02
3.100000000000000000e+02 2.994495914399092840e+02
3.125000000000000000e+02 2.994571933373658794e+02
3.150000000000000000e+02 2.994646800014397172e+02
3.175000000000000000e+02 2.994720569547360469e+02
3.200000000000000000e+02 2.994793288360041288e+02
3.225000000000000000e+02 2.994865008335940502e+02
3.250000000000000000e+02 2.994935748613514193e+02
3.275000000000000000e+02 2.995005483162799464e+02
3.300000000000000000e+02 2.995074213348314061e+02
3.325000000000000000e+02 2.995142023008539240e+02
3.350000000000000000e+02 2.995209060948321849e+02
3.375000000000000000e+02 2.995275484351674891e+02
3.400000000000000000e+02 2.995341357915059461e+02
3.425000000000000000e+02 2.995406618481842429e+02
3.450000000000000000e+02 2.995471161295510569e+02
3.475000000000000000e+02 2.995534893965940455e+02
3.500000000000000000e+02 2.995597791063137265e+02
3.525000000000000000e+02 2.995659894713825224e+02
3.550000000000000000e+02 2.995721248268507679e+02
3.575000000000000000e+02 2.995781853820357696e+02
3.600000000000000000e+02 2.995841673182687828e+02
3.625000000000000000e+02 2.995900650084204813e+02
3.650000000000000000e+02 2.995958761442873879e+02
3.675000000000000000e+02 2.996016043147783989e+02
3.700000000000000000e+02 2.996072543945272741e+02
3.725000000000000000e+02 2.996128316231865938e+02
3.750000000000000000e+02 2.996183430635753666e+02
3.775000000000000000e+02 2.996237919178758489e+02
3.800000000000000000e+02 2.996291776038175954e+02
3.825000000000000000e+02 2.996344999100713267e+02
3.850000000000000000e+02 2.996397557427959555e+02
3.875000000000000000e+02 2.996449423605676543e+02
3.900000000000000000e+02 2.996500629459985703e+02
3.925000000000000000e+02 2.996551246822183430e+02
3.950000000000000000e+02 2.996601306266318261e+02
3.975000000000000000e+02 2.996650798381424465e+02
4.000000000000000000e+02 2.996699724699280409e+02
4.025000000000000000e+02 2.996748073787462658e+02
4.050000000000000000e+02 2.996795835004789410e+02
4.075000000000000000e+02 2.996843030423553955e+02
4.100000000000000000e+02 2.996889660803656170e+02
4.125000000000000000e+02 2.996935714992951603e+02
4.150000000000000000e+02 2.996981188978473938e+02
4.175000000000000000e+02 2.997026075233357574e+02
4.200000000000000000e+02 2.997070364392938018e+02
4.225000000000000000e+02 2.997114073566229422e+02
4.250000000000000000e+02 2.997157228311587573e+02
4.275000000000000000e+02 2.997199840159851760e+02
4.300000000000000000e+02 2.997241916894872134e+02
4.325000000000000000e+02 2.997283470517222099e+02
4.350000000000000000e+02 2.997324517378540918e+02
4.375000000000000000e+02 2.997365073203914108e+02
