 z Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.131634115840465665e-01
5.000000000000000000e+00 1.632878792665474754e-01
7.500000000000000000e+00 1.722271501797356663e-01
1.000000000000000000e+01 1.589133263607467594e-01
1.250000000000000000e+01 1.398263349698311009e-01
1.500000000000000000e+01 1.239495428344332684e-01
1.750000000000000000e+01 1.133297567257871424e-01
2.000000000000000000e+01 1.068278682320459860e-01
2.250000000000000000e+01 1.034950485013317045e-01
2.500000000000000000e+01 1.021893836634714114e-01
2.750000000000000000e+01 1.019524165576466690e-01
3.000000000000000000e+01 1.022381546998541862e-01
3.250000000000000000e+01 1.032562319711167187e-01
3.500000000000000000e+01 1.049751809295614707e-01
3.750000000000000000e+01 1.069192042104350066e-01
4.000000000000000000e+01 1.088589293752635911e-01
4.250000000000000000e+01 1.109927139692985648e-01
4.500000000000000000e+01 1.137253909371021277e-01
4.750000000000000000e+01 1.168628881779801287e-01
5.000000000000000000e+01 1.196016541783212067e-01
5.250000000000000000e+01 1.217573962340754296e-01
5.500000000000000000e+01 1.236223742602901993e-01
5.750000000000000000e+01 1.258127531991322101e-01
6.000000000000000000e+01 1.284589092194521887e-01
6.250000000000000000e+01 1.311365111739173639e-01
6.500000000000000000e+01 1.341807811059846645e-01
6.750000000000000000e+01 1.375262341585806458e-01
7.000000000000000000e+01 1.407433404716285641e-01
7.250000000000000000e+01 1.436978682754727898e-01
7.500000000000000000e+01 1.462871704586193866e-01
7.750000000000000000e+01 1.485393955844030445e-01
8.000000000000000000e+01 1.506642193502972515e-01
8.250000000000000000e+01 1.526835698555205623e-01
8.500000000000000000e+01 1.548386310962797663e-01
8.750000000000000000e+01 1.572315901514950431e-01
9.000000000000000000e+01 1.594274477957406955e-01
9.250000000000000000e+01 1.615047606649637479e-01
9.500000000000000000e+01 1.633952057902506860e-01
9.750000000000000000e+01 1.654164059027635469e-01
1.000000000000000000e+02 1.675605194563783151e-01
1.025000000000000000e+02 1.690875310500104534e-01
1.050000000000000000e+02 1.705605692461429068e-01
1.075000000000000000e+02 1.729379484578377757e-01
1.100000000000000000e+02 1.751607756993457943e-01
1.125000000000000000e+02 1.762790350470449241e-01
1.150000000000000000e+02 1.772718182300970224e-01
1.175000000000000000e+02 1.785699048976283065e-01
1.200000000000000000e+02 1.794957808169926894e-01
1.225000000000000000e+02 1.801319491684064689e-01
1.250000000000000000e+02 1.813717808271848586e-01
1.275000000000000000e+02 1.830210146711722108e-01
1.300000000000000000e+02 1.842668063462335470e-01
1.325000000000000000e+02 1.858755029016176397e-01
1.350000000000000000e+02 1.876897998717395044e-01
1.375000000000000000e+02 1.889025439074510926e-01
1.400000000000000000e+02 1.896679133967683617e-01
1.425000000000000000e+02 1.901615659057501739e-01
1.450000000000000000e+02 1.905164521843568659e-01
1.475000000000000000e+02 1.909358064671577149e-01
1.500000000000000000e+02 1.911652194320785370e-01
1.525000000000000000e+02 1.915687327391662198e-01
1.550000000000000000e+02 1.925200347718593608e-01
