 z uu uv uw vv vw ww tke
0.000000000000000000e+00 4.770782915605054630e-01 3.767390018517818295e-01 -3.995321854837066504e-04 4.428333401034635908e-01 -3.180315584707851654e-04 3.954251839939064309e-05 4.599755870911842459e-01
2.500000000000000000e+00 8.339881275107360326e-01 6.992456990466995315e-01 -2.333828254131881455e-02 7.767757222629050329e-01 -2.229792310945382869e-02 2.865749463722662167e-03 8.068147996186819659e-01
5.000000000000000000e+00 1.113745006622883560e+00 9.402305594678446177e-01 -5.861645246050133790e-02 1.028280010445828951e+00 -5.574851504049157386e-02 1.307092616442072537e-02 1.077547971616566569e+00
7.500000000000000000e+00 1.323673541449448487e+00 1.102564934438594380e+00 -9.010364704919933410e-02 1.203229042376571245e+00 -8.517371845201100744e-02 2.634866457495152817e-02 1.276625624200485642e+00
1.000000000000000000e+01 1.424220427014673218e+00 1.160499554637886011e+00 -1.163450844284151797e-01 1.276560961787820414e+00 -1.092538057074659424e-01 4.206424186080556099e-02 1.371422815331649447e+00
1.250000000000000000e+01 1.421777272967816419e+00 1.128164532498574513e+00 -1.336931583466905993e-01 1.261317483441436904e+00 -1.245749651807507713e-01 5.849618646692840429e-02 1.370795471438090773e+00
1.500000000000000000e+01 1.356469952404138146e+00 1.045153870704081056e+00 -1.445937679024856259e-01 1.195497729524526376e+00 -1.335679588106224724e-01 7.588362287313270282e-02 1.313925652400898647e+00
1.750000000000000000e+01 1.269263403821413450e+00 9.479093182309127341e-01 -1.508192144237277821e-01 1.113496194918076831e+00 -1.380056853387315041e-01 9.294663250622131612e-02 1.237853115622855604e+00
2.000000000000000000e+01 1.183133042387872091e+00 8.557559718176731556e-01 -1.546173180811580006e-01 1.034058738532166011e+00 -1.400829514758908934e-01 1.089890835237867367e-01 1.163090432221912440e+00
2.250000000000000000e+01 1.106550513741896946e+00 7.752119604096801009e-01 -1.568399814630630218e-01 9.639962200448466412e-01 -1.406215354675990625e-01 1.232282949673199762e-01 1.096887514377031803e+00
2.500000000000000000e+01 1.040996719252102132e+00 7.069606545680103826e-01 -1.582067965855026292e-01 9.043404492156167374e-01 -1.403326368238195232e-01 1.353951257167543276e-01 1.040366147092236515e+00
2.750000000000000000e+01 9.858758554628322957e-01 6.497595217318088423e-01 -1.589934701961377150e-01 8.536025044472911327e-01 -1.395192290269041124e-01 1.453732073721555884e-01 9.924257836411395362e-01
3.000000000000000000e+01 9.399268034068433142e-01 6.019256922550758615e-01 -1.594266645817879746e-01 8.099435209021452753e-01 -1.384348430692823595e-01 1.533403148308081776e-01 9.516053195698983558e-01
3.250000000000000000e+01 9.011881886878323478e-01 5.612108366376390434e-01 -1.595710026568185891e-01 7.716451186115483862e-01 -1.371504874626518489e-01 1.595483367644007222e-01 9.161908220318908391e-01
3.500000000000000000e+01 8.682840135338305565e-01 5.263744233639000569e-01 -1.595020328844210800e-01 7.378419409542655849e-01 -1.357205673799112833e-01 1.642902289303630747e-01 8.852080917092296497e-01
3.750000000000000000e+01 8.404287762251584359e-01 4.968813144039672114e-01 -1.592867311953983511e-01 7.081757989064959569e-01 -1.342038538921034030e-01 1.678114072814809454e-01 8.582079912065676552e-01
4.000000000000000000e+01 8.169950264003276175e-01 4.722823245270237891e-01 -1.589853223321919251e-01 6.820859113481545499e-01 -1.326458809940489481e-01 1.703251762231925981e-01 8.347030569858373550e-01
4.250000000000000000e+01 7.971506909989635181e-01 4.517053807058359904e-01 -1.585940092043040817e-01 6.588587752367455197e-01 -1.310424358647255538e-01 1.719991864987067964e-01 8.140043263672078755e-01
4.500000000000000000e+01 7.805164466312648486e-01 4.341635618679053343e-01 -1.581486930156416337e-01 6.380769203459883965e-01 -1.294078509623702300e-01 1.729747115668110458e-01 7.957840392720321177e-01
4.750000000000000000e+01 7.661108016603528359e-01 4.186533679259481500e-01 -1.576371793950115952e-01 6.193775297845907080e-01 -1.277387177893838099e-01 1.734084155705875874e-01 7.794483735077655240e-01
5.000000000000000000e+01 7.533000622593215567e-01 4.051614592344400800e-01 -1.570807898920905388e-01 6.028079541596913504e-01 -1.260605400820973832e-01 1.734346313735239120e-01 7.647713238962684512e-01
5.250000000000000000e+01 7.418378349473410127e-01 3.939574261092261276e-01 -1.565099787175640855e-01 5.884638932116641463e-01 -1.244024299991084437e-01 1.731416979478180018e-01 7.517217130534115110e-01
5.500000000000000000e+01 7.314101437563400587e-01 3.845513511435961207e-01 -1.559263395256565987e-01 5.760097845171103792e-01 -1.227607608041343112e-01 1.726184916180083795e-01 7.400192099457294503e-01
5.750000000000000000e+01 7.217277300110478411e-01 3.762006310420740740e-01 -1.553096095609747263e-01 5.649015435752660075e-01 -1.211170247445417930e-01 1.719296597102314972e-01 7.292794666482727006e-01
6.000000000000000000e+01 7.131361208586650680e-01 3.687039701075912057e-01 -1.546546805746504549e-01 5.548851089214247301e-01 -1.194588838326006430e-01 1.710777211713651047e-01 7.195494754757274514e-01
6.250000000000000000e+01 7.060649562555703085e-01 3.622261923850453869e-01 -1.539885431614388678e-01 5.459149433527961115e-01 -1.178032909127740141e-01 1.700652936518140534e-01 7.110225966300902645e-01
6.500000000000000000e+01 7.001834064969101323e-01 3.566378356656154658e-01 -1.533070129094273593e-01 5.378871604152045682e-01 -1.161527049999146743e-01 1.689385137884713006e-01 7.035045403502929728e-01
6.750000000000000000e+01 6.949375160015983655e-01 3.516412568436144692e-01 -1.525988695802219519e-01 5.306328905896762205e-01 -1.144966830016711373e-01 1.677853390793810351e-01 6.966778728353278938e-01
7.000000000000000000e+01 6.900897118686372123e-01 3.473837912753453550e-01 -1.518684712918760837e-01 5.239433423779226162e-01 -1.128599801261587626e-01 1.666752910213887273e-01 6.903541726339742501e-01
7.250000000000000000e+01 6.852388196975724988e-01 3.433747348404282973e-01 -1.511367696690489038e-01 5.170091189481990090e-01 -1.112339159496018443e-01 1.656344377214918617e-01 6.839411881836316986e-01
7.500000000000000000e+01 6.801296222030855931e-01 3.389876185789620355e-01 -1.503993171510931148e-01 5.096206666997261658e-01 -1.096185885112908598e-01 1.646684110315353167e-01 6.772093499671735239e-01
7.750000000000000000e+01 6.748088209877043386e-01 3.342467778722642557e-01 -1.496597838620953302e-01 5.022528700377877353e-01 -1.080187148292025556e-01 1.637774784880568213e-01 6.704195847567744337e-01
8.000000000000000000e+01 6.695461059564161710e-01 3.295513835450222806e-01 -1.489083401587558975e-01 4.953118280978475729e-01 -1.064342901487631277e-01 1.629472061687876339e-01 6.639025701115256473e-01
8.250000000000000000e+01 6.646957935819636232e-01 3.250331958371380225e-01 -1.481454343201631108e-01 4.887700651473909641e-01 -1.048625080898634016e-01 1.621173608839539260e-01 6.577916098066541872e-01
8.500000000000000000e+01 6.605492544324715887e-01 3.209367932249123645e-01 -1.473660227649869203e-01 4.828333206129924449e-01 -1.033108773147455167e-01 1.612279617879671945e-01 6.523052684167156556e-01
8.750000000000000000e+01 6.565809873611672121e-01 3.172089294309161089e-01 -1.465710696393411616e-01 4.774145038737148683e-01 -1.017885275499891412e-01 1.602693168513896205e-01 6.471324040431358782e-01
9.000000000000000000e+01 6.522042038336427483e-01 3.136130883105184286e-01 -1.457728633530272766e-01 4.721400898724968376e-01 -1.002877716030973615e-01 1.592808207886066418e-01 6.418125572473731832e-01
9.250000000000000000e+01 6.480170996928145133e-01 3.103608330511455904e-01 -1.449812651291384202e-01 4.669446871913245367e-01 -9.879934424582682839e-02 1.583058118933146907e-01 6.366337993887268842e-01
9.500000000000000000e+01 6.439889399435549944e-01 3.073455143389101640e-01 -1.441861516866035919e-01 4.619865212237373453e-01 -9.731948377146554252e-02 1.573403531133856503e-01 6.316579071403389811e-01
9.750000000000000000e+01 6.393891396959492379e-01 3.040434430315239189e-01 -1.433879953194347745e-01 4.571324870838487930e-01 -9.585767088262198143e-02 1.563762597143509014e-01 6.264489432470744523e-01
1.000000000000000000e+02 6.341818522990706475e-01 3.003413198706752496e-01 -1.425797424742916708e-01 4.522148914942408782e-01 -9.440845866159622291e-02 1.554163022566713015e-01 6.209065230249913858e-01
1.025000000000000000e+02 6.287245995296832923e-01 2.966123187939770922e-01 -1.417627373964090443e-01 4.473939154748486358e-01 -9.298359018777270502e-02 1.544546760178973632e-01 6.152865955112146734e-01
1.050000000000000000e+02 6.233601296077960763e-01 2.931529411385547790e-01 -1.409370395827700406e-01 4.428991790025204045e-01 -9.158625644226198181e-02 1.535104158904740945e-01 6.098848622503952877e-01
1.075000000000000000e+02 6.181293388887171281e-01 2.897044579207804782e-01 -1.400910610217893371e-01 4.386382324962930235e-01 -9.019936815606258151e-02 1.526287696323417598e-01 6.046981705086760250e-01
1.100000000000000000e+02 6.127307769540847326e-01 2.857869386725934713e-01 -1.392242627961177981e-01 4.343574955721017372e-01 -8.881652653122015795e-02 1.518496105583495848e-01 5.994689415422680412e-01
1.125000000000000000e+02 6.070015340307228779e-01 2.813805278214493444e-01 -1.383626930015632583e-01 4.299428055817797190e-01 -8.745988553511298280e-02 1.511756076427454576e-01 5.940599736276240828e-01
1.150000000000000000e+02 6.010208364221022448e-01 2.770046507488492238e-01 -1.374984163507255996e-01 4.255801315468937251e-01 -8.612728831408412999e-02 1.505922511745128867e-01 5.885966095717544144e-01
1.175000000000000000e+02 5.948293586022966872e-01 2.728505671634187113e-01 -1.366139243143449367e-01 4.211515643087193617e-01 -8.480211159104918128e-02 1.501238401161242020e-01 5.830523815135700838e-01
1.200000000000000000e+02 5.885874669154771421e-01 2.686309773784011368e-01 -1.357152510553980285e-01 4.163436454113383922e-01 -8.349594458032440214e-02 1.497660100428525876e-01 5.773485611848340193e-01
1.225000000000000000e+02 5.824516723156233367e-01 2.641785692627696691e-01 -1.348098238600444199e-01 4.112408162511802523e-01 -8.220934128314678901e-02 1.494623240738903180e-01 5.715774063203469257e-01
1.250000000000000000e+02 5.763654238384495754e-01 2.595157397117836551e-01 -1.338967131084121687e-01 4.061857230684206010e-01 -8.093591538825044285e-02 1.491510972895367382e-01 5.658511220982034295e-01
1.275000000000000000e+02 5.703970594448017906e-01 2.549763647800050159e-01 -1.329684025525094682e-01 4.014976376423132765e-01 -7.967140735777709926e-02 1.488006869881110805e-01 5.603476920376130321e-01
1.300000000000000000e+02 5.647207042510746788e-01 2.506443311495771820e-01 -1.320491274203451082e-01 3.970613296701103745e-01 -7.842801512394184660e-02 1.484114781588249388e-01 5.550967560400050793e-01
1.325000000000000000e+02 5.594093262166019986e-01 2.464221655443338543e-01 -1.311369855217466018e-01 3.927234868563932446e-01 -7.720405992260051531e-02 1.479968063966987935e-01 5.500648097348470600e-01
1.350000000000000000e+02 5.540235260968383590e-01 2.423194544641365522e-01 -1.302110134039416722e-01 3.885544429242542286e-01 -7.598887314064246834e-02 1.475796655740712060e-01 5.450788172975818968e-01
1.375000000000000000e+02 5.485131579204467478e-01 2.384050391231931354e-01 -1.292876238930603106e-01 3.844282201938574173e-01 -7.479481867596028677e-02 1.471455859666551125e-01 5.400434820404795833e-01
1.400000000000000000e+02 5.432919965741179746e-01 2.346320565154524640e-01 -1.283747772086732408e-01 3.802825450798304474e-01 -7.361518422712422238e-02 1.466687513578509294e-01 5.351216465058996619e-01
1.425000000000000000e+02 5.385252692536470764e-01 2.308773511850368831e-01 -1.274698124520815823e-01 3.762333322183654682e-01 -7.244237661996734412e-02 1.461589630314304167e-01 5.304587822517214946e-01
1.450000000000000000e+02 5.339881435229817397e-01 2.271237385409493048e-01 -1.265670417009689130e-01 3.724392938638774742e-01 -7.127977646807993894e-02 1.456229665422724417e-01 5.260252019645658139e-01
1.475000000000000000e+02 5.295055158606997159e-01 2.234788611840572148e-01 -1.256610858172274581e-01 3.689174485670113635e-01 -7.012813737192621910e-02 1.450660633490808427e-01 5.217445138883959332e-01
1.500000000000000000e+02 5.251571263445173887e-01 2.200759221219121264e-01 -1.247610506455006790e-01 3.656598596331383511e-01 -6.898812606554270699e-02 1.444918221357357480e-01 5.176544040566957161e-01
1.525000000000000000e+02 5.207879286622372206e-01 2.167625935796617387e-01 -1.238663886017428856e-01 3.623703393629186253e-01 -6.786225759046742023e-02 1.439135063160558170e-01 5.135358871706058315e-01
1.550000000000000000e+02 5.160218157565167330e-01 2.131873483197943286e-01 -1.229656694995386323e-01 3.587923808178815066e-01 -6.674080764820630729e-02 1.433323713776993580e-01 5.090732839760487849e-01
1.575000000000000000e+02 5.106997123221033164e-01 2.093176089567035103e-01 -1.220614011534683352e-01 3.552354074420786545e-01 -6.562542633668480563e-02 1.427394042158423304e-01 5.043372619900121645e-01
1.600000000000000000e+02 5.050644962193338028e-01 2.055230636863198401e-01 -1.211537280588094734e-01 3.518511651716501598e-01 -6.452231873010091934e-02 1.421323832104791351e-01 4.995240223007315628e-01
1.625000000000000000e+02 4.992947250398586112e-01 2.017794568545618894e-01 -1.202451189054768305e-01 3.483348637179826124e-01 -6.343805085442856539e-02 1.415279354848321403e-01 4.945787621213366680e-01
1.650000000000000000e+02 4.935524900303835394e-01 1.979591979482793473e-01 -1.193509105881979809e-01 3.447999705030591056e-01 -6.237571009638705893e-02 1.409631024744794903e-01 4.896577815039611092e-01
1.675000000000000000e+02 4.881311773895810058e-01 1.940995009579779551e-01 -1.184596115943703648e-01 3.414445332801612221e-01 -6.132839492226078992e-02 1.404457638864830549e-01 4.850107372781126136e-01
1.700000000000000000e+02 4.832549415776256629e-01 1.904152908980437930e-01 -1.175730116714909651e-01 3.383257667834532745e-01 -6.029516058996903238e-02 1.399443869312196331e-01 4.807625476461492298e-01
1.725000000000000000e+02 4.787238130559635652e-01 1.867997581613956848e-01 -1.166795844045758201e-01 3.352249839519676478e-01 -5.926729793641992428e-02 1.394404548106329966e-01 4.766946259092821325e-01
1.750000000000000000e+02 4.746823983451952667e-01 1.832839619140657073e-01 -1.157831416407433117e-01 3.318169725384697566e-01 -5.824900108279762456e-02 1.389277228780033957e-01 4.727135468808341678e-01
1.775000000000000000e+02 4.714298253790076276e-01 1.800744450131768759e-01 -1.148947031490580722e-01 3.280517840086110137e-01 -5.724518702905999346e-02 1.383934906169884127e-01 4.689375500023035270e-01
1.800000000000000000e+02 4.685884479013299742e-01 1.771425047289841292e-01 -1.140139012524825080e-01 3.242805617757684722e-01 -5.625699553751469656e-02 1.378117235931093643e-01 4.653403666351039192e-01
1.825000000000000000e+02 4.656124821422967242e-01 1.743799602442885899e-01 -1.131388098777091206e-01 3.208488723796505959e-01 -5.529098639971560813e-02 1.371633505196031277e-01 4.618123525207752378e-01
1.850000000000000000e+02 4.623747662321446295e-01 1.716707514174087290e-01 -1.122655048145236589e-01 3.177654760614504470e-01 -5.434017518464080709e-02 1.364398135998885209e-01 4.582900279467417848e-01
1.875000000000000000e+02 4.587815863711478537e-01 1.687969624438029892e-01 -1.113903495145633082e-01 3.145973187736225141e-01 -5.339823354201140432e-02 1.356569639018180562e-01 4.545179345232941981e-01
1.900000000000000000e+02 4.548862741999358250e-01 1.658023757617572702e-01 -1.105262920261749077e-01 3.111270676332715812e-01 -5.246952135795554528e-02 1.348506365511014660e-01 4.504319891921544361e-01
1.925000000000000000e+02 4.506506062982814087e-01 1.628277990714949441e-01 -1.096617070936680149e-01 3.075657417455041620e-01 -5.155051880154521565e-02 1.340448321400874165e-01 4.461305900919365075e-01
1.950000000000000000e+02 4.461659555916097641e-01 1.599761918990369458e-01 -1.087853634940212089e-01 3.041330167811931995e-01 -5.063147391310764134e-02 1.332356423895402764e-01 4.417673073811716478e-01
1.975000000000000000e+02 4.415139954962429281e-01 1.572915804587963207e-01 -1.079037490192049226e-01 3.008958082344748708e-01 -4.972336194139990312e-02 1.324109926149927563e-01 4.374103981728553192e-01
2.000000000000000000e+02 4.366688894726634129e-01 1.547352875101371539e-01 -1.070233359816265689e-01 2.978368117544238358e-01 -4.883256574291542501e-02 1.315839527910148132e-01 4.330448270090510032e-01
2.025000000000000000e+02 4.319344228693017818e-01 1.524249806587240630e-01 -1.061506990254303257e-01 2.950595813911043308e-01 -4.796367867200836826e-02 1.307721995869483012e-01 4.288831019236772346e-01
2.050000000000000000e+02 4.274330756366847006e-01 1.502840736397405563e-01 -1.052805803739175899e-01 2.925604027358874593e-01 -4.711464167194901603e-02 1.299594567452723726e-01 4.249764675589222662e-01
