 z T
0.000000000000000000e+00 2.990912112910596079e+02
2.500000000000000000e+00 2.991268402664110795e+02
5.000000000000000000e+00 2.991575207152851590e+02
7.500000000000000000e+00 2.991882592364855213e+02
1.000000000000000000e+01 2.992190538264562747e+02
1.250000000000000000e+01 2.992499039344596667e+02
1.500000000000000000e+01 2.992807397433889491e+02
1.750000000000000000e+01 2.993114512273135688e+02
2.000000000000000000e+01 2.993419479613744443e+02
2.250000000000000000e+01 2.993721539657149719e+02
2.500000000000000000e+01 2.994019719077454056e+02
2.750000000000000000e+01 2.994312613323292567e+02
3.000000000000000000e+01 2.994598413467534783e+02
3.250000000000000000e+01 2.994875074704207236e+02
3.500000000000000000e+01 2.995140568073140912e+02
3.750000000000000000e+01 2.995393177754774001e+02
4.000000000000000000e+01 2.995632054876685402e+02
4.250000000000000000e+01 2.995857365286639151e+02
4.500000000000000000e+01 2.996069984587897466e+02
4.750000000000000000e+01 2.996271057787508312e+02
5.000000000000000000e+01 2.996461603554127464e+02
5.250000000000000000e+01 2.996642442279982106e+02
5.500000000000000000e+01 2.996814221989056364e+02
5.750000000000000000e+01 2.996977392846956718e+02
6.000000000000000000e+01 2.997132250882285689e+02
6.250000000000000000e+01 2.997279091740114723e+02
6.500000000000000000e+01 2.997418236156295279e+02
6.750000000000000000e+01 2.997550099668698635e+02
7.000000000000000000e+01 2.997675140869388883e+02
7.250000000000000000e+01 2.997793742974930069e+02
7.500000000000000000e+01 2.997906238025828429e+02
7.750000000000000000e+01 2.998012876652719001e+02
8.000000000000000000e+01 2.998113810426852410e+02
8.250000000000000000e+01 2.998209221473748016e+02
8.500000000000000000e+01 2.998299392333929632e+02
8.750000000000000000e+01 2.998384651130148200e+02
9.000000000000000000e+01 2.998465303667457533e+02
9.250000000000000000e+01 2.998541643807760693e+02
9.500000000000000000e+01 2.998613963197867065e+02
9.750000000000000000e+01 2.998682516062274317e+02
1.000000000000000000e+02 2.998747479744732232e+02
1.025000000000000000e+02 2.998809001722062249e+02
1.050000000000000000e+02 2.998867253640375452e+02
1.075000000000000000e+02 2.998922414640053944e+02
1.100000000000000000e+02 2.998974660378894441e+02
1.125000000000000000e+02 2.999024159939123138e+02
1.150000000000000000e+02 2.999071082231315586e+02
