 z uu uv uw vv vw ww tke
1.425000000000000000e+02 3.050923361871430220e-02 4.921709468724815711e-03 -6.592452057779283475e-03 1.643423007852192266e-02 -6.600725720241709150e-04 8.532016518869962526e-03 2.773774010805309456e-02
1.450000000000000000e+02 2.968487816818360034e-02 4.617453251738703329e-03 -6.461156745818327253e-03 1.608367333965006474e-02 -5.943507401705279500e-04 8.414536626136720834e-03 2.709154406698519382e-02
1.475000000000000000e+02 2.883736349222219830e-02 4.287272961490622321e-03 -6.331051166185051697e-03 1.578076176995803909e-02 -5.298958798917075171e-04 8.299125071910176676e-03 2.645862516704520703e-02
1.500000000000000000e+02 2.800065990686993744e-02 3.977249879602602969e-03 -6.201505255022349110e-03 1.553309204296758790e-02 -4.677649735772614146e-04 8.186777185853783001e-03 2.586026456784565331e-02
1.525000000000000000e+02 2.722588836971495327e-02 3.692501600481749337e-03 -6.074362539436281919e-03 1.526715367655049303e-02 -4.089436765886726656e-04 8.079876072827120795e-03 2.528645905954628181e-02
1.550000000000000000e+02 2.654896118234939192e-02 3.439229036242950725e-03 -5.951286184625003729e-03 1.497434211340504390e-02 -3.530821692637744970e-04 7.978084327091076317e-03 2.475069381142275260e-02
1.575000000000000000e+02 2.593680150721116434e-02 3.244991326457420579e-03 -5.829954257430068620e-03 1.467973689738981055e-02 -2.991096897326239734e-04 7.879130991335745945e-03 2.424783469796835955e-02
1.600000000000000000e+02 2.532977719093374575e-02 3.102247942731705451e-03 -5.711258047597384674e-03 1.438972476230394523e-02 -2.481546918349719025e-04 7.780121149995946304e-03 2.374981155161681734e-02
1.625000000000000000e+02 2.471206817332726596e-02 2.973673961180161533e-03 -5.595313828091381253e-03 1.412698846155930645e-02 -1.992663327069453267e-04 7.679846592303410033e-03 2.325945161359499122e-02
1.650000000000000000e+02 2.411214157305210590e-02 2.841153616904261089e-03 -5.481776785632279554e-03 1.388575685033486933e-02 -1.520930973064323164e-04 7.579716724169110326e-03 2.278880757377804017e-02
1.675000000000000000e+02 2.352980709827019387e-02 2.700139154412407611e-03 -5.369476464666367646e-03 1.364817701956596956e-02 -1.080328657722886843e-04 7.481158948603622641e-03 2.232957153321989130e-02
1.700000000000000000e+02 2.296512277593564660e-02 2.571294832468103142e-03 -5.258653330759503405e-03 1.343064999381379104e-02 -6.693718078687678800e-05 7.386940577185093816e-03 2.189135667346726530e-02
1.725000000000000000e+02 2.243514049305176880e-02 2.457884809784045832e-03 -5.149898777298025400e-03 1.322697438988683187e-02 -2.749582073752614592e-05 7.297552463239907056e-03 2.147983367308925473e-02
1.750000000000000000e+02 2.193498609976321165e-02 2.328851122150803633e-03 -5.043286157951539991e-03 1.302105052760401532e-02 1.076450618712762131e-05 7.210511003074667434e-03 2.108327381522094590e-02
1.775000000000000000e+02 2.147684698727554686e-02 2.199546468723941745e-03 -4.940497120719852808e-03 1.281965407118242951e-02 4.628761114177679879e-05 7.124424757389531161e-03 2.071046290792375247e-02
1.800000000000000000e+02 2.103448133558594516e-02 2.106834784935269263e-03 -4.840645967295447924e-03 1.262458635984930848e-02 7.874093106954578418e-05 7.039436643990724073e-03 2.034925216971298842e-02
1.825000000000000000e+02 2.056226775484279110e-02 2.026610400291651692e-03 -4.744184941891013349e-03 1.240991984166616054e-02 1.087972778998735728e-04 6.955847095928200524e-03 1.996401734621857521e-02
1.850000000000000000e+02 2.006286365024675250e-02 1.925207676482719845e-03 -4.652804369723694336e-03 1.216386915873879891e-02 1.363978516390782847e-04 6.872519379589931213e-03 1.954962609428774131e-02
1.875000000000000000e+02 1.958521482119235380e-02 1.796724546347051995e-03 -4.565856859602030263e-03 1.191314703150580558e-02 1.633886257889204270e-04 6.789057214496642921e-03 1.914370953359740071e-02
1.900000000000000000e+02 1.915688161270472437e-02 1.657309984114826995e-03 -4.482705436126601869e-03 1.167287249110422580e-02 1.898799798717727000e-04 6.706375326056726420e-03 1.876806471493283612e-02
1.925000000000000000e+02 1.878970223580384014e-02 1.544278782069944018e-03 -4.402858495834474119e-03 1.146614844365479065e-02 2.153149022444211889e-04 6.626642203827521130e-03 1.844124644164307422e-02
1.950000000000000000e+02 1.847068625468746214e-02 1.474485213034765164e-03 -4.327702551955546484e-03 1.130245521271490243e-02 2.390000793199317352e-04 6.551647777317620713e-03 1.816239462235999177e-02
1.975000000000000000e+02 1.814860475806262183e-02 1.411492773249046909e-03 -4.255862485377050197e-03 1.116016371969301771e-02 2.614508961338990055e-04 6.481291733128401004e-03 1.789503010544201897e-02
2.000000000000000000e+02 1.782608564315496871e-02 1.318635234936572443e-03 -4.187668527835261036e-03 1.102751060117346249e-02 2.825208221653298748e-04 6.414238184369611649e-03 1.763391721434902012e-02
2.025000000000000000e+02 1.751946077617979117e-02 1.193881164401867055e-03 -4.123372119751937681e-03 1.090801351430083568e-02 3.023262022329705552e-04 6.348461866772733136e-03 1.738796807862667826e-02
2.050000000000000000e+02 1.723344530010664788e-02 1.055134108098876745e-03 -4.061900990726667604e-03 1.079913499763899068e-02 3.214750279666136654e-04 6.282740352549617303e-03 1.715766032514762923e-02
2.075000000000000000e+02 1.697095250286682899e-02 9.164462999530059153e-04 -4.002911330222554652e-03 1.068519448481009167e-02 3.394199986507971320e-04 6.217105931619782734e-03 1.693662645964835040e-02
2.100000000000000000e+02 1.671742377145933947e-02 7.861013488799271053e-04 -3.945545841669770293e-03 1.057238338862319729e-02 3.579883499509968394e-04 6.151606595062308024e-03 1.672070687757242283e-02
2.125000000000000000e+02 1.643332702953218677e-02 6.711082897437195896e-04 -3.890698915778618028e-03 1.048058926142833060e-02 3.762847031312765685e-04 6.087861509481705923e-03 1.650088890022111121e-02
2.150000000000000000e+02 1.611935909895651983e-02 5.836460902259620661e-04 -3.839585916847135499e-03 1.041351184887620400e-02 3.928353379620482823e-04 6.028457535533653967e-03 1.628066424168318760e-02
2.175000000000000000e+02 1.582501976534764904e-02 5.261605255570299877e-04 -3.792837786250660790e-03 1.034001870892907113e-02 4.071976872053874688e-04 5.974554753125717148e-03 1.606979661370121909e-02
2.200000000000000000e+02 1.558710249846892264e-02 5.024259380062989647e-04 -3.749692711861705215e-03 1.024932178483121785e-02 4.193502659704224185e-04 5.926768840360639376e-03 1.588159656183038906e-02
2.225000000000000000e+02 1.540662222392799423e-02 5.067930455743995715e-04 -3.707883936008864526e-03 1.014702190105748643e-02 4.308459264528718968e-04 5.884842927550724967e-03 1.571924352626810281e-02
2.250000000000000000e+02 1.525977724248879855e-02 5.208910274375694663e-04 -3.665921619697203211e-03 1.003276696660792763e-02 4.427766189958472318e-04 5.846027752182873446e-03 1.556928598063980068e-02
2.275000000000000000e+02 1.514496867077121459e-02 5.288379545369615090e-04 -3.624573530477120855e-03 9.913740645529991319e-03 4.550384739935355591e-04 5.807706541179747002e-03 1.543320792874047602e-02
2.300000000000000000e+02 1.504507835145416604e-02 5.276975757483370671e-04 -3.585265581516641504e-03 9.799920075466022479e-03 4.669754185549623978e-04 5.769698350991396725e-03 1.530734838895579132e-02
2.325000000000000000e+02 1.490706765467064016e-02 5.178717349929785234e-04 -3.547551185885640564e-03 9.696322848955664722e-03 4.782502370754371864e-04 5.731776057646058992e-03 1.516758328063618107e-02
2.350000000000000000e+02 1.471579765167657303e-02 4.991672633271703038e-04 -3.511429973555361701e-03 9.579391368542080135e-03 4.886341170262529978e-04 5.696335802264784406e-03 1.499576241124172052e-02
2.375000000000000000e+02 1.449745060845468100e-02 4.668270806073566807e-04 -3.477358137548705336e-03 9.435260871471557245e-03 4.981081127852649958e-04 5.665219452663166483e-03 1.479896546629470323e-02
2.400000000000000000e+02 1.428032231095853824e-02 4.295726460194604465e-04 -3.445211450317454006e-03 9.296626345954923237e-03 5.070391106910416548e-04 5.635690855809198305e-03 1.460631975636133076e-02
2.425000000000000000e+02 1.408256008047079587e-02 4.097953447047416545e-04 -3.413944430197042839e-03 9.190786979043512328e-03 5.159924056426817189e-04 5.606627987191084399e-03 1.443998752335269760e-02
2.450000000000000000e+02 1.390383358309255774e-02 4.111287146068081061e-04 -3.382723304839606922e-03 9.122058790246512922e-03 5.249060549560076320e-04 5.577481288373867772e-03 1.430168683085646965e-02
2.475000000000000000e+02 1.373028798530148697e-02 4.233974394555637885e-04 -3.351974587917515638e-03 9.079095032406893709e-03 5.336531051099835778e-04 5.547044945161313904e-03 1.417821398143484686e-02
2.500000000000000000e+02 1.356083116560098493e-02 4.246809779748710956e-04 -3.322247769588133632e-03 9.039529646869081878e-03 5.415434767282863117e-04 5.515422755528009806e-03 1.405789178399903874e-02
2.525000000000000000e+02 1.338886865671446401e-02 4.056153700116365223e-04 -3.293457416402482442e-03 8.986011799790829396e-03 5.479591023897965006e-04 5.482798087599868864e-03 1.392883927205258027e-02
2.550000000000000000e+02 1.320707209769440144e-02 3.771338847285630167e-04 -3.265501187216637673e-03 8.908077184320017938e-03 5.533313375930057473e-04 5.448644583902652674e-03 1.378189693295853516e-02
2.575000000000000000e+02 1.302964945444753941e-02 3.479307207357356714e-04 -3.238656009955516793e-03 8.810375309091384929e-03 5.576859543463158790e-04 5.412213249648472821e-03 1.362611900659370032e-02
2.600000000000000000e+02 1.288154376675052989e-02 3.274447849579759833e-04 -3.212553793152085179e-03 8.696851548436709475e-03 5.611670020539025151e-04 5.373654612599527806e-03 1.347602496389338315e-02
