 z TI
0.000000000000000000e+00 4.941208534961900878e-02
2.500000000000000000e+00 5.415058534380562394e-02
5.000000000000000000e+00 5.516240870259113416e-02
7.500000000000000000e+00 5.504962061391770883e-02
1.000000000000000000e+01 5.402084252038869688e-02
1.250000000000000000e+01 5.244793615593047742e-02
1.500000000000000000e+01 5.076425691749573282e-02
1.750000000000000000e+01 4.919159583912098566e-02
2.000000000000000000e+01 4.778732696079508041e-02
2.250000000000000000e+01 4.651196651259890957e-02
2.500000000000000000e+01 4.532425801641769975e-02
2.750000000000000000e+01 4.417421179954138244e-02
3.000000000000000000e+01 4.302743609088932608e-02
3.250000000000000000e+01 4.190252249901411929e-02
3.500000000000000000e+01 4.082109956984154159e-02
3.750000000000000000e+01 3.978620783874600025e-02
4.000000000000000000e+01 3.879748840207370569e-02
4.250000000000000000e+01 3.786262424741339283e-02
4.500000000000000000e+01 3.699761181855833192e-02
4.750000000000000000e+01 3.620478758456353863e-02
5.000000000000000000e+01 3.546374735794247807e-02
5.250000000000000000e+01 3.475418751557140390e-02
5.500000000000000000e+01 3.407195901821380435e-02
5.750000000000000000e+01 3.341253716758531972e-02
6.000000000000000000e+01 3.277763853978502007e-02
6.250000000000000000e+01 3.218689292402160396e-02
6.500000000000000000e+01 3.163820144421063824e-02
6.750000000000000000e+01 3.111094816560913690e-02
7.000000000000000000e+01 3.059273269335385445e-02
7.250000000000000000e+01 3.008908176919773345e-02
7.500000000000000000e+01 2.959980678169203683e-02
7.750000000000000000e+01 2.912362927269865689e-02
8.000000000000000000e+01 2.866989800705075850e-02
8.250000000000000000e+01 2.823571122045864454e-02
8.500000000000000000e+01 2.781366477609055476e-02
8.750000000000000000e+01 2.738877445138099623e-02
9.000000000000000000e+01 2.695933083741547040e-02
9.250000000000000000e+01 2.652955310534057740e-02
9.500000000000000000e+01 2.610217868274481920e-02
9.750000000000000000e+01 2.567481902704023961e-02
1.000000000000000000e+02 2.524795812468647732e-02
1.025000000000000000e+02 2.483433614800575895e-02
1.050000000000000000e+02 2.444072918917325823e-02
1.075000000000000000e+02 2.406796692593348927e-02
1.100000000000000000e+02 2.371694470441878741e-02
1.125000000000000000e+02 2.339084007869665985e-02
1.150000000000000000e+02 2.308558541265899253e-02
1.175000000000000000e+02 2.278736133255872959e-02
1.200000000000000000e+02 2.248948803286941744e-02
1.225000000000000000e+02 2.218811508123967949e-02
1.250000000000000000e+02 2.188416159620666657e-02
1.275000000000000000e+02 2.159034575558640978e-02
1.300000000000000000e+02 2.131352858126397271e-02
1.325000000000000000e+02 2.104595344803934440e-02
1.350000000000000000e+02 2.077363999505989212e-02
1.375000000000000000e+02 2.049495617327838290e-02
1.400000000000000000e+02 2.021512482840157054e-02
1.425000000000000000e+02 1.993913142840998687e-02
1.450000000000000000e+02 1.966381640443161383e-02
1.475000000000000000e+02 1.939283184204170299e-02
1.500000000000000000e+02 1.913393516080737905e-02
1.525000000000000000e+02 1.888382531660491928e-02
1.550000000000000000e+02 1.864806570586902135e-02
1.575000000000000000e+02 1.842479230060543524e-02
1.600000000000000000e+02 1.820307695570277245e-02
1.625000000000000000e+02 1.798401026785895196e-02
1.650000000000000000e+02 1.777237440482406713e-02
1.675000000000000000e+02 1.756489295331977590e-02
1.700000000000000000e+02 1.736525080013356578e-02
1.725000000000000000e+02 1.717582906197514386e-02
