 z Alpha
3.875000000000000000e+02 4.813731430868674332e-02
3.900000000000000000e+02 4.932277215498809958e-02
3.925000000000000000e+02 5.197758465040248910e-02
3.950000000000000000e+02 5.564238640961276933e-02
3.975000000000000000e+02 5.696433022957433229e-02
4.000000000000000000e+02 5.440306474336218528e-02
4.025000000000000000e+02 5.084612159471788712e-02
4.050000000000000000e+02 4.989258298306942230e-02
4.075000000000000000e+02 5.079281794238071218e-02
4.100000000000000000e+02 5.164314283156775515e-02
4.125000000000000000e+02 5.219920198794315847e-02
4.150000000000000000e+02 5.202434365019609902e-02
4.175000000000000000e+02 5.215336026489315185e-02
4.200000000000000000e+02 5.339563410652345410e-02
4.225000000000000000e+02 5.437850970791388572e-02
4.250000000000000000e+02 5.480990307145311435e-02
4.275000000000000000e+02 5.454981589715904300e-02
4.300000000000000000e+02 5.459965474868467422e-02
4.325000000000000000e+02 5.438245610457588530e-02
4.350000000000000000e+02 5.450420636716703238e-02
4.375000000000000000e+02 5.509121264833363035e-02
4.400000000000000000e+02 5.670072743968757739e-02
4.425000000000000000e+02 5.655965036335236507e-02
4.450000000000000000e+02 5.603346366842039405e-02
4.475000000000000000e+02 5.236404722479746227e-02
4.500000000000000000e+02 5.082125993145265863e-02
4.525000000000000000e+02 4.764790509418377618e-02
4.550000000000000000e+02 4.774762358010035262e-02
4.575000000000000000e+02 4.551446546438608909e-02
4.600000000000000000e+02 4.516545997861082240e-02
4.625000000000000000e+02 4.181238451192657857e-02
4.650000000000000000e+02 4.095285000179475776e-02
4.675000000000000000e+02 3.731421597140134605e-02
4.700000000000000000e+02 3.684095561148367781e-02
4.725000000000000000e+02 3.288225216536883738e-02
4.750000000000000000e+02 3.321489470675471900e-02
4.775000000000000000e+02 2.908894359788408504e-02
4.800000000000000000e+02 2.943993117137732110e-02
4.825000000000000000e+02 2.453248704064632871e-02
4.850000000000000000e+02 2.618992193342709399e-02
4.875000000000000000e+02 2.093313931133152991e-02
4.900000000000000000e+02 2.348018872019501727e-02
4.925000000000000000e+02 1.719657895499656503e-02
4.950000000000000000e+02 2.037545087073134795e-02
4.975000000000000000e+02 1.310907973403334197e-02
5.000000000000000000e+02 1.873748855423326351e-02
5.025000000000000000e+02 1.056638001143656198e-02
5.050000000000000000e+02 1.702901374178692612e-02
5.075000000000000000e+02 6.100209781853630116e-03
5.100000000000000000e+02 1.512157410479161336e-02
5.125000000000000000e+02 8.123565908594748176e-04
5.150000000000000000e+02 1.460222885461900759e-02
5.175000000000000000e+02 -4.679717588343097236e-03
5.200000000000000000e+02 1.640477697910582705e-02
5.225000000000000000e+02 -1.111970405675330627e-02
5.250000000000000000e+02 2.044461028286162149e-02
5.275000000000000000e+02 -1.904504579326769462e-02
5.300000000000000000e+02 2.713028879148526168e-02
5.325000000000000000e+02 -2.861726789068193624e-02
5.350000000000000000e+02 3.656821221563593544e-02
5.375000000000000000e+02 -4.005254938048046637e-02
5.400000000000000000e+02 4.811611743354377718e-02
5.425000000000000000e+02 -5.328812161183754670e-02
5.450000000000000000e+02 6.157333701550081473e-02
5.475000000000000000e+02 -6.793861233844319947e-02
5.500000000000000000e+02 7.638182100996109003e-02
5.525000000000000000e+02 -8.355623025436462181e-02
5.550000000000000000e+02 9.181461017741733566e-02
5.575000000000000000e+02 -9.966791134077575276e-02
5.600000000000000000e+02 1.073398783603003448e-01
5.625000000000000000e+02 -1.154832710681227836e-01
5.650000000000000000e+02 1.224007780687339231e-01
5.675000000000000000e+02 -1.301126555878190649e-01
5.700000000000000000e+02 1.363032225899606376e-01
5.725000000000000000e+02 -1.434120207312811479e-01
5.750000000000000000e+02 1.487041774323279997e-01
5.775000000000000000e+02 -1.554159247456800841e-01
5.800000000000000000e+02 1.600546707337408558e-01
5.825000000000000000e+02 -1.663412610663242697e-01
5.850000000000000000e+02 1.709024955893318765e-01
5.875000000000000000e+02 -1.768973762327700205e-01
5.900000000000000000e+02 1.816142579230012322e-01
5.925000000000000000e+02 -1.875501885582386008e-01
5.950000000000000000e+02 1.925969724919321113e-01
5.975000000000000000e+02 -1.985435171185253311e-01
6.000000000000000000e+02 2.039961720483477181e-01
6.025000000000000000e+02 -2.100789721984441250e-01
6.050000000000000000e+02 2.159117659676250689e-01
6.075000000000000000e+02 -2.222318511989542777e-01
6.100000000000000000e+02 2.284348726911087923e-01
6.125000000000000000e+02 -2.350406853493659798e-01
6.150000000000000000e+02 2.416180625800165849e-01
6.175000000000000000e+02 -2.485381610391558804e-01
6.200000000000000000e+02 2.554997676661688311e-01
6.225000000000000000e+02 -2.627557544894102981e-01
6.250000000000000000e+02 2.701154214218368099e-01
6.275000000000000000e+02 -2.777252376215829099e-01
6.300000000000000000e+02 2.855009339283735570e-01
6.325000000000000000e+02 -2.934812029698286584e-01
6.350000000000000000e+02 3.016968802174114783e-01
6.375000000000000000e+02 -3.100670261786469539e-01
6.400000000000000000e+02 3.187129892122517738e-01
6.425000000000000000e+02 -3.277494987164428220e-01
6.450000000000000000e+02 3.348862427919652163e-01
6.475000000000000000e+02 -3.445163681002750833e-01
6.500000000000000000e+02 3.398203287821074392e-01
6.525000000000000000e+02 -3.436424575083803501e-01
6.550000000000000000e+02 3.328779107914386914e-01
6.575000000000000000e+02 -3.182178247336554522e-01
6.600000000000000000e+02 3.115409281509089467e-01
6.625000000000000000e+02 -3.000681481669817408e-01
6.650000000000000000e+02 2.915817084687114535e-01
6.675000000000000000e+02 -2.808931117975885794e-01
6.700000000000000000e+02 2.712824938110752759e-01
6.725000000000000000e+02 -2.615651417000178780e-01
6.750000000000000000e+02 2.517158813075867085e-01
6.775000000000000000e+02 -2.420961680581230624e-01
6.800000000000000000e+02 2.327637894346492320e-01
6.825000000000000000e+02 -2.226977529963851676e-01
6.850000000000000000e+02 2.133345210709805262e-01
6.875000000000000000e+02 -2.035073768381937265e-01
6.900000000000000000e+02 1.934416020623064558e-01
6.925000000000000000e+02 -1.838991070123383031e-01
6.950000000000000000e+02 1.736760481932038414e-01
6.975000000000000000e+02 -1.634495501080012181e-01
7.000000000000000000e+02 1.539013470480913304e-01
7.025000000000000000e+02 -1.427075753788727974e-01
7.050000000000000000e+02 1.334485359521164205e-01
7.075000000000000000e+02 -1.223850862624153851e-01
7.100000000000000000e+02 1.121127532608320737e-01
7.125000000000000000e+02 -1.022328264327480724e-01
7.150000000000000000e+02 9.054217002925991908e-02
7.175000000000000000e+02 -8.125307115789763557e-02
7.200000000000000000e+02 6.936108937510418460e-02
7.225000000000000000e+02 -5.899041049625104727e-02
7.250000000000000000e+02 4.835424330640179097e-02
7.275000000000000000e+02 -3.596536612381424913e-02
7.300000000000000000e+02 2.657378373888647990e-02
7.325000000000000000e+02 -1.321490840618785682e-02
7.350000000000000000e+02 2.935715782026629850e-03
7.375000000000000000e+02 8.892363971358186944e-03
7.400000000000000000e+02 -2.190081989999967740e-02
7.425000000000000000e+02 3.172669200515620958e-02
7.450000000000000000e+02 -4.839121907265948874e-02
7.475000000000000000e+02 5.501337041137564776e-02
7.500000000000000000e+02 -4.891021720986079430e-02
7.525000000000000000e+02 4.674860678055701296e-02
7.550000000000000000e+02 -3.737285835717905208e-02
7.575000000000000000e+02 2.941434102997655606e-02
7.600000000000000000e+02 -2.155978275421828114e-02
7.625000000000000000e+02 1.355477669678346875e-02
7.650000000000000000e+02 -5.777435988622199765e-03
7.675000000000000000e+02 -2.035918140964634773e-03
7.700000000000000000e+02 9.673859668893248012e-03
7.725000000000000000e+02 -1.734132338445424498e-02
7.750000000000000000e+02 2.483222508492883424e-02
7.775000000000000000e+02 -3.234927730525012646e-02
7.800000000000000000e+02 3.969887843915996528e-02
7.825000000000000000e+02 -4.706376932366250487e-02
7.850000000000000000e+02 5.427560371088203939e-02
7.875000000000000000e+02 -6.148731022914728089e-02
7.900000000000000000e+02 6.856461200757504870e-02
7.925000000000000000e+02 -7.562305814660598424e-02
7.950000000000000000e+02 8.256878441209744568e-02
7.975000000000000000e+02 -8.947495254779531948e-02
8.000000000000000000e+02 9.629205413938224378e-02
8.025000000000000000e+02 -1.030475484899819744e-01
8.050000000000000000e+02 1.097389114777787417e-01
8.075000000000000000e+02 -1.163455526607348328e-01
8.100000000000000000e+02 1.229139444471505777e-01
8.125000000000000000e+02 -1.293735712003014071e-01
8.150000000000000000e+02 1.358215202315201930e-01
8.175000000000000000e+02 -1.421359695918411603e-01
8.200000000000000000e+02 1.484657052784437159e-01
8.225000000000000000e+02 -1.546368555255117350e-01
8.250000000000000000e+02 1.608503701023450971e-01
8.275000000000000000e+02 -1.668801244143422735e-01
8.300000000000000000e+02 1.729791946076158771e-01
8.325000000000000000e+02 -1.788694507569402736e-01
8.350000000000000000e+02 1.848557104122231509e-01
8.375000000000000000e+02 -1.906083744506641420e-01
8.400000000000000000e+02 1.964833682536026027e-01
8.425000000000000000e+02 -2.021003576138025171e-01
8.450000000000000000e+02 2.078655697549778303e-01
8.475000000000000000e+02 -2.133487120640880919e-01
8.500000000000000000e+02 2.190055396364655738e-01
8.525000000000000000e+02 -2.243565661368947528e-01
8.550000000000000000e+02 2.299064568332037373e-01
8.575000000000000000e+02 -2.351270071043486676e-01
8.600000000000000000e+02 2.405714121770146374e-01
8.625000000000000000e+02 -2.456629691084632194e-01
8.650000000000000000e+02 2.510033901380926968e-01
8.675000000000000000e+02 -2.559672560678085684e-01
8.700000000000000000e+02 2.612051440260054758e-01
8.725000000000000000e+02 -2.660423832724366222e-01
8.750000000000000000e+02 2.711793549110122492e-01
8.775000000000000000e+02 -2.758908846786469748e-01
8.800000000000000000e+02 2.809285625078329907e-01
8.825000000000000000e+02 -2.855149706643543839e-01
8.850000000000000000e+02 2.904550421757320366e-01
8.875000000000000000e+02 -2.949167026240782086e-01
8.900000000000000000e+02 2.997608409068765467e-01
8.925000000000000000e+02 -3.040979002609742743e-01
8.950000000000000000e+02 3.088478160868629585e-01
8.975000000000000000e+02 -3.130602126892548243e-01
9.000000000000000000e+02 3.177175124189352551e-01
9.025000000000000000e+02 -3.218050399468146971e-01
9.050000000000000000e+02 3.263712506698289717e-01
9.075000000000000000e+02 -3.303335342327967106e-01
9.100000000000000000e+02 3.348099626282836083e-01
9.125000000000000000e+02 -3.386466225447847811e-01
9.150000000000000000e+02 3.430343682496292401e-01
9.175000000000000000e+02 -3.467449106229035793e-01
9.200000000000000000e+02 3.510447416192088443e-01
9.225000000000000000e+02 -3.546287353914277518e-01
9.250000000000000000e+02 3.588410944363726873e-01
9.275000000000000000e+02 -3.622981501321514419e-01
9.300000000000000000e+02 3.664230024870703262e-01
9.325000000000000000e+02 -3.697528248337114687e-01
9.350000000000000000e+02 3.737897325134501014e-01
9.375000000000000000e+02 -3.769921532273662890e-01
9.400000000000000000e+02 3.809401485403897114e-01
9.425000000000000000e+02 -3.840151546407215011e-01
9.450000000000000000e+02 3.878727518762175031e-01
9.475000000000000000e+02 -3.908204555346189157e-01
9.500000000000000000e+02 3.945857105686251254e-01
9.525000000000000000e+02 -3.974063257926377934e-01
9.550000000000000000e+02 4.010768050323290090e-01
9.575000000000000000e+02 -4.037706468092532308e-01
9.600000000000000000e+02 4.073434559623804740e-01
9.625000000000000000e+02 -4.099108788456325980e-01
9.650000000000000000e+02 4.133828005245798742e-01
9.675000000000000000e+02 -4.158240791550061322e-01
9.700000000000000000e+02 4.191916020695902190e-01
9.725000000000000000e+02 -4.215069489972245176e-01
9.750000000000000000e+02 4.247662978928387068e-01
9.775000000000000000e+02 -4.269557508951453140e-01
9.800000000000000000e+02 4.301030900328765005e-01
9.825000000000000000e+02 -4.321663926093662900e-01
9.850000000000000000e+02 4.351977970140089025e-01
9.875000000000000000e+02 -4.371343811713441219e-01
9.900000000000000000e+02 4.400461204770704793e-01
9.925000000000000000e+02 -4.418541666045853744e-01
9.950000000000000000e+02 4.446240592712630835e-01
9.975000000000000000e+02 -4.465589970797966268e-01
1.000000000000000000e+03 -4.481797933607852280e-01
