# f, Suu, Svv, Sww
6.666666666666667095e-03 3.317877128455515301e+00 1.632422338254014560e-01 1.164632186716763745e-01
6.969696969696969474e-03 3.554195278880255326e+00 1.575434066599497307e-01 9.531989614845913505e-02
7.272727272727272721e-03 3.703330390057841370e+00 1.891145969560088791e-01 9.801073413380435861e-02
7.575757575757575968e-03 3.169893372822010669e+00 1.503623843774314905e-01 1.017896593392706855e-01
7.878787878787879215e-03 3.499239551447317353e+00 1.865909365270587150e-01 9.179316980903602652e-02
8.181818181818182462e-03 2.823872797659944478e+00 1.981217925257642287e-01 9.043744308619472427e-02
8.484848484848485708e-03 3.512591939261209273e+00 2.005269318820496194e-01 9.615553368860396688e-02
8.787878787878787221e-03 3.301317352260300098e+00 1.994825723496090886e-01 8.892466626091886928e-02
9.090909090909090468e-03 3.193963810449114149e+00 1.819040952638439623e-01 8.423799265881320997e-02
9.393939393939393714e-03 2.887123654453829680e+00 2.068715055742039732e-01 8.473614745667640280e-02
9.696969696969696961e-03 2.767494483508865954e+00 2.394649626081551685e-01 8.122342407923111018e-02
1.000000000000000021e-02 2.712674491444723390e+00 2.268833904419568226e-01 8.444419541162173637e-02
1.030303030303030346e-02 3.019231508422728805e+00 2.002202268630650372e-01 8.559302523841842703e-02
1.060606060606060670e-02 2.943374486899689391e+00 1.884620620151637727e-01 7.582762913805740634e-02
1.090909090909090995e-02 3.219425637363502180e+00 2.018986182380420324e-01 8.091265729164186238e-02
1.121212121212121146e-02 3.217165616261842054e+00 2.470362878348255353e-01 1.015910743436578695e-01
1.151515151515151471e-02 2.876590995089450598e+00 2.096259962775496311e-01 9.863558738295731543e-02
1.181818181818181795e-02 2.686018341320293157e+00 2.100096934760005418e-01 9.060152083294124858e-02
1.212121212121212120e-02 2.803731118963016300e+00 2.316384003301519834e-01 9.352317862388991043e-02
1.242424242424242445e-02 2.799145303626231485e+00 2.511271883866872945e-01 8.295569466563325334e-02
1.272727272727272770e-02 2.850164937268720333e+00 2.389424758473345511e-01 7.934853092216345716e-02
1.303030303030303094e-02 2.487817509296386120e+00 2.130612662587547113e-01 7.717295667527210301e-02
