 z u v w u_mag
0.000000000000000000e+00 1.775319810456394309e+00 1.958770723626746202e+00 -8.507481623069660650e-04 2.643585425309462167e+00
2.500000000000000000e+00 2.102109028359024911e+00 2.305765785762457831e+00 6.017206912544986611e-04 3.120163230981526592e+00
5.000000000000000000e+00 2.369958386107387405e+00 2.574275989798147091e+00 -4.050448336099205871e-04 3.499085564485852728e+00
7.500000000000000000e+00 2.619106358382617739e+00 2.809621345032858208e+00 2.636229007586536242e-04 3.841053278526807890e+00
1.000000000000000000e+01 2.846777638337874894e+00 3.011244200724005449e+00 -1.804919371654927689e-04 4.143879171876499790e+00
1.250000000000000000e+01 3.051595247194549554e+00 3.180612765213010285e+00 1.230467871889044749e-04 4.407780748866352738e+00
1.500000000000000000e+01 3.233835816059444035e+00 3.321456698049132683e+00 -8.729659391076987382e-05 4.635705845916562318e+00
1.750000000000000000e+01 3.394637506937539850e+00 3.438291702098028146e+00 6.085842397262882718e-05 4.831709183707874722e+00
2.000000000000000000e+01 3.535680621977452365e+00 3.535271543953236506e+00 -4.409128825939212022e-05 4.999918234537081396e+00
2.250000000000000000e+01 3.658628775922327492e+00 3.615643955374900020e+00 3.267690878088871432e-05 5.143777379816678597e+00
2.500000000000000000e+01 3.765380996597466723e+00 3.682196585870272099e+00 -2.295881228255663932e-05 5.266561093071941535e+00
2.750000000000000000e+01 3.857916879414422073e+00 3.737445559059327849e+00 1.972116703754737803e-05 5.371407818793126232e+00
3.000000000000000000e+01 3.938178948544967195e+00 3.783611992029538573e+00 -1.147878273581922724e-05 5.461224508947077005e+00
3.250000000000000000e+01 4.008199285213160046e+00 3.822450272628737711e+00 1.363260227761721960e-05 5.538662979175447809e+00
3.500000000000000000e+01 4.069866385754109750e+00 3.855200766189252448e+00 -3.802567103617019472e-06 5.605924129484082918e+00
3.750000000000000000e+01 4.124898032919856128e+00 3.882936514738019262e+00 9.626098169731057692e-06 5.664978354730457077e+00
4.000000000000000000e+01 4.174797218101750751e+00 3.906809423187090680e+00 -2.080962000163083776e-06 5.717699859329615109e+00
4.250000000000000000e+01 4.220876146472051005e+00 3.927971778029383909e+00 7.077160087603670571e-06 5.765826717210824626e+00
4.500000000000000000e+01 4.264175844171578689e+00 3.947272950643736955e+00 5.263454347548777795e-07 5.810693536652951963e+00
4.750000000000000000e+01 4.305297505147081871e+00 3.965072950555299069e+00 5.407707301107340281e-06 5.852981301104612122e+00
5.000000000000000000e+01 4.344640337396308283e+00 3.981380686951998538e+00 2.333759293992076259e-07 5.892986665161014770e+00
5.250000000000000000e+01 4.382666322994840158e+00 3.996332042232427995e+00 3.863163948672780276e-06 5.931141027702986790e+00
5.500000000000000000e+01 4.419755871723662466e+00 4.010118240345027729e+00 1.754667320701225696e-06 5.967854745818364393e+00
5.750000000000000000e+01 4.456128225134944110e+00 4.022875136181347955e+00 2.565279469913919101e-06 6.003382639825399991e+00
6.000000000000000000e+01 4.491902605040574592e+00 4.034760349126432999e+00 7.896892410606225439e-07 6.037920179006491139e+00
6.250000000000000000e+01 4.527093233622172974e+00 4.045859599742089863e+00 2.507290378007617521e-06 6.071536300372351036e+00
6.500000000000000000e+01 4.561945994554702288e+00 4.056352950703270288e+00 1.036121741389214715e-06 6.104535241761971598e+00
6.750000000000000000e+01 4.596666681148024125e+00 4.066494457341494950e+00 2.648096362879000646e-06 6.137240564714120161e+00
7.000000000000000000e+01 4.631086949062369840e+00 4.076253697748914107e+00 1.041736413893492461e-06 6.169506506860058082e+00
7.250000000000000000e+01 4.665044784849084358e+00 4.085436203320177206e+00 1.810895528436928367e-06 6.201083116363633074e+00
7.500000000000000000e+01 4.698368071185026196e+00 4.094019348599835517e+00 1.618529716938600230e-06 6.231826133569786208e+00
7.750000000000000000e+01 4.730864555917970726e+00 4.102163265114044499e+00 1.221612758887075785e-06 6.261694890370621991e+00
8.000000000000000000e+01 4.762581105605105058e+00 4.109945919597064901e+00 1.325663645109315757e-06 6.290773740127765024e+00
8.250000000000000000e+01 4.793837112599294237e+00 4.117279120480493937e+00 7.278705227333725142e-07 6.319245336120406620e+00
