z Tu Tv Tw
0.000000000000000000e+00 9.329725004431452685e-04 1.010007172469187201e-03 1.056174188715081002e-06
2.500000000000000000e+00 1.535510596645832480e-03 1.627948846151133474e-03 -4.656015043242149880e-05
5.000000000000000000e+00 1.881299215404828862e-03 2.034058683249685175e-03 -1.412772940428550698e-04
7.500000000000000000e+00 2.129522874112353692e-03 2.355720131969843423e-03 -2.607512987462478303e-04
1.000000000000000000e+01 2.290965552173417942e-03 2.566430431499344255e-03 -3.914795642427222307e-04
1.250000000000000000e+01 2.378962576521581867e-03 2.664067414179345332e-03 -5.167139646323171912e-04
1.500000000000000000e+01 2.414922357627346909e-03 2.668558906987300496e-03 -6.376529369348030163e-04
1.750000000000000000e+01 2.427503816414270082e-03 2.614721181389109000e-03 -7.467523407429316413e-04
2.000000000000000000e+01 2.437581216807779925e-03 2.535111261506039961e-03 -8.445158867742707685e-04
2.250000000000000000e+01 2.462315150941003696e-03 2.451619527620732628e-03 -9.296775531483565018e-04
2.500000000000000000e+01 2.513946911376922257e-03 2.379933481202488321e-03 -1.004382211257041219e-03
2.750000000000000000e+01 2.589105800751622093e-03 2.328086183527250299e-03 -1.068609781924175677e-03
3.000000000000000000e+01 2.676431843324087161e-03 2.294823402333020287e-03 -1.123228912147145129e-03
3.250000000000000000e+01 2.769409298475170381e-03 2.268995453716229297e-03 -1.166856029465216044e-03
3.500000000000000000e+01 2.858890785286064256e-03 2.245156499331539979e-03 -1.198845600506361899e-03
3.750000000000000000e+01 2.922987819060893049e-03 2.215944153468478884e-03 -1.219039918663484146e-03
4.000000000000000000e+01 2.947345218511793381e-03 2.169225322210422725e-03 -1.228333942836998000e-03
4.250000000000000000e+01 2.937818806654854484e-03 2.100025804764572845e-03 -1.228024664134142732e-03
4.500000000000000000e+01 2.908205789111991540e-03 2.012537178649051722e-03 -1.220725729003127374e-03
4.750000000000000000e+01 2.870885460780925671e-03 1.915661425056009630e-03 -1.208645129687510242e-03
5.000000000000000000e+01 2.828769420817377547e-03 1.816374377111344479e-03 -1.193081158230530590e-03
5.250000000000000000e+01 2.782722592508344098e-03 1.720800679665478606e-03 -1.174277954756892299e-03
5.500000000000000000e+01 2.737028580761238870e-03 1.630528108172370596e-03 -1.152970434255015534e-03
5.750000000000000000e+01 2.695324565743532994e-03 1.544491830303195389e-03 -1.130580992921435563e-03
6.000000000000000000e+01 2.659082747909497033e-03 1.461799046185808387e-03 -1.107973400023158205e-03
6.250000000000000000e+01 2.624566022375006413e-03 1.380506502119828883e-03 -1.084900250397003016e-03
6.500000000000000000e+01 2.582263144652222498e-03 1.299395230832999480e-03 -1.060743180772077488e-03
6.750000000000000000e+01 2.528031585467044665e-03 1.219076138508035046e-03 -1.034849422263604086e-03
7.000000000000000000e+01 2.463343401701592779e-03 1.137409665610482562e-03 -1.007660868940224311e-03
7.250000000000000000e+01 2.390227371454545918e-03 1.052465999826449755e-03 -9.804523117466427528e-04
7.500000000000000000e+01 2.310540910206850679e-03 9.676997257107586639e-04 -9.532447963554264905e-04
7.750000000000000000e+01 2.225509430307419986e-03 8.856136532848835931e-04 -9.263568256947427547e-04
8.000000000000000000e+01 2.142368639456640380e-03 8.057992187584887009e-04 -8.998807049300621688e-04
8.250000000000000000e+01 2.065090017977422397e-03 7.292036216512997639e-04 -8.736160655478896180e-04
8.500000000000000000e+01 1.989037439029118538e-03 6.583429207683365965e-04 -8.471623198710247866e-04
8.750000000000000000e+01 1.912892220943274331e-03 5.936296903272705308e-04 -8.209119034996877323e-04
9.000000000000000000e+01 1.836797618070807030e-03 5.343084710525773098e-04 -7.951893810858619424e-04
9.250000000000000000e+01 1.762035199593037747e-03 4.813877880295194638e-04 -7.698358854802212284e-04
9.500000000000000000e+01 1.691455428895676481e-03 4.355976200789086540e-04 -7.447573643922128809e-04
9.750000000000000000e+01 1.622434322172921443e-03 3.956378346163887572e-04 -7.202678225330666354e-04
1.000000000000000000e+02 1.553207229636029835e-03 3.593245721334596991e-04 -6.967281026543752087e-04
1.025000000000000000e+02 1.486710556509160614e-03 3.237512263377425453e-04 -6.741036041876288624e-04
1.050000000000000000e+02 1.424930079135242446e-03 2.884278040476260683e-04 -6.522144301996505612e-04
1.075000000000000000e+02 1.366335044555080534e-03 2.559915995938922867e-04 -6.307846249434530088e-04
1.100000000000000000e+02 1.310992331659349480e-03 2.287267709326556639e-04 -6.097688562028396458e-04
1.125000000000000000e+02 1.258979613349038140e-03 2.055489107859784876e-04 -5.891596101219049447e-04
1.150000000000000000e+02 1.209102047845840447e-03 1.844413412761241461e-04 -5.687141243849534039e-04
1.175000000000000000e+02 1.159384237504934839e-03 1.636392108125505858e-04 -5.482983867959672318e-04
1.200000000000000000e+02 1.108515493948732415e-03 1.428151945381387115e-04 -5.283168854877607267e-04
1.225000000000000000e+02 1.058695761865863054e-03 1.225838876803209067e-04 -5.089241179860166898e-04
1.250000000000000000e+02 1.012781198582069983e-03 1.030664511778809364e-04 -4.899871663896467402e-04
1.275000000000000000e+02 9.713071226013540119e-04 8.504884998907301212e-05 -4.716719627154430136e-04
1.300000000000000000e+02 9.333573550346613941e-04 6.941069826829107637e-05 -4.539355779507776053e-04
1.325000000000000000e+02 8.977905005158731949e-04 5.562185269152450715e-05 -4.366454166385622918e-04
1.350000000000000000e+02 8.622289860168848253e-04 4.298111006703493440e-05 -4.198112479802464407e-04
1.375000000000000000e+02 8.249973709960044818e-04 3.217110263840368384e-05 -4.033829481585042738e-04
1.400000000000000000e+02 7.869211739579100306e-04 2.424331571559150595e-05 -3.873581663141232537e-04
1.425000000000000000e+02 7.486259092693558223e-04 1.846990839577529353e-05 -3.718330892915682417e-04
1.450000000000000000e+02 7.122792365581290036e-04 1.362519917028066666e-05 -3.568869042793560917e-04
