# z, Alpha
1.975000000000000000e+02 1.584365396502516732e-01
2.000000000000000000e+02 1.571885940976494311e-01
2.025000000000000000e+02 1.506953200092833178e-01
2.050000000000000000e+02 1.483467834412279251e-01
2.075000000000000000e+02 1.527402222695770362e-01
2.100000000000000000e+02 1.596269567198592976e-01
2.125000000000000000e+02 1.528382342097336088e-01
2.150000000000000000e+02 1.500470009382655068e-01
2.175000000000000000e+02 1.461857642742408203e-01
2.200000000000000000e+02 1.432667005238391911e-01
2.225000000000000000e+02 1.412870754717723554e-01
2.250000000000000000e+02 1.413460872136980129e-01
2.275000000000000000e+02 1.353546300543120862e-01
2.300000000000000000e+02 1.316193789069018960e-01
2.325000000000000000e+02 1.320780763348320952e-01
2.350000000000000000e+02 1.307390397838505969e-01
2.375000000000000000e+02 1.272249007624550454e-01
2.400000000000000000e+02 1.211392186380762515e-01
2.425000000000000000e+02 1.183094525718171586e-01
2.450000000000000000e+02 1.176529037670417110e-01
2.475000000000000000e+02 1.178150058020454860e-01
2.500000000000000000e+02 1.110106790939940496e-01
2.525000000000000000e+02 1.077409381839999902e-01
2.550000000000000000e+02 1.087874919673042368e-01
2.575000000000000000e+02 1.062950796066975956e-01
2.600000000000000000e+02 1.048026865354969722e-01
2.625000000000000000e+02 9.743813269058149151e-02
2.650000000000000000e+02 8.700983566560961668e-02
2.675000000000000000e+02 7.733609652811672397e-02
2.700000000000000000e+02 6.804103190325801187e-02
2.725000000000000000e+02 5.940963814163686268e-02
2.750000000000000000e+02 5.308078923750114003e-02
2.775000000000000000e+02 4.472030882001103158e-02
2.800000000000000000e+02 3.744508923015708174e-02
2.825000000000000000e+02 3.112125211368553176e-02
2.850000000000000000e+02 2.526668596529116004e-02
2.875000000000000000e+02 1.958013144410325479e-02
2.900000000000000000e+02 1.547257727329871650e-02
2.925000000000000000e+02 1.078552649651808373e-02
2.950000000000000000e+02 6.668030886630343934e-03
2.975000000000000000e+02 4.472015020411289170e-03
