# Xi, RijLong, Xi, RijLat
1.202081528017130836e+02 2.444010458237677944e-02 1.202081528017130836e+02 -1.022148575305449961e-02
1.237436867076458213e+02 2.317558945970427109e-02 1.237436867076458213e+02 -5.686954467370767229e-03
1.272792206135785591e+02 2.211492895479359386e-02 1.272792206135785591e+02 -4.138043332055744983e-03
1.308147545195112968e+02 2.129016745491464635e-02 1.308147545195112968e+02 -3.799044637877912068e-03
1.343502884254440346e+02 2.064945481689521925e-02 1.343502884254440346e+02 -4.492227395956545008e-03
1.378858223313767724e+02 2.006209314961371684e-02 1.378858223313767724e+02 -5.721696756932098671e-03
1.414213562373095101e+02 1.946827983437674284e-02 1.414213562373095101e+02 -6.609069077877212026e-03
1.449568901432422479e+02 1.898615132396430302e-02 1.449568901432422479e+02 -6.291375991974983151e-03
1.484924240491749856e+02 1.872827185524950783e-02 1.484924240491749856e+02 -1.621258986812547896e-03
1.520279579551077234e+02 1.858621125160028059e-02 1.520279579551077234e+02 -3.692837709625875885e-04
1.555634918610404611e+02 1.833465397400985825e-02 1.555634918610404611e+02 -5.250811666114086826e-03
1.590990257669731989e+02 1.794564453742862609e-02 1.590990257669731989e+02 -6.032779440930036673e-03
1.626345596729059366e+02 1.767741594773772004e-02 1.626345596729059366e+02 -1.108350822344087751e-02
1.661700935788386744e+02 1.772774952122323569e-02 1.661700935788386744e+02 -9.360884329797748010e-03
1.697056274847714121e+02 1.795507991191211405e-02 1.697056274847714121e+02 -1.025105742786457802e-02
1.732411613907041499e+02 1.797782301808453082e-02 1.732411613907041499e+02 -1.154005825697264863e-02
1.767766952966368876e+02 1.747039080121544699e-02 1.767766952966368876e+02 -1.078837956735655308e-02
1.803122292025696254e+02 1.645344326841536101e-02 1.803122292025696254e+02 -1.213814951412760593e-02
1.838477631085023631e+02 1.530980013676633798e-02 1.838477631085023631e+02 -8.889535515472344121e-03
1.873832970144351009e+02 1.443112142687507163e-02 1.873832970144351009e+02 -1.100000697914138743e-02
1.909188309203678386e+02 1.388011629392165748e-02 1.909188309203678386e+02 -1.308936868348941664e-02
1.944543648263005764e+02 1.341696833547486971e-02 1.944543648263005764e+02 -1.120250589679481525e-02
1.979898987322333141e+02 1.278684755650628946e-02 1.979898987322333141e+02 -7.266557140094068168e-03
2.015254326381660519e+02 1.193011043800407643e-02 2.015254326381660519e+02 -5.947976280947097835e-03
2.050609665440987897e+02 1.097541887954157393e-02 2.050609665440987897e+02 -6.493240212678015773e-03
2.085965004500315274e+02 1.012668430729220422e-02 2.085965004500315274e+02 -3.593537209032128792e-03
2.121320343559642652e+02 9.526859595439706591e-03 2.121320343559642652e+02 1.261679166481144768e-03
2.156675682618970029e+02 9.152164034641198723e-03 2.156675682618970029e+02 6.611152593488416529e-04
2.192031021678297407e+02 8.876588719070443306e-03 2.192031021678297407e+02 -3.942617224557650076e-03
2.227386360737624784e+02 8.644477092836786239e-03 2.227386360737624784e+02 -8.785943275852674955e-03
2.262741699796952162e+02 8.487582392807613285e-03 2.262741699796952162e+02 -8.965036695680396114e-03
2.298097038856279539e+02 8.422441427094804964e-03 2.298097038856279539e+02 -5.235424278943614541e-03
2.333452377915606917e+02 8.410799799514857150e-03 2.333452377915606917e+02 -5.585018307945210534e-04
2.368807716974934294e+02 8.381143009702952604e-03 2.368807716974934294e+02 6.374966784306969119e-04
2.404163056034261672e+02 8.236604412579215384e-03 2.404163056034261672e+02 -8.531087986016360923e-04
2.439518395093589049e+02 7.881714550691315199e-03 2.439518395093589049e+02 1.336353317071407084e-03
2.474873734152916427e+02 7.292049560124439986e-03 2.474873734152916427e+02 2.520691678138920269e-03
2.510229073212243804e+02 6.504454726732609646e-03 2.510229073212243804e+02 6.050372517684651265e-03
2.545584412271571182e+02 5.539498094958769485e-03 2.545584412271571182e+02 8.510565642861818783e-03
2.580939751330898275e+02 4.444768540500791676e-03 2.580939751330898275e+02 1.017519288704385981e-02
2.616295090390225937e+02 3.379568616395435023e-03 2.616295090390225937e+02 9.653145994766677146e-03
2.651650429449553030e+02 2.514798173209552984e-03 2.651650429449553030e+02 7.000340575697131321e-03
2.687005768508880692e+02 1.866503616152143021e-03 2.687005768508880692e+02 5.768552270397599852e-03
2.722361107568207785e+02 1.281592525309171397e-03 2.722361107568207785e+02 4.324210373650439788e-03
2.757716446627535447e+02 5.841501668231096570e-04 2.757716446627535447e+02 1.880057770549804167e-03
2.793071785686862540e+02 -2.091115017278631378e-04 2.793071785686862540e+02 -2.470049765383122860e-04
2.828427124746190202e+02 -8.543917628492862619e-04 2.828427124746190202e+02 7.154565060162029538e-04
