# f, Suu, Svv, Sww
8.181818181818182462e-03 8.145489949399437046e-01 2.028325953264532300e-01 1.096912310144989855e-01
8.484848484848485708e-03 8.564739192911664523e-01 1.462946039729655368e-01 1.224285082666193569e-01
8.787878787878787221e-03 8.527874386566264286e-01 1.694474629176295766e-01 9.688828734660460962e-02
9.090909090909090468e-03 8.861440773919251335e-01 1.465810822630171650e-01 1.084134454934797681e-01
9.393939393939393714e-03 7.202923405946114466e-01 1.443692646928225742e-01 1.091529973546085802e-01
9.696969696969696961e-03 8.112422443494324842e-01 1.841245273254240866e-01 1.119050064464097716e-01
1.000000000000000021e-02 9.005763491903875373e-01 1.678895482481655432e-01 1.142987977872722827e-01
1.030303030303030346e-02 1.025258419227303985e+00 2.387145169053105920e-01 1.185696359924015564e-01
1.060606060606060670e-02 1.424294424439143114e+00 2.197241719050639641e-01 1.355564872704636270e-01
1.090909090909090995e-02 1.049845524949935882e+00 3.205634888130942106e-01 1.157948526536745626e-01
1.121212121212121146e-02 7.443577107850799512e-01 2.267243407160185187e-01 1.204911258310243788e-01
1.151515151515151471e-02 8.291056201924255076e-01 1.899875922591154065e-01 1.031807869573943964e-01
1.181818181818181795e-02 9.045597950215327199e-01 2.412985178852123658e-01 9.471324557792365484e-02
1.212121212121212120e-02 7.119158848076060364e-01 1.428543696410171093e-01 9.789126344228017695e-02
1.242424242424242445e-02 9.428956714695853059e-01 1.616750025446707650e-01 9.005687029774075980e-02
1.272727272727272770e-02 6.890941294719180599e-01 1.818542061447444569e-01 9.962698997384240862e-02
1.303030303030303094e-02 7.364439204817796458e-01 1.796779543454673778e-01 8.961223467121387509e-02
1.333333333333333419e-02 8.769190228741026161e-01 1.876672411169332810e-01 9.940855650393626286e-02
1.363636363636363570e-02 7.781159037823703883e-01 1.923899503116121290e-01 9.763084335603400277e-02
1.393939393939393895e-02 8.754573142157443533e-01 1.662950338533803196e-01 8.050187773028291693e-02
1.424242424242424220e-02 8.976156802229358078e-01 2.501143918892622109e-01 1.087033987458512485e-01
1.454545454545454544e-02 8.723271011690977295e-01 2.357158434497231003e-01 1.146891939022693097e-01
1.484848484848484869e-02 8.368419328949626701e-01 2.265170221735790801e-01 1.210229261281060703e-01
1.515151515151515194e-02 8.167990131359291750e-01 2.335117708813574389e-01 1.073018911268398268e-01
1.545454545454545518e-02 7.798945006696570426e-01 1.664875222562486878e-01 8.271817766944343508e-02
1.575757575757575843e-02 7.718038771573936252e-01 1.848768008029146870e-01 1.049145319352966094e-01
1.606060606060605994e-02 5.041238865352994925e-01 1.698050093657694770e-01 8.964874550202546477e-02
1.636363636363636492e-02 6.983801374260422135e-01 2.061026896619053417e-01 9.127988460019513528e-02
1.666666666666666644e-02 7.986285050548708186e-01 2.080078829561329279e-01 9.864180091958810181e-02
1.696969696969697142e-02 9.212190494499494786e-01 2.566489386421113572e-01 1.126865189748151724e-01
1.727272727272727293e-02 6.858280251245474357e-01 2.132932558848257831e-01 9.678449290784758852e-02
1.757575757575757444e-02 7.880173102758849524e-01 2.252366549591194034e-01 1.024034112430319554e-01
1.787878787878787942e-02 6.732974394181603373e-01 2.197490126952454381e-01 1.096538114941831982e-01
1.818181818181818094e-02 6.712242559404523190e-01 2.932101809100576273e-01 9.924447401150909842e-02
1.848484848484848592e-02 6.357650522449751485e-01 2.114067432500138788e-01 8.402201078812104873e-02
1.878787878787878743e-02 7.546786252786562565e-01 2.294982230707683368e-01 9.609265895082054476e-02
1.909090909090909241e-02 7.458612104442844393e-01 2.655643631737337751e-01 1.216225895331131124e-01
1.939393939393939392e-02 5.797241647310964474e-01 1.494363361338182650e-01 1.261425510135305017e-01
1.969696969696969543e-02 8.863739935992526187e-01 2.434396064025253215e-01 1.153995579823822171e-01
2.000000000000000042e-02 6.851914501007850822e-01 2.062603504676172872e-01 9.784807779511206505e-02
2.030303030303030193e-02 7.816112062237462466e-01 2.232482800776437182e-01 9.119321916611883294e-02
2.060606060606060691e-02 7.116601942145337478e-01 2.390974898739563204e-01 1.057196204986462912e-01
2.090909090909090842e-02 7.421625369125693927e-01 2.076095827908344960e-01 8.144671836256783815e-02
2.121212121212121340e-02 6.682481284330296090e-01 1.824607733855344582e-01 1.020520462603498463e-01
2.151515151515151492e-02 6.112839021064671030e-01 1.868798223102747513e-01 1.088299532846328660e-01
2.181818181818181990e-02 6.838878091594654540e-01 1.737328651453057538e-01 9.049303234733113710e-02
2.212121212121212141e-02 6.962019822639756716e-01 2.314134822844179651e-01 1.144778198469956348e-01
2.242424242424242292e-02 6.715542818210953335e-01 1.581682159917409403e-01 9.135732707771260230e-02
2.272727272727272790e-02 7.698612253113142900e-01 1.601860266498753571e-01 1.117326962458579515e-01
2.303030303030302942e-02 5.545801713313982528e-01 1.806214780405651366e-01 9.764050409260228991e-02
2.333333333333333440e-02 6.941691520903335855e-01 1.503957699136070358e-01 9.906155441557282226e-02
2.363636363636363591e-02 7.477506740436745680e-01 2.006561099763204126e-01 1.123756890224993227e-01
2.393939393939394089e-02 7.954668961049544684e-01 2.031547449618943124e-01 1.094950852525509583e-01
2.424242424242424240e-02 6.547136365874327568e-01 2.193217171950489486e-01 9.356572254283122836e-02
2.454545454545454392e-02 7.013245145619458887e-01 1.982403751735874742e-01 9.930334314062842782e-02
2.484848484848484890e-02 6.608096548766965173e-01 1.841744508224495702e-01 9.941598817908608998e-02
2.515151515151515041e-02 5.998250651325183203e-01 2.376141588135294858e-01 9.723014832360565851e-02
2.545454545454545539e-02 5.829409077629550406e-01 2.162214977358106471e-01 1.169333249611592823e-01
2.575757575757575690e-02 7.931738901981352230e-01 2.112343416621450809e-01 9.359685149633797940e-02
2.606060606060606188e-02 6.964299579538781870e-01 2.170989572707700266e-01 9.253515369883019703e-02
2.636363636363636340e-02 6.931059215553420083e-01 2.320814654734575655e-01 9.641103980993306899e-02
2.666666666666666838e-02 6.702653237582145707e-01 2.395906835201738749e-01 9.392875805233678876e-02
