# f, Suu, Svv, Sww
0.000000000000000000e+00 3.372685240166999054e-02 5.378262205591046764e-03 4.539536502476041076e-03
3.030303030303030300e-04 9.671394263722243867e-01 1.802893936650918072e-01 1.054472614415156856e-01
6.060606060606060601e-04 9.045874012462394864e-01 1.898356844112641661e-01 1.064231603671824816e-01
9.090909090909090901e-04 9.333990547162164253e-01 1.194866215055767483e-01 7.704263975518461927e-02
1.212121212121212120e-03 1.000851816354644930e+00 1.495284003429236952e-01 9.622396417461610840e-02
1.515151515151515150e-03 8.712764167606311672e-01 1.363778700848752579e-01 9.936236159945524560e-02
1.818181818181818180e-03 9.650030459663702098e-01 1.365409891263304476e-01 1.078899279838418240e-01
2.121212121212121427e-03 7.894519935786545872e-01 1.510205553706479575e-01 7.940482603293629038e-02
2.424242424242424240e-03 8.081299629613264424e-01 1.151882731017885297e-01 7.711008171412794820e-02
2.727272727272727487e-03 8.042900086428724782e-01 1.396708586207158209e-01 1.016679312756180453e-01
3.030303030303030300e-03 7.700562652863900404e-01 1.295102077142486763e-01 8.861783089924114842e-02
3.333333333333333547e-03 7.518635765571474172e-01 1.252935587541004481e-01 8.550554299480636611e-02
3.636363636363636360e-03 1.005494874235954628e+00 2.507178349055418365e-01 1.140929798492260200e-01
3.939393939393939607e-03 1.184684249326219962e+00 2.888839366838399925e-01 1.095633422664276518e-01
4.242424242424242854e-03 1.182375177987559756e+00 1.420565662886128233e-01 9.099132951267635550e-02
4.545454545454545234e-03 1.113120524652503107e+00 1.544513958255928632e-01 1.106497270682775397e-01
4.848484848484848481e-03 8.006122792064720439e-01 1.627909440590107615e-01 9.230639296356606127e-02
5.151515151515151728e-03 8.714264641294040548e-01 1.763715452475057566e-01 9.702082272021245180e-02
5.454545454545454974e-03 1.066741196143519588e+00 1.689093454781031844e-01 9.742882904836108748e-02
5.757575757575757354e-03 7.922326161091872709e-01 1.416378034574452549e-01 9.632836439029301978e-02
6.060606060606060601e-03 9.210165482722657559e-01 1.566219470399032865e-01 9.112032562089004972e-02
6.363636363636363848e-03 7.805127476617778060e-01 1.370236692095531672e-01 9.186645390350800522e-02
6.666666666666667095e-03 7.089884117168273603e-01 1.152040345068183341e-01 8.853547043261769667e-02
