# z, TI
1.410000000000000000e+03 3.246907009070623858e-03
1.417500000000000000e+03 3.194489491282138244e-03
1.425000000000000000e+03 3.153459994879065365e-03
1.432500000000000000e+03 3.109290561715093940e-03
1.440000000000000000e+03 3.075365298608623982e-03
1.447500000000000000e+03 3.038160412529297433e-03
1.455000000000000000e+03 3.010313696792187022e-03
1.462500000000000000e+03 2.978887979977856183e-03
1.470000000000000000e+03 2.956051186089363007e-03
1.477500000000000000e+03 2.929140601707982267e-03
1.485000000000000000e+03 2.910331934825769254e-03
1.492500000000000000e+03 2.886582111445023732e-03
1.500000000000000000e+03 2.870928970351246425e-03
1.507500000000000000e+03 2.849282503414852629e-03
1.515000000000000000e+03 2.835948759978831196e-03
1.522500000000000000e+03 2.815670700638198652e-03
1.530000000000000000e+03 2.804213528621745180e-03
1.537500000000000000e+03 2.784772428907093464e-03
1.545000000000000000e+03 2.774966552500872114e-03
1.552500000000000000e+03 2.756141101001096955e-03
1.560000000000000000e+03 2.747782830059138006e-03
1.567500000000000000e+03 2.729628350634622901e-03
1.575000000000000000e+03 2.722409008111167407e-03
1.582500000000000000e+03 2.705181326129962958e-03
1.590000000000000000e+03 2.698742294144720368e-03
1.597500000000000000e+03 2.682674347769613363e-03
1.605000000000000000e+03 2.676824097077304485e-03
1.612500000000000000e+03 2.661979659883654745e-03
1.620000000000000000e+03 2.656669771729462410e-03
1.627500000000000000e+03 2.643006760942650298e-03
1.635000000000000000e+03 2.638427280590161829e-03
1.642500000000000000e+03 2.625809812128751183e-03
1.650000000000000000e+03 2.622176793533033921e-03
1.657500000000000000e+03 2.610844100331715344e-03
1.665000000000000000e+03 2.608178502018707913e-03
1.672500000000000000e+03 2.598492734698399330e-03
1.680000000000000000e+03 2.596932302818713394e-03
1.687500000000000000e+03 2.589039348915208802e-03
1.695000000000000000e+03 2.588997631192040041e-03
1.702500000000000000e+03 2.582837962873566189e-03
1.710000000000000000e+03 2.584748338956138758e-03
1.717500000000000000e+03 2.580340229357575444e-03
1.725000000000000000e+03 2.584421339873096187e-03
1.732500000000000000e+03 2.582003014040430092e-03
1.740000000000000000e+03 2.588290870523039539e-03
1.747500000000000000e+03 2.588166824164291318e-03
1.755000000000000000e+03 2.596837955442659295e-03
1.762500000000000000e+03 2.599194482758681105e-03
1.770000000000000000e+03 2.610358539817219260e-03
1.777500000000000000e+03 2.615507320159754599e-03
1.785000000000000000e+03 2.629214300385034498e-03
1.792500000000000000e+03 2.637307297353611111e-03
1.800000000000000000e+03 2.653580192303659109e-03
1.807500000000000000e+03 2.664473986055006412e-03
1.815000000000000000e+03 2.683428873199145658e-03
1.822500000000000000e+03 2.696837970293637209e-03
1.830000000000000000e+03 2.718323694105625760e-03
1.837500000000000000e+03 2.734019132143938012e-03
1.845000000000000000e+03 2.757757500907651732e-03
