# z, uu, uv, uw, vv, vw, ww, tke
1.875000000000000000e+02 4.409742083579379912e-01 6.337108168568365840e-02 -5.438153397398084316e-02 4.703270679108541574e-01 6.655544068396121449e-02 6.011698797802774719e-01 7.562355780245348935e-01
1.950000000000000000e+02 4.355534767575681698e-01 6.062501949353469449e-02 -5.375686297033988731e-02 4.634843493201630804e-01 6.612569435153367592e-02 6.090069452103316072e-01 7.540223856440313455e-01
2.025000000000000000e+02 4.303062688545610248e-01 5.788044605318488911e-02 -5.327901905810369237e-02 4.570144919249139459e-01 6.580185582800698874e-02 6.183552159755306699e-01 7.528379883775028203e-01
2.100000000000000000e+02 4.250072618119331014e-01 5.513184539065679735e-02 -5.268159331666438794e-02 4.507660919721282466e-01 6.537750910345928312e-02 6.253073458825292308e-01 7.505403498332952061e-01
2.175000000000000000e+02 4.202136257128714081e-01 5.234938288014964053e-02 -5.223771867699900096e-02 4.448905529194008279e-01 6.503851256399001413e-02 6.335219697630832814e-01 7.493130741976776754e-01
2.250000000000000000e+02 4.157302030405090609e-01 4.961330673976562661e-02 -5.166925398232066757e-02 4.393155955311954242e-01 6.460067642271064003e-02 6.396380294135817213e-01 7.473419139926431587e-01
2.325000000000000000e+02 4.111269571964497049e-01 4.710877604291052040e-02 -5.122834344450342275e-02 4.337781948233502827e-01 6.424177423743414328e-02 6.468841874596492625e-01 7.458946697397246250e-01
2.400000000000000000e+02 4.068145405010982762e-01 4.462462917539675861e-02 -5.066142335126477131e-02 4.280349885600929216e-01 6.380249787866446032e-02 6.523477575479420532e-01 7.435986433045667088e-01
2.475000000000000000e+02 4.029882530481884162e-01 4.212635349975810822e-02 -5.022667710352876624e-02 4.224250350370621354e-01 6.345174248207868795e-02 6.588363099798877354e-01 7.421247990325691157e-01
2.550000000000000000e+02 3.992990478752854733e-01 3.953502984763720279e-02 -4.968174535830863908e-02 4.173422365860874339e-01 6.300187868976182826e-02 6.636872176638123344e-01 7.401642510625925375e-01
2.625000000000000000e+02 3.961661829207754337e-01 3.718406316373817216e-02 -4.924509482793845705e-02 4.125244947896108405e-01 6.264017813067110363e-02 6.693828480612717957e-01 7.390367628858289795e-01
2.700000000000000000e+02 3.930429280526234193e-01 3.504712908431120710e-02 -4.873265327778676659e-02 4.081650913716290408e-01 6.221372524380051200e-02 6.737274676893014735e-01 7.374677435567769113e-01
2.775000000000000000e+02 3.901259565673054763e-01 3.297260278169846653e-02 -4.829370818702218016e-02 4.039443297179937664e-01 6.182536114376077641e-02 6.787195872914925099e-01 7.363949367883959596e-01
2.850000000000000000e+02 3.874530486609865654e-01 3.109298296476032189e-02 -4.779316761960476084e-02 3.996669679338880621e-01 6.138455789496192333e-02 6.824307979748326369e-01 7.347754072848535767e-01
2.925000000000000000e+02 3.848157280568034189e-01 2.925616276457023920e-02 -4.736628400668174699e-02 3.957510191316768733e-01 6.099014195968956165e-02 6.867370133517286535e-01 7.336518802701044173e-01
3.000000000000000000e+02 3.822264927064470408e-01 2.760440452240702641e-02 -4.687076673986509401e-02 3.921263529246227786e-01 6.052184079065636019e-02 6.899714138093234750e-01 7.321621297201965639e-01
3.075000000000000000e+02 3.798263184051324792e-01 2.614541772631287855e-02 -4.646480653371023312e-02 3.887635896043260542e-01 6.011954239598574917e-02 6.936980256036479053e-01 7.311439668065531361e-01
3.150000000000000000e+02 3.780376539350696619e-01 2.470483062497751819e-02 -4.597686468948814636e-02 3.857968228987331272e-01 5.965519454844423614e-02 6.964925979373899345e-01 7.301635373855963618e-01
3.225000000000000000e+02 3.762804678255067814e-01 2.337348369407872203e-02 -4.557470542659751434e-02 3.828574822272378664e-01 5.923795811377375459e-02 6.997061757497230472e-01 7.294220629012337920e-01
3.300000000000000000e+02 3.745288833851111443e-01 2.223031325489194937e-02 -4.511380258608195526e-02 3.797643553733385247e-01 5.875756992502419868e-02 7.020387355429212883e-01 7.281659871506854786e-01
3.375000000000000000e+02 3.728415150283207469e-01 2.110097869658419945e-02 -4.469156414679380240e-02 3.770839633027773252e-01 5.831552040173342000e-02 7.047571042757596604e-01 7.273412913034288385e-01
