,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
126,18.95718489879755,9.004727447629861,1.0872696670313854e-09,21.00064000551806,300.6918120839387,0.0,0.00035229112937394815,0.00018399898627532792,4.8791677038596995e-06,0.0003092606940846471,4.454584671769208e-05,-3.833536826967265e-06,0.00011851973578575179,1.7961727404858787e-06,0.0004132008381854635,-5.516116081761745e-08,-4.7720468158885405e-08,-6.679400941824663e-08,658.8541666666666
127,18.957204117542506,9.004816098430192,1.0097917745298054e-08,21.00069648913115,301.0884916451843,0.0,-3.543609732587756e-05,0.0001817325885342401,5.047754590064863e-06,0.0004109143325714045,4.215222028889348e-05,-4.739375078848066e-06,0.00014147904568894651,2.1551573661153035e-06,0.0004276911708988738,-2.8583137039053863e-07,-5.545776423024701e-08,-8.858694624044655e-08,664.0625
128,18.95746683750648,9.004884643484154,2.717332682785015e-08,21.00096349740999,301.574499143387,0.0,-0.0003882304500990169,0.00015668300733719443,4.5978630394188425e-06,0.0005819329224643563,3.634695521285033e-05,-5.240828396873979e-06,0.00017974794641879727,2.6959153960762404e-06,0.0004379409030250375,-1.594438737933783e-06,-2.816081477065993e-08,-1.0263422248491572e-07,669.2708333333333
129,18.95774682014817,9.005031880404902,3.0816543272320186e-08,21.001279890775724,301.9657272691379,0.0,-0.0004739106764574008,0.00012341856402418603,2.866411750909043e-06,0.0007700094237218469,3.10555788722181e-05,-5.638065816786286e-06,0.00022699164199402747,2.90078151979963e-06,0.00044461495355272075,-3.259412650628721e-06,1.5111646650769327e-07,-1.041125425543605e-07,674.4791666666666
130,18.95788084054583,9.005140916985313,3.4888920690399486e-08,21.00144817694617,302.37414533105704,0.0,-0.0005229658357944803,0.00011100534242397826,2.401418802015581e-06,0.0009318744212369057,2.7314197952209372e-05,-6.258102685104519e-06,0.0002662713264547689,3.0200407323430444e-06,0.00044873114787456135,-4.810644650370159e-06,1.8784448499311803e-07,-8.574599837805545e-08,679.6875
131,18.957999520912736,9.005191111073195,3.7399513460387326e-08,21.00157735289225,302.79092602621176,0.0,-0.0004598754057253939,8.49416238400075e-05,1.4394435684338416e-06,0.0010655212948386449,2.53286856098156e-05,-6.814940468213951e-06,0.0002974719481371778,3.14589847540763e-06,0.00045101029772251494,-6.229401709386375e-06,1.1653982951103211e-07,-4.3373349259339164e-08,684.8958333333333
132,18.958077439134467,9.005237357894227,3.8961817847894465e-08,21.0016675262599,303.2080449518762,0.0,-0.00033429586578284697,5.821454221304348e-05,1.0590251556457746e-07,0.0011596369573512579,2.4607919087069797e-05,-6.94882028668321e-06,0.00032044176285866174,3.0643756260748465e-06,0.00045192856292164993,-7.093527023531078e-06,-2.616517110311704e-08,2.0562788749412994e-08,690.1041666666666
133,18.958108597368113,9.00525315864482,3.994037565491297e-08,21.001702632953307,303.6248806769972,0.0,-0.000176691743805915,3.258062630593519e-05,-1.0980223691643335e-06,0.0012081022666426495,2.3819842077481377e-05,-6.89970310193578e-06,0.00033609055217957343,2.8844721092413138e-06,0.00045189140981114883,-7.1514276464446164e-06,-1.3586163623788744e-07,1.0420438588720456e-07,695.3125
134,18.958107155910046,9.005252878927577,4.0484099431337455e-08,21.001701210994618,304.0416835491675,0.0,-1.6152157246100757e-05,6.123637817820116e-06,-2.5424620871145858e-06,0.001209641977006539,2.3750546867213766e-05,-6.912834613115771e-06,0.00034446421890832593,2.7410467552467525e-06,0.0004511282346759667,-6.461303166234741e-06,-1.926501683944772e-07,2.0339751823039289e-07,700.5208333333333
135,18.95808581844308,9.005238040040402,4.0759503045188995e-08,21.001675548138397,304.4584799850729,0.0,0.00013023334749576401,-2.118398121590001e-05,-4.33568736923418e-06,0.001172761084695106,2.4846414480833057e-05,-6.775945307073413e-06,0.00034450397774718835,2.566294735849222e-06,0.00044967204060988153,-5.203874300968088e-06,-8.342501897758188e-08,3.132266535548996e-07,705.7291666666666
136,18.958044077275808,9.005212500860592,4.069626955443373e-08,21.00162699926412,304.87526329680225,0.0,0.0002514726788660397,-5.306062431523692e-05,-6.203565641866119e-06,0.0011033953315349677,2.5874145504236288e-05,-6.1315327283174195e-06,0.0003327653728041554,2.269957912623999e-06,0.0004474142093261287,-3.7218884456338384e-06,1.0405099048455772e-07,4.2821748500927246e-07,710.9375
137,18.95797028527661,9.005177645946187,4.054532598315174e-08,21.00154528335163,305.29205890798943,0.0,0.0003354919240161867,-9.168183287816035e-05,-7.85756478716828e-06,0.0010036732413478751,2.6233611828836703e-05,-4.983496178341519e-06,0.00030842567246108706,1.941943726092131e-06,0.00044411568575874235,-2.396173845015618e-06,2.0762879388590117e-07,5.396055590797145e-07,716.1458333333333
138,18.957853343674884,9.005124217000825,4.046225132619252e-08,21.00141614271734,305.7088022041285,0.0,0.00036288765020847874,-0.00013237005368900063,-8.95322418141635e-06,0.0008748521882392462,2.693778631549895e-05,-3.5936208423081093e-06,0.00027350405486574014,1.700271083545877e-06,0.0004393968979201347,-1.4755943807796736e-06,1.7193962300241132e-07,6.409230426313739e-07,721.3541666666666
139,18.957700925767718,9.005048248265417,4.052357971148191e-08,21.001244623867166,306.1254591392613,0.0,0.0003087942276507583,-0.00016896003600619182,-9.286571847361746e-06,0.0007250674658720302,2.9396352256693335e-05,-2.26422846498683e-06,0.00023275949438659728,1.5947607673052233e-06,0.0004327477508010027,-8.643697003589512e-07,6.816773986003397e-08,7.2918134962644e-07,726.5625
140,18.957515595561734,9.004957735899518,4.0644802214147896e-08,21.001036836387367,306.5426071238406,0.0,0.00015536345153902977,-0.00020044253246852752,-9.077602309974824e-06,0.0005713249220854205,3.446636287960008e-05,-1.2234297950021523e-06,0.00019050624820454422,1.5910443484321927e-06,0.0004235567274313881,-4.1933855156372624e-07,3.4102784804139816e-08,7.989856989649394e-07,731.7708333333333
141,18.957352103976447,9.00485811124429,4.0530159234910626e-08,21.000844990052617,306.9619533609785,0.0,-0.00010534544473089098,-0.00023001376640237973,-8.743775735728362e-06,0.00043342642020298406,4.1863603596236254e-05,-5.12873546398284e-07,0.00014846532280328301,1.603093992990625e-06,0.0004111645395307088,-6.033928580486541e-08,4.609857955462566e-08,8.421128277551237e-07,736.9791666666666
