,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
0,2.576483253250788,2.6315511592508964,-1.3465135343230474e-09,3.6876403061689067,299.9999485167394,0.0,9.312768504787979e-07,1.146429019740023e-06,3.699471961786326e-08,0.06447008646762019,0.02784473243889958,-0.0023989874425194703,0.0633883577593625,-0.0022480405521332495,0.0013785800056811208,0.0056373024741071835,0.006114221299865957,6.423235612917992e-06,1.3020833333333333
1,3.0099247581208255,3.061101151284196,-2.220187937113723e-09,4.299081047244211,299.99995864051397,0.0,2.2456325671002445e-06,2.1896229094136415e-06,-2.925579026876942e-07,0.11515356548439852,0.059851265186275336,-0.01301568030072653,0.11016607808767373,-0.012348211234563228,0.008763611128287226,0.005558073065269626,0.0052914608137087284,-2.523496486524329e-05,3.90625
2,3.172027252800875,3.215068087387675,-2.889898223436846e-09,4.5231326507050404,299.99996207473157,0.0,2.546414829170832e-06,2.401695386347913e-06,-7.660816393977189e-07,0.11124191949315018,0.047261855431563325,-0.01449542090934265,0.10453916522032478,-0.01321715140228517,0.017058366795834466,0.0020587115105273226,0.0018394845784668625,-0.00016553315266449554,6.510416666666666
3,3.3047525999738827,3.3399214432120794,-3.442221955287688e-09,4.705270842253762,299.99997747510724,0.0,2.8386783923963407e-06,2.4604556604150217e-06,-7.15034857165266e-07,0.11192101827359914,0.044733105162862566,-0.017795580206247365,0.10383899347891891,-0.016020266024730067,0.02351210600142857,-0.0003677555518819015,-0.0006437267835099678,-0.000109639974376072,9.114583333333332
4,3.368302000041712,3.394817389687812,-3.894318521511902e-09,4.78885229652094,299.99997047656103,0.0,2.516823865721459e-06,2.2200539742899024e-06,-1.0755494638855773e-06,0.10270865181562672,0.035805385613853165,-0.017068372190422832,0.09444673832013811,-0.014790275882018967,0.027877436020279162,-0.0009342061426800505,-0.0011062002916229481,0.00011165718169164731,11.71875
5,3.4380616163160345,3.456077357364575,-4.297361946868563e-09,4.881308927122296,299.99998747005986,0.0,2.5764658135815146e-06,2.172564252971171e-06,-1.004712333510905e-06,0.10008467625748202,0.03335701357469348,-0.018414283705582624,0.09117014885411548,-0.015703925408803446,0.030884562382991244,-0.001321793744601983,-0.0016061483615599113,0.00033371224038382147,14.322916666666666
6,3.48090198386402,3.4905959544462988,-4.646819442146929e-09,4.935790754751321,299.9999786010589,0.0,2.0920835775485236e-06,1.7597791392380113e-06,-9.629014993902168e-07,0.09427550364359315,0.028845263932359425,-0.017931788089422564,0.08524198183758011,-0.014790010433103776,0.03293651678093011,-0.001205609226559072,-0.0015485800053820504,0.0005273423662377819,16.927083333333332
7,3.5294174416353448,3.530628408517111,-4.973484336469678e-09,4.998247981759213,299.99999380322515,0.0,2.0121829464570134e-06,1.6556010274644734e-06,-8.175586138957738e-07,0.0925497780091324,0.027578284301643247,-0.01864115430320001,0.08296201353751062,-0.015106407985847975,0.03431812835972821,-0.0009699993077241718,-0.001569787419694776,0.0006707224249909764,19.53125
8,3.563874847279882,3.557206617678311,-5.264569964423166e-09,5.041239419433971,299.99998068009785,0.0,1.5422522266296468e-06,1.2606993772931022e-06,-6.463202647297886e-07,0.08894740660257282,0.025029825358028505,-0.018349257962004307,0.07911507651497657,-0.014431958237374417,0.03524769554026849,-0.0008139520297732572,-0.0015043783161371109,0.0007608488389108288,22.135416666666664
9,3.601801235843297,3.587109789699561,-5.53920190394975e-09,5.08908078376765,299.9999954140367,0.0,1.7742598219658297e-06,1.4354532234774658e-06,-9.389168052066567e-07,0.0876831817813843,0.024297221455954875,-0.018764232753312588,0.07741526608460737,-0.014490637341217007,0.03583999997061078,-0.0006185135571721866,-0.001417639708137453,0.0008161348469041753,24.739583333333332
