# z, uu, uv, uw, vv, vw, ww, tke
1.400000000000000000e+02 5.833625401055037019e-01 1.871066494816673309e-01 -1.572886457445328845e-01 4.930246204168655111e-01 -1.133242478147220983e-01 2.593743574444670186e-01 6.678807589834181435e-01
1.500000000000000000e+02 5.670369353366156995e-01 1.777111712133447319e-01 -1.545816112733602588e-01 4.772444706015520066e-01 -1.091681563055063447e-01 2.552455118205158024e-01 6.497634588793417265e-01
1.600000000000000000e+02 5.519251479967736129e-01 1.692159107441641441e-01 -1.520534067201439743e-01 4.613992563902550303e-01 -1.056845270462549030e-01 2.515253213089005402e-01 6.324248628479646195e-01
1.700000000000000000e+02 5.372982898000095986e-01 1.607648383205385334e-01 -1.492373039953239222e-01 4.471245614204052976e-01 -1.017459035177522564e-01 2.472802688998707588e-01 6.158515600601428552e-01
1.800000000000000000e+02 5.236962817088643973e-01 1.532013914019432488e-01 -1.466598940334622181e-01 4.327187447914204177e-01 -9.836772378104195746e-02 2.433658987519753680e-01 5.998904626261301054e-01
1.900000000000000000e+02 5.118722538494206997e-01 1.462522969629365677e-01 -1.436217248547913550e-01 4.195355361407565598e-01 -9.463212252379658851e-02 2.386462831944293206e-01 5.850270365923032623e-01
2.000000000000000000e+02 4.997785433451790715e-01 1.397488404424047093e-01 -1.409802688610037880e-01 4.071545063223977468e-01 -9.123195997205478525e-02 2.345748298431373224e-01 5.707539397553570426e-01
2.100000000000000000e+02 4.883399372620100820e-01 1.335464889737769667e-01 -1.379079490076154102e-01 3.948313356978491173e-01 -8.771838869299496133e-02 2.298773001176975805e-01 5.565242865387783899e-01
2.200000000000000000e+02 4.769769254912501477e-01 1.286808327705886990e-01 -1.350432746441994902e-01 3.832852165263661015e-01 -8.445164055528384117e-02 2.252490747186594588e-01 5.427556083681378540e-01
2.300000000000000000e+02 4.664331168074734024e-01 1.239741901464556512e-01 -1.319578129997523164e-01 3.708328036126870009e-01 -8.106064374526372740e-02 2.201772166413507870e-01 5.287215685307555812e-01
2.400000000000000000e+02 4.548122519637429195e-01 1.192377259893563635e-01 -1.290492970928175387e-01 3.595835750892323324e-01 -7.797826953165183650e-02 2.153424574896460331e-01 5.148691422713106425e-01
2.500000000000000000e+02 4.420326906850176596e-01 1.138568409914287038e-01 -1.258761418925203879e-01 3.487455898325877435e-01 -7.478242916473454294e-02 2.103476405553587891e-01 5.005629605364820822e-01
2.600000000000000000e+02 4.295197150096135563e-01 1.094451238411455751e-01 -1.227859762780487696e-01 3.383045546895421252e-01 -7.179864110786257636e-02 2.053802151101924711e-01 4.866022424046740902e-01
2.700000000000000000e+02 4.175011913755530268e-01 1.049724807730217369e-01 -1.196569516497619778e-01 3.282313552271339252e-01 -6.872125234769584090e-02 2.001949134103747363e-01 4.729637300065308581e-01
2.800000000000000000e+02 4.061088567673103999e-01 9.999848149978027290e-02 -1.165147421020674701e-01 3.181027041142316381e-01 -6.591712598866122930e-02 1.951905041663442586e-01 4.597010325239431205e-01
2.900000000000000000e+02 3.935132269039045005e-01 9.556813268893631086e-02 -1.133290183268929191e-01 3.088191298818385722e-01 -6.301178902547019400e-02 1.898890559120915422e-01 4.461107063489173630e-01
3.000000000000000000e+02 3.828160861098574563e-01 9.117774399333175572e-02 -1.101606130448093829e-01 2.998879889961846290e-01 -6.037091990912898942e-02 1.847760218006561650e-01 4.337400484533491252e-01
3.100000000000000000e+02 3.730202323171906698e-01 8.742525682943075305e-02 -1.069439372713227449e-01 2.912245021872117423e-01 -5.758884326743550497e-02 1.792028131614314679e-01 4.217237738329169816e-01
3.200000000000000000e+02 3.632612085816247505e-01 8.413396249293089713e-02 -1.037492456045054495e-01 2.823326821140790255e-01 -5.502607622118926151e-02 1.739232988716834238e-01 4.097585947836935860e-01
3.300000000000000000e+02 3.538169434392918200e-01 8.071950079889733676e-02 -1.005438449784971239e-01 2.728779213797143388e-01 -5.240051354018868124e-02 1.683242650026473830e-01 3.975095649108267848e-01
3.400000000000000000e+02 3.436764749290729393e-01 7.739781179506104170e-02 -9.735884051405876982e-02 2.644846545669480298e-01 -4.992629026532740405e-02 1.628168573741322900e-01 3.854889934350766434e-01
3.500000000000000000e+02 3.341869414507182556e-01 7.393546238953131733e-02 -9.411787574506044751e-02 2.559481800313307964e-01 -4.742187039918617508e-02 1.570970149332031607e-01 3.736160682076261064e-01
3.600000000000000000e+02 3.240657416465195229e-01 7.080903024589026151e-02 -9.090990288255119955e-02 2.474690462802749957e-01 -4.500907973305006554e-02 1.517030239215181597e-01 3.616189059241562975e-01
3.700000000000000000e+02 3.151789050155850425e-01 6.793380068089809043e-02 -8.761572253684300760e-02 2.390575230623408487e-01 -4.263846641048608943e-02 1.462461279870641007e-01 3.502412780324950514e-01
3.800000000000000000e+02 3.063668482448916874e-01 6.554102282413631908e-02 -8.444052006912967923e-02 2.307594891333714371e-01 -4.042354172008894020e-02 1.408156658041570808e-01 3.389710015912100749e-01
3.900000000000000000e+02 2.976216181743854272e-01 6.341792709832008712e-02 -8.120213382263123669e-02 2.229639638667936241e-01 -3.809265588014103948e-02 1.353817353535679002e-01 3.279836586973735035e-01
4.000000000000000000e+02 2.893210612152025685e-01 6.151477975319374902e-02 -7.800705869582738594e-02 2.154968757002022894e-01 -3.602796094078520445e-02 1.299849308418375982e-01 3.174014338786212419e-01
4.100000000000000000e+02 2.806412497592957744e-01 5.867724696710149845e-02 -7.481505174628061416e-02 2.081453499603950485e-01 -3.383863348085724282e-02 1.247465442962776283e-01 3.067665720079842395e-01
4.200000000000000000e+02 2.718537556394957644e-01 5.623852381247171350e-02 -7.167518472303897881e-02 2.014267856103054699e-01 -3.182501737426901567e-02 1.194362125624853638e-01 2.963583769061433060e-01
4.300000000000000000e+02 2.636451691678181608e-01 5.377204179845150589e-02 -6.842996262173950406e-02 1.938443514932275680e-01 -2.970894476790372080e-02 1.140916145962563577e-01 2.857905676286510710e-01
4.400000000000000000e+02 2.566636899268257554e-01 5.132381295369152496e-02 -6.528832015985933102e-02 1.861725912283930806e-01 -2.777103074609354322e-02 1.087200096864974902e-01 2.757781454208581562e-01
4.500000000000000000e+02 2.496163206806943369e-01 4.861628913013870540e-02 -6.212033697851082614e-02 1.785881276558340114e-01 -2.586811240183832170e-02 1.033197281785235844e-01 2.657620882575260080e-01
4.600000000000000000e+02 2.422577261258292702e-01 4.586490571818011702e-02 -5.894619484269875143e-02 1.714331450277411240e-01 -2.398005287340480851e-02 9.788541963635097320e-02 2.557881453949606976e-01
