# z, Alpha
3.675000000000000000e+02 -5.316279263569684450e-03
3.750000000000000000e+02 -4.909028431285751212e-03
3.825000000000000000e+02 -6.056095413543174585e-03
3.900000000000000000e+02 -4.687783994299359915e-03
3.975000000000000000e+02 -3.514467330176081206e-03
4.050000000000000000e+02 -3.284242617380713110e-03
4.125000000000000000e+02 -2.105459829056471541e-03
4.200000000000000000e+02 -3.036510796906902957e-03
4.275000000000000000e+02 -1.629657113151285718e-03
4.350000000000000000e+02 -2.521903938076721589e-03
4.425000000000000000e+02 -2.315130316395874223e-03
4.500000000000000000e+02 -2.362317620492472570e-03
4.575000000000000000e+02 -1.953924125430799540e-03
4.650000000000000000e+02 -4.536483825340002080e-03
4.725000000000000000e+02 -3.916497133469656888e-03
4.800000000000000000e+02 -5.291735839815850211e-03
4.875000000000000000e+02 -4.725525898075149354e-03
4.950000000000000000e+02 -6.598665209368731639e-03
5.025000000000000000e+02 -9.008276639673105241e-03
5.100000000000000000e+02 -7.228443976765683288e-03
5.175000000000000000e+02 -7.602257603822863523e-03
5.250000000000000000e+02 -7.994150558821916039e-03
5.325000000000000000e+02 -9.310870147329392346e-03
5.400000000000000000e+02 -1.106554478022353342e-02
5.475000000000000000e+02 -1.042728856942931083e-02
5.550000000000000000e+02 -1.214325854243651463e-02
5.625000000000000000e+02 -1.239806111682140166e-02
5.700000000000000000e+02 -1.305735908947757568e-02
5.775000000000000000e+02 -1.417946540601529304e-02
5.850000000000000000e+02 -1.611771927644272892e-02
5.925000000000000000e+02 -1.619649528778514466e-02
6.000000000000000000e+02 -1.458607712666215063e-02
6.075000000000000000e+02 -1.386869619157091865e-02
6.150000000000000000e+02 -1.694519045520535144e-02
6.225000000000000000e+02 -1.828096399169708980e-02
6.300000000000000000e+02 -1.841619513700217675e-02
6.375000000000000000e+02 -1.924372174266311686e-02
6.450000000000000000e+02 -2.073089897263136888e-02
6.525000000000000000e+02 -1.804819136234839250e-02
6.600000000000000000e+02 -1.937945413179572099e-02
6.675000000000000000e+02 -1.790109827223100580e-02
6.750000000000000000e+02 -2.060767698843136986e-02
6.825000000000000000e+02 -2.086730224631098973e-02
6.900000000000000000e+02 -2.485206856597271807e-02
6.975000000000000000e+02 -2.175448397453846883e-02
7.050000000000000000e+02 -2.084917444626698327e-02
7.125000000000000000e+02 -1.973258399222223292e-02
7.200000000000000000e+02 -2.384591265133840718e-02
7.275000000000000000e+02 -2.392396807944366030e-02
7.350000000000000000e+02 -2.529450218510806425e-02
7.425000000000000000e+02 -2.486100610852654338e-02
7.500000000000000000e+02 -2.426089671846230755e-02
7.575000000000000000e+02 -2.617638456916544787e-02
7.650000000000000000e+02 -2.513948413585281871e-02
7.725000000000000000e+02 -2.643735425353319762e-02
7.800000000000000000e+02 -2.923973398972692581e-02
7.875000000000000000e+02 -3.012308174943876052e-02
7.950000000000000000e+02 -2.903030636495617170e-02
8.025000000000000000e+02 -2.738185366559214851e-02
8.100000000000000000e+02 -2.867680869889811454e-02
8.175000000000000000e+02 -3.249926378991990078e-02
8.250000000000000000e+02 -3.073368235764467604e-02
8.325000000000000000e+02 -3.245575197799761141e-02
8.400000000000000000e+02 -3.143248134869375265e-02
8.475000000000000000e+02 -3.317767370925747000e-02
8.550000000000000000e+02 -3.113231000928019451e-02
8.625000000000000000e+02 -2.770184420221882132e-02
8.700000000000000000e+02 -3.157394078505895707e-02
8.775000000000000000e+02 -3.667286299541783895e-02
8.850000000000000000e+02 -3.307860820231950383e-02
8.925000000000000000e+02 -3.448632360420714194e-02
9.000000000000000000e+02 -2.617062073348714810e-02
9.075000000000000000e+02 -3.145242926855010279e-02
9.150000000000000000e+02 -3.504572083576634745e-02
9.225000000000000000e+02 -2.564104767743388344e-02
9.300000000000000000e+02 -3.054634381368654880e-02
9.375000000000000000e+02 -3.225843970389061927e-02
9.450000000000000000e+02 -2.717314054327798697e-02
9.525000000000000000e+02 -2.231804928033154570e-02
9.600000000000000000e+02 -1.916308827741178278e-02
9.675000000000000000e+02 -1.920942070058756848e-02
9.750000000000000000e+02 -2.395862569992783520e-02
9.825000000000000000e+02 -2.762892770861061567e-02
9.900000000000000000e+02 -2.578705916320781985e-02
9.975000000000000000e+02 -2.978281186952947204e-02
1.005000000000000000e+03 -2.926662687061504925e-02
1.012500000000000000e+03 -3.393232087524791080e-02
1.020000000000000000e+03 -5.764014589063989197e-02
1.027500000000000000e+03 -4.711764864589576551e-02
1.035000000000000000e+03 -6.487624168310114625e-02
1.042500000000000000e+03 -9.465262692465292033e-03
1.050000000000000000e+03 1.959237601544570190e-02
1.057500000000000000e+03 2.291958549104105569e-01
1.065000000000000000e+03 5.301804930977976893e-01
1.072500000000000000e+03 1.304145555779987919e+00
1.080000000000000000e+03 2.128910889733434786e+00
1.087500000000000000e+03 1.947611280002553791e+00
1.095000000000000000e+03 7.702976257137817973e-01
1.102500000000000000e+03 5.201082890787948054e-01
1.110000000000000000e+03 3.043098947414300537e-01
1.117500000000000000e+03 7.427880386591766138e-02
1.125000000000000000e+03 -8.065554286876489010e-02
1.132500000000000000e+03 -6.356924791399982955e-02
1.140000000000000000e+03 9.365317804451232797e-02
1.147500000000000000e+03 2.270722582925890909e-01
1.155000000000000000e+03 1.588070107092114103e-01
1.162500000000000000e+03 2.051091789744994565e-01
1.170000000000000000e+03 -8.977650908504511418e-02
1.177500000000000000e+03 2.742542845100297555e-01
1.185000000000000000e+03 -3.761052949819333469e-01
1.192500000000000000e+03 5.293769640190031378e-01
1.200000000000000000e+03 -6.620703506803651273e-01
1.207500000000000000e+03 7.743151483443163619e-01
1.215000000000000000e+03 -8.580499326128406823e-01
1.222500000000000000e+03 9.254427996788601174e-01
1.230000000000000000e+03 -9.681420342514622801e-01
1.237500000000000000e+03 1.008515348254342303e+00
1.245000000000000000e+03 -1.028736183187907605e+00
1.252500000000000000e+03 1.054438664630434452e+00
1.260000000000000000e+03 -1.063116215077852589e+00
1.267500000000000000e+03 1.081183683034837584e+00
1.275000000000000000e+03 -1.084317139835862864e+00
1.282500000000000000e+03 1.098475746218855909e+00
1.290000000000000000e+03 -1.098420749196879598e+00
1.297500000000000000e+03 1.110163646880460764e+00
1.305000000000000000e+03 -1.107778081584579688e+00
1.312500000000000000e+03 1.117868856621041740e+00
1.320000000000000000e+03 -1.113919778841195418e+00
1.327500000000000000e+03 1.122701666712256019e+00
1.335000000000000000e+03 -1.117714919421438191e+00
1.342500000000000000e+03 1.125275209744769800e+00
1.350000000000000000e+03 -1.119434427555180189e+00
1.357500000000000000e+03 1.125800468935677534e+00
1.365000000000000000e+03 -1.119148704175907616e+00
1.372500000000000000e+03 1.124456612170791736e+00
1.380000000000000000e+03 -1.117193538721861001e+00
1.387500000000000000e+03 1.121690820662766042e+00
1.395000000000000000e+03 -1.113993795363885431e+00
1.402500000000000000e+03 1.117824800120089224e+00
1.410000000000000000e+03 -1.109815649299077167e+00
1.417500000000000000e+03 1.113064785324735295e+00
1.425000000000000000e+03 -1.104853064594697676e+00
1.432500000000000000e+03 1.107582613024487239e+00
1.440000000000000000e+03 -1.099272542397401686e+00
1.447500000000000000e+03 1.101543052923097177e+00
1.455000000000000000e+03 -1.093226508196157631e+00
1.462500000000000000e+03 1.095085714054158998e+00
1.470000000000000000e+03 -1.086830106689879338e+00
1.477500000000000000e+03 1.088304283233769265e+00
1.485000000000000000e+03 -1.080141775483167921e+00
1.492500000000000000e+03 1.081243881775687310e+00
1.500000000000000000e+03 -1.073177212512384182e+00
1.507500000000000000e+03 1.073927601240714180e+00
1.515000000000000000e+03 -1.065958999546745556e+00
1.522500000000000000e+03 1.066381614016968848e+00
1.530000000000000000e+03 -1.058500441440813011e+00
1.537500000000000000e+03 1.058627210845106026e+00
1.545000000000000000e+03 -1.050820259439104953e+00
1.552500000000000000e+03 1.050700887091474467e+00
1.560000000000000000e+03 -1.042937321799094041e+00
1.567500000000000000e+03 1.042614029842781287e+00
1.575000000000000000e+03 -1.034826886396974066e+00
1.582500000000000000e+03 1.034337710203339089e+00
1.590000000000000000e+03 -1.026350891963078382e+00
1.597500000000000000e+03 1.025617453077056540e+00
1.605000000000000000e+03 -1.017316567289712870e+00
1.612500000000000000e+03 1.016487490230212343e+00
1.620000000000000000e+03 -1.007921685275123380e+00
1.627500000000000000e+03 1.007131316042239710e+00
1.635000000000000000e+03 -9.982431385752017494e-01
1.642500000000000000e+03 9.975551633552073305e-01
1.650000000000000000e+03 -9.883190265748517112e-01
1.657500000000000000e+03 9.878559005757983069e-01
1.665000000000000000e+03 -9.782445299803326222e-01
1.672500000000000000e+03 9.780191392841797171e-01
1.680000000000000000e+03 -9.680040587383825779e-01
1.687500000000000000e+03 9.681060519896970140e-01
1.695000000000000000e+03 -9.577314206539664365e-01
1.702500000000000000e+03 9.582104396735193763e-01
1.710000000000000000e+03 -9.475091948217033710e-01
1.717500000000000000e+03 9.483656165238731894e-01
1.725000000000000000e+03 -9.373883321666407475e-01
1.732500000000000000e+03 9.385809269679311617e-01
1.740000000000000000e+03 -9.273824926202157704e-01
1.747500000000000000e+03 9.288444524602992303e-01
1.755000000000000000e+03 -9.174954486811766063e-01
1.762500000000000000e+03 9.191153522380433039e-01
1.770000000000000000e+03 -9.076879150172969535e-01
1.777500000000000000e+03 9.093538513806470602e-01
1.785000000000000000e+03 -8.979548565283665962e-01
1.792500000000000000e+03 8.995511826409003930e-01
1.800000000000000000e+03 -8.882923603596680762e-01
1.807500000000000000e+03 8.896857379381081232e-01
1.815000000000000000e+03 -8.786624716967100790e-01
1.822500000000000000e+03 8.797138627133177513e-01
1.830000000000000000e+03 -8.689730961895791861e-01
1.837500000000000000e+03 8.695225848987184758e-01
1.845000000000000000e+03 -8.591532941779098653e-01
1.852500000000000000e+03 8.591048697270310397e-01
1.860000000000000000e+03 -8.491221760891980441e-01
1.867500000000000000e+03 8.483579350669901986e-01
1.875000000000000000e+03 -8.387638006896190879e-01
1.882500000000000000e+03 8.372384190559286621e-01
1.890000000000000000e+03 -8.280015689836639492e-01
1.897500000000000000e+03 8.257163989411400173e-01
1.905000000000000000e+03 -8.167542184553947537e-01
1.912500000000000000e+03 8.137672659652718243e-01
1.920000000000000000e+03 -8.049753118143943009e-01
1.927500000000000000e+03 8.014056286857923483e-01
1.935000000000000000e+03 -7.926911909238043563e-01
1.942500000000000000e+03 7.887031731646184651e-01
1.950000000000000000e+03 -7.800096455100973269e-01
1.957500000000000000e+03 7.757829670859498483e-01
1.965000000000000000e+03 -7.670931472627180447e-01
1.972500000000000000e+03 7.627701587915919346e-01
1.980000000000000000e+03 -7.540836490910263201e-01
1.987500000000000000e+03 7.495538664757733782e-01
1.995000000000000000e+03 7.502602566276880269e-01
