 z uu uv uw vv vw ww tke
0.000000000000000000e+00 1.271604013642781972e-01 9.507111943204948901e-02 -1.266430930576944308e-03 1.084119768339108086e-01 -9.313143853220711603e-04 1.733492574889202321e-03 1.186529353865390934e-01
6.000000000000000000e+00 2.535687133250198455e-01 1.942666352886883163e-01 -9.790559444215286844e-03 2.132856385106350061e-01 -8.751706364110838424e-03 3.887853299637332449e-03 2.353711025676460677e-01
1.200000000000000000e+01 3.571973607589201682e-01 2.573967394341268311e-01 -2.315797108631478113e-02 2.931631141872735324e-01 -2.051047903445138779e-02 1.178337504403606344e-02 3.310719249951148968e-01
1.800000000000000000e+01 4.222963176208546221e-01 2.895810319470829008e-01 -3.345219388047177000e-02 3.350298329756526972e-01 -2.884153424262673321e-02 2.010865947194415485e-02 3.887174050342257492e-01
2.400000000000000000e+01 4.396656013024149434e-01 2.882507347931781427e-01 -3.971693384418881895e-02 3.354030910719525971e-01 -3.263435790933361114e-02 2.791101840815755908e-02 4.014898553912625290e-01
3.000000000000000000e+01 4.339555189021763182e-01 2.707893266325596682e-01 -4.233871207004156340e-02 3.164481780036689229e-01 -3.283874922060246726e-02 3.232560677491640166e-02 3.913646518403807728e-01
3.600000000000000000e+01 4.178723834479055044e-01 2.486852556104184597e-01 -4.375503875161325384e-02 2.924974176355852329e-01 -3.222189199261585313e-02 3.515342954325124947e-02 3.727616153133709864e-01
4.200000000000000000e+01 3.996104234442497960e-01 2.273665459368138242e-01 -4.362821185309663508e-02 2.686616907383276853e-01 -3.064511267605533884e-02 3.630940283053091938e-02 3.522907585065542246e-01
4.800000000000000000e+01 3.798984359023065971e-01 2.078753245405766392e-01 -4.313481284681641714e-02 2.463423122527657605e-01 -2.898659063232453259e-02 3.666293012959454672e-02 3.314518391423334487e-01
5.400000000000000000e+01 3.634818667220946486e-01 1.917555455456461111e-01 -4.211769132585932440e-02 2.263901707917680695e-01 -2.700781151771873903e-02 3.621443923219391792e-02 3.130432383730283319e-01
6.000000000000000000e+01 3.486507068897938266e-01 1.774710797514898464e-01 -4.091585980032898251e-02 2.084368068830085574e-01 -2.513650408493170799e-02 3.553986881588796359e-02 2.963136912943452050e-01
6.600000000000000000e+01 3.331138231000665417e-01 1.631463202479713492e-01 -3.938972822228521686e-02 1.923905733554123476e-01 -2.310745728779299221e-02 3.454986354591992742e-02 2.800271300006993980e-01
7.200000000000000000e+01 3.190157352017399806e-01 1.508790456048959006e-01 -3.800455114863131312e-02 1.783667340550546265e-01 -2.131438077402695100e-02 3.354301012860752551e-02 2.654627396927010663e-01
7.800000000000000000e+01 3.053209104739341151e-01 1.393347689367806230e-01 -3.631982961854875874e-02 1.655097746814827020e-01 -1.943943712245427627e-02 3.245213250861381932e-02 2.516414088320153009e-01
8.400000000000000000e+01 2.904663118254893761e-01 1.276772304439982297e-01 -3.481184347093198295e-02 1.537860694086194691e-01 -1.776645841138109472e-02 3.144990305460138719e-02 2.378511421443550988e-01
9.000000000000000000e+01 2.755779532595020731e-01 1.163742526084498713e-01 -3.328059428578256096e-02 1.429050232174874646e-01 -1.619799016174873485e-02 3.048474128119765467e-02 2.244838588790935840e-01
9.600000000000000000e+01 2.613399085698721036e-01 1.060189280530051958e-01 -3.180128773335980097e-02 1.331125439229284280e-01 -1.473328851216018989e-02 2.957277722902612593e-02 2.120126148609133288e-01
1.020000000000000000e+02 2.480250852275546480e-01 9.605076573264739737e-02 -3.028442260272716860e-02 1.237614397180638037e-01 -1.339393488593678717e-02 2.853748943485301046e-02 2.001620071902357467e-01
