 z Alpha
0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.665235377576044229e-01
1.200000000000000000e+01 2.190330125001621331e-01
1.800000000000000000e+01 2.156925968726966791e-01
2.400000000000000000e+01 2.067194669229830972e-01
3.000000000000000000e+01 2.001080116985355928e-01
3.600000000000000000e+01 1.974691709875244228e-01
4.200000000000000000e+01 1.975067246260638620e-01
4.800000000000000000e+01 2.004498226012118856e-01
5.400000000000000000e+01 2.036341745838552431e-01
6.000000000000000000e+01 2.113136277759687376e-01
6.600000000000000000e+01 2.167290508436145735e-01
7.200000000000000000e+01 2.232485498456653061e-01
7.800000000000000000e+01 2.308928915589773812e-01
8.400000000000000000e+01 2.364073930931002432e-01
9.000000000000000000e+01 2.402893830160983124e-01
9.600000000000000000e+01 2.443561120111150120e-01
1.020000000000000000e+02 2.453123238355537084e-01
1.080000000000000000e+02 2.502518316594349312e-01
1.140000000000000000e+02 2.499192561428342230e-01
1.200000000000000000e+02 2.496379870291568492e-01
1.260000000000000000e+02 2.503218738356975392e-01
1.320000000000000000e+02 2.493241752143949552e-01
1.380000000000000000e+02 2.504162193887195520e-01
1.440000000000000000e+02 2.473270541430190039e-01
1.500000000000000000e+02 2.454950327928421827e-01
1.560000000000000000e+02 2.472274403298978795e-01
1.620000000000000000e+02 2.470155397418938026e-01
1.680000000000000000e+02 2.433083702172892937e-01
1.740000000000000000e+02 2.398315636884002233e-01
1.800000000000000000e+02 2.365088794648532722e-01
1.860000000000000000e+02 2.341349978852111380e-01
1.920000000000000000e+02 2.295347327153123562e-01
1.980000000000000000e+02 2.277011743365857932e-01
2.040000000000000000e+02 2.216086774109874979e-01
2.100000000000000000e+02 2.134669211851197290e-01
2.160000000000000000e+02 2.048944397287436880e-01
2.220000000000000000e+02 1.952352511828410742e-01
2.280000000000000000e+02 1.903786381900629820e-01
2.340000000000000000e+02 1.791527880040218457e-01
2.400000000000000000e+02 1.787242136412356686e-01
2.460000000000000000e+02 1.728361134012296740e-01
2.520000000000000000e+02 1.644980303783481479e-01
2.580000000000000000e+02 1.608894807531075777e-01
2.640000000000000000e+02 1.550183487109839386e-01
2.700000000000000000e+02 1.517942700967418734e-01
2.760000000000000000e+02 1.484531101888636739e-01
2.820000000000000000e+02 1.430225706866914415e-01
2.880000000000000000e+02 1.403111960354968824e-01
2.940000000000000000e+02 1.342176067150304408e-01
3.000000000000000000e+02 1.263705531615779698e-01
3.060000000000000000e+02 1.160587316331324892e-01
3.120000000000000000e+02 1.133489675640447641e-01
3.180000000000000000e+02 1.143877732428432298e-01
3.240000000000000000e+02 1.094428486872282974e-01
