 z T
0.000000000000000000e+00 2.957619037360200878e+02
6.000000000000000000e+00 2.959960540214250386e+02
1.200000000000000000e+01 2.962009942186116973e+02
1.800000000000000000e+01 2.964120907353349708e+02
2.400000000000000000e+01 2.966243204017598600e+02
3.000000000000000000e+01 2.968311739804817080e+02
3.600000000000000000e+01 2.970284715403674909e+02
4.200000000000000000e+01 2.972146100861458535e+02
4.800000000000000000e+01 2.973892924092977523e+02
5.400000000000000000e+01 2.975530072494236151e+02
6.000000000000000000e+01 2.977066211521758987e+02
6.600000000000000000e+01 2.978508524411147960e+02
7.200000000000000000e+01 2.979860506599107453e+02
7.800000000000000000e+01 2.981123110785735548e+02
8.400000000000000000e+01 2.982299905176274137e+02
9.000000000000000000e+01 2.983398110007227615e+02
9.600000000000000000e+01 2.984422954187886035e+02
1.020000000000000000e+02 2.985381086165603506e+02
1.080000000000000000e+02 2.986279628856861450e+02
1.140000000000000000e+02 2.987122335649009415e+02
1.200000000000000000e+02 2.987913652743634998e+02
1.260000000000000000e+02 2.988656735324493070e+02
1.320000000000000000e+02 2.989355142322012284e+02
1.380000000000000000e+02 2.990013132814341361e+02
1.440000000000000000e+02 2.990634386936441729e+02
1.500000000000000000e+02 2.991222747609420480e+02
1.560000000000000000e+02 2.991779926347272749e+02
1.620000000000000000e+02 2.992307983616801152e+02
1.680000000000000000e+02 2.992808717999645864e+02
1.740000000000000000e+02 2.993283655527979477e+02
1.800000000000000000e+02 2.993734676012612113e+02
1.860000000000000000e+02 2.994164247390428386e+02
1.920000000000000000e+02 2.994573439153128334e+02
1.980000000000000000e+02 2.994962273366605245e+02
2.040000000000000000e+02 2.995330127256149808e+02
2.100000000000000000e+02 2.995677213682133697e+02
2.160000000000000000e+02 2.996002691280962154e+02
2.220000000000000000e+02 2.996304915922684700e+02
2.280000000000000000e+02 2.996584165180238983e+02
2.340000000000000000e+02 2.996841658554344576e+02
2.400000000000000000e+02 2.997079469271901075e+02
2.460000000000000000e+02 2.997300117097711905e+02
2.520000000000000000e+02 2.997506036653151114e+02
2.580000000000000000e+02 2.997698010593773006e+02
2.640000000000000000e+02 2.997876292521701771e+02
2.700000000000000000e+02 2.998041806700269376e+02
2.760000000000000000e+02 2.998195519635503388e+02
2.820000000000000000e+02 2.998338462299055323e+02
2.880000000000000000e+02 2.998472018177587302e+02
2.940000000000000000e+02 2.998596972685136279e+02
3.000000000000000000e+02 2.998713597194519593e+02
3.060000000000000000e+02 2.998821774635769088e+02
3.120000000000000000e+02 2.998921570700531447e+02
3.180000000000000000e+02 2.999013015376934845e+02
3.240000000000000000e+02 2.999096498813336780e+02
3.300000000000000000e+02 2.999172646388068415e+02
3.360000000000000000e+02 2.999242251198620579e+02
3.420000000000000000e+02 2.999306115278381526e+02
3.480000000000000000e+02 2.999365032553949959e+02
3.540000000000000000e+02 2.999419538048792901e+02
3.600000000000000000e+02 2.999469764443391000e+02
3.660000000000000000e+02 2.999515903709032614e+02
3.720000000000000000e+02 2.999558302187624577e+02
3.780000000000000000e+02 2.999597394766029765e+02
3.840000000000000000e+02 2.999633347405384711e+02
3.900000000000000000e+02 2.999666240591297424e+02
3.960000000000000000e+02 2.999696363902779694e+02
4.020000000000000000e+02 2.999724025749272869e+02
4.080000000000000000e+02 2.999749467194537829e+02
4.140000000000000000e+02 2.999772836678702106e+02
4.200000000000000000e+02 2.999794238811966238e+02
4.260000000000000000e+02 2.999813839065382695e+02
4.320000000000000000e+02 2.999831801918981569e+02
4.380000000000000000e+02 2.999848298423576125e+02
4.440000000000000000e+02 2.999863413774383503e+02
4.500000000000000000e+02 2.999877175988406748e+02
4.560000000000000000e+02 2.999889717312339030e+02
4.620000000000000000e+02 2.999901189772437533e+02
4.680000000000000000e+02 2.999911748310587427e+02
4.740000000000000000e+02 2.999921452119566538e+02
4.800000000000000000e+02 2.999930378111573646e+02
4.860000000000000000e+02 2.999938553725365296e+02
4.920000000000000000e+02 2.999946048691029432e+02
4.980000000000000000e+02 2.999952968766148160e+02
5.040000000000000000e+02 2.999959394777068269e+02
5.100000000000000000e+02 2.999965323588865544e+02
5.160000000000000000e+02 2.999970805263907323e+02
5.220000000000000000e+02 2.999975910248599575e+02
5.280000000000000000e+02 2.999980723649379115e+02
5.340000000000000000e+02 2.999985219147518478e+02
5.400000000000000000e+02 2.999989437214327381e+02
5.460000000000000000e+02 2.999993342677484520e+02
5.520000000000000000e+02 2.999997031237192573e+02
5.580000000000000000e+02 3.000000461623803290e+02
5.640000000000000000e+02 3.000003756230103704e+02
5.700000000000000000e+02 3.000006855084785116e+02
5.760000000000000000e+02 3.000009948651896252e+02
5.820000000000000000e+02 3.000012865485542761e+02
5.880000000000000000e+02 3.000015987928594541e+02
5.940000000000000000e+02 3.000019114800387570e+02
6.000000000000000000e+02 3.000022890755402045e+02
6.060000000000000000e+02 3.000027147661688787e+02
6.120000000000000000e+02 3.000033405827049364e+02
6.180000000000000000e+02 3.000043221082662512e+02
6.240000000000000000e+02 3.000065475340418288e+02
