# z, veer
5.220000000000000000e+02 2.432134558467035959e+02
5.280000000000000000e+02 2.432410413200476853e+02
5.340000000000000000e+02 2.432660551504199873e+02
5.400000000000000000e+02 2.432885889844179701e+02
5.460000000000000000e+02 2.433092075898086932e+02
5.520000000000000000e+02 2.433267546000377592e+02
5.580000000000000000e+02 2.433449853846438486e+02
5.640000000000000000e+02 2.433577042005210274e+02
5.700000000000000000e+02 2.433756090254703395e+02
5.760000000000000000e+02 2.433827586549170405e+02
5.820000000000000000e+02 2.434001232721496422e+02
5.880000000000000000e+02 2.434043892746327629e+02
5.940000000000000000e+02 2.434185352772464910e+02
6.000000000000000000e+02 2.434207689736712155e+02
6.060000000000000000e+02 2.434265648061449383e+02
6.120000000000000000e+02 2.434280561742635030e+02
6.180000000000000000e+02 2.434251339556926723e+02
6.240000000000000000e+02 2.434295179363449790e+02
6.300000000000000000e+02 2.434340935585930765e+02
6.360000000000000000e+02 2.434352260407914912e+02
6.420000000000000000e+02 2.434504089554015991e+02
6.480000000000000000e+02 2.435103186587806761e+02
6.540000000000000000e+02 2.434165597710896805e+02
6.600000000000000000e+02 2.436137477071985415e+02
6.660000000000000000e+02 2.434114091359535053e+02
6.720000000000000000e+02 2.436507923228325012e+02
6.780000000000000000e+02 2.434088804027987010e+02
6.840000000000000000e+02 2.436720305380610228e+02
6.900000000000000000e+02 2.434008872426444157e+02
6.960000000000000000e+02 2.436848034301900725e+02
7.020000000000000000e+02 2.433917596933295044e+02
7.080000000000000000e+02 2.436978955133296552e+02
7.140000000000000000e+02 2.433800529285416587e+02
7.200000000000000000e+02 2.437095828242011066e+02
7.260000000000000000e+02 2.433670928708652070e+02
7.320000000000000000e+02 2.437248697874197774e+02
7.380000000000000000e+02 2.433418549420198929e+02
7.440000000000000000e+02 2.437649241643069615e+02
7.500000000000000000e+02 2.432987178622990427e+02
7.560000000000000000e+02 2.437728885031297636e+02
7.620000000000000000e+02 2.433095561114136558e+02
7.680000000000000000e+02 2.437150063707529171e+02
7.740000000000000000e+02 2.433419773787914266e+02
7.800000000000000000e+02 2.436818039176070556e+02
7.860000000000000000e+02 2.433504165088644413e+02
7.920000000000000000e+02 2.436879674493448249e+02
7.980000000000000000e+02 2.433505821594320651e+02
8.040000000000000000e+02 2.437041207620102909e+02
8.100000000000000000e+02 2.433535378318462392e+02
8.160000000000000000e+02 2.437106086601650361e+02
8.220000000000000000e+02 2.433568049047401871e+02
8.280000000000000000e+02 2.437084995166951842e+02
8.340000000000000000e+02 2.433642076389057536e+02
8.400000000000000000e+02 2.437016702505682133e+02
8.460000000000000000e+02 2.433745080890340091e+02
8.520000000000000000e+02 2.436950626534087405e+02
8.580000000000000000e+02 2.433852217776955058e+02
8.640000000000000000e+02 2.436899659857880920e+02
8.700000000000000000e+02 2.433954958007292930e+02
8.760000000000000000e+02 2.436866876715109242e+02
8.820000000000000000e+02 2.434045717122164945e+02
8.880000000000000000e+02 2.436864740374291785e+02
8.940000000000000000e+02 2.434114795278954375e+02
9.000000000000000000e+02 2.436903474228594177e+02
9.060000000000000000e+02 2.434154231412592253e+02
9.120000000000000000e+02 2.436981455496618025e+02
9.180000000000000000e+02 2.434154592671985711e+02
9.240000000000000000e+02 2.437092770016994052e+02
9.300000000000000000e+02 2.434107802665383247e+02
9.360000000000000000e+02 2.437223359330166659e+02
9.420000000000000000e+02 2.434021207161462996e+02
9.480000000000000000e+02 2.437363801729300690e+02
9.540000000000000000e+02 2.433903402871880814e+02
9.600000000000000000e+02 2.437525528827110577e+02
9.660000000000000000e+02 2.433765519846056407e+02
9.720000000000000000e+02 2.437666750139283067e+02
9.780000000000000000e+02 2.433643609869348836e+02
9.840000000000000000e+02 2.437783540361703842e+02
9.900000000000000000e+02 2.433516371405089842e+02
9.960000000000000000e+02 2.437893713399590752e+02
1.002000000000000000e+03 2.433367769332253943e+02
1.008000000000000000e+03 2.437993590587165897e+02
1.014000000000000000e+03 2.433204632925819340e+02
1.020000000000000000e+03 2.438077317143041398e+02
1.026000000000000000e+03 2.433044101731231592e+02
1.032000000000000000e+03 2.438137349166781007e+02
1.038000000000000000e+03 2.432907230305959274e+02
1.044000000000000000e+03 2.438133278878514147e+02
1.050000000000000000e+03 2.432403464618946600e+02
