 z Alpha
0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.340166670560357653e-01
1.200000000000000000e+01 1.497999970025577221e-01
1.800000000000000000e+01 1.349690292640137734e-01
2.400000000000000000e+01 1.262550389615841595e-01
3.000000000000000000e+01 1.251948998711127636e-01
3.600000000000000000e+01 1.279532147015596810e-01
4.200000000000000000e+01 1.328454581844746574e-01
4.800000000000000000e+01 1.386489733617175535e-01
5.400000000000000000e+01 1.452556928456253671e-01
6.000000000000000000e+01 1.512762729906914072e-01
6.600000000000000000e+01 1.567206187181121868e-01
7.200000000000000000e+01 1.631558252105434481e-01
7.800000000000000000e+01 1.688953308271771425e-01
8.400000000000000000e+01 1.739036742130622704e-01
9.000000000000000000e+01 1.785350571516318707e-01
9.600000000000000000e+01 1.821511852596192083e-01
1.020000000000000000e+02 1.860544507890988519e-01
1.080000000000000000e+02 1.906601142194475351e-01
1.140000000000000000e+02 1.941327730907282945e-01
1.200000000000000000e+02 1.980227871181435007e-01
1.260000000000000000e+02 2.019286808782356502e-01
1.320000000000000000e+02 2.054064678675570355e-01
1.380000000000000000e+02 2.069388377135069068e-01
1.440000000000000000e+02 2.101935753155531883e-01
1.500000000000000000e+02 2.132254286557163092e-01
1.560000000000000000e+02 2.146360468087222528e-01
1.620000000000000000e+02 2.166792433898299952e-01
1.680000000000000000e+02 2.193283210814772621e-01
1.740000000000000000e+02 2.207248990689258950e-01
1.800000000000000000e+02 2.231497446126064765e-01
1.860000000000000000e+02 2.249396862406090880e-01
1.920000000000000000e+02 2.255892306702698136e-01
1.980000000000000000e+02 2.284903092594142981e-01
2.040000000000000000e+02 2.299381139165848353e-01
2.100000000000000000e+02 2.311058779661954166e-01
2.160000000000000000e+02 2.327012681440900066e-01
2.220000000000000000e+02 2.301488014470952637e-01
2.280000000000000000e+02 2.296292689966686063e-01
2.340000000000000000e+02 2.328215964278281536e-01
2.400000000000000000e+02 2.327268033555926485e-01
2.460000000000000000e+02 2.339788631387187123e-01
2.520000000000000000e+02 2.336368643273485091e-01
2.580000000000000000e+02 2.325995810199226188e-01
2.640000000000000000e+02 2.313379352807061196e-01
2.700000000000000000e+02 2.314637742540185672e-01
2.760000000000000000e+02 2.319866075600282018e-01
2.820000000000000000e+02 2.315215559127066225e-01
2.880000000000000000e+02 2.294067828076528925e-01
2.940000000000000000e+02 2.288685882258952586e-01
3.000000000000000000e+02 2.283089836845610954e-01
3.060000000000000000e+02 2.282077681495332244e-01
3.120000000000000000e+02 2.273547472001161140e-01
3.180000000000000000e+02 2.245004555571533111e-01
3.240000000000000000e+02 2.252436742737282394e-01
3.300000000000000000e+02 2.279568703682521291e-01
3.360000000000000000e+02 2.273183204040825356e-01
3.420000000000000000e+02 2.233592883092349601e-01
3.480000000000000000e+02 2.210700809803557709e-01
3.540000000000000000e+02 2.216141781316518511e-01
3.600000000000000000e+02 2.195378022088977921e-01
3.660000000000000000e+02 2.162461176588739986e-01
3.720000000000000000e+02 2.109413518704147950e-01
