 z TI
7.560000000000000000e+02 3.192651667816002493e-03
7.620000000000000000e+02 3.120556041023807205e-03
7.680000000000000000e+02 3.058652446035943669e-03
7.740000000000000000e+02 2.996627906331730123e-03
7.800000000000000000e+02 2.924148193969136871e-03
7.860000000000000000e+02 2.840366254945727708e-03
7.920000000000000000e+02 2.745553360949251794e-03
7.980000000000000000e+02 2.649290434960948661e-03
8.040000000000000000e+02 2.554179053386884928e-03
8.100000000000000000e+02 2.467961673535303338e-03
8.160000000000000000e+02 2.387021934693186586e-03
8.220000000000000000e+02 2.314691267754326754e-03
8.280000000000000000e+02 2.246277403620998685e-03
8.340000000000000000e+02 2.182740345576063713e-03
8.400000000000000000e+02 2.124536198036900466e-03
8.460000000000000000e+02 2.067328841248343776e-03
8.520000000000000000e+02 2.019848692659703335e-03
8.580000000000000000e+02 1.966815661640359484e-03
8.640000000000000000e+02 1.929689118984230945e-03
8.700000000000000000e+02 1.877208903843237018e-03
8.760000000000000000e+02 1.845373817691624025e-03
8.820000000000000000e+02 1.793285781792055937e-03
8.880000000000000000e+02 1.759285913929221337e-03
8.940000000000000000e+02 1.713861838793895569e-03
9.000000000000000000e+02 1.675091624845538238e-03
9.060000000000000000e+02 1.643849246697620193e-03
9.120000000000000000e+02 1.603332507233075918e-03
9.180000000000000000e+02 1.584952733083797591e-03
9.240000000000000000e+02 1.545528738795830291e-03
9.300000000000000000e+02 1.535649867264575084e-03
9.360000000000000000e+02 1.498952019756656174e-03
9.420000000000000000e+02 1.494907285562485514e-03
9.480000000000000000e+02 1.461320495100544873e-03
9.540000000000000000e+02 1.461383134220195414e-03
9.600000000000000000e+02 1.431173223778812098e-03
9.660000000000000000e+02 1.434550250048999666e-03
9.720000000000000000e+02 1.407700760823337068e-03
9.780000000000000000e+02 1.413917642818990090e-03
9.840000000000000000e+02 1.390214503944650626e-03
9.900000000000000000e+02 1.398842277878232327e-03
9.960000000000000000e+02 1.378018459460178188e-03
1.002000000000000000e+03 1.388622822422628860e-03
1.008000000000000000e+03 1.370361003231988523e-03
1.014000000000000000e+03 1.382600206197594694e-03
1.020000000000000000e+03 1.366367880122981064e-03
1.026000000000000000e+03 1.379994804507354671e-03
1.032000000000000000e+03 1.364976350621303642e-03
1.038000000000000000e+03 1.379632624876242107e-03
1.044000000000000000e+03 1.364840936776842489e-03
1.050000000000000000e+03 1.380280450851409596e-03
